Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1748710110,Device: id=0,RX,0.82455108664293,9868.2393094188,10000.167483282,828976,1240149592
1748710110,Device: id=0,TX,0,0,0,0,0
1748710111,Device: id=0,RX,0.82455119670883,9868.2168026643,10000.144994138,1656879,2478690984
1748710111,Device: id=0,TX,0,0,0,0,0
1748710112,Device: id=0,RX,0.82454987378929,9868.2128895102,10000.140869316,2485803,3718761288
1748710112,Device: id=0,TX,0,0,0,0,0
1748710113,Device: id=0,RX,0.82455664400501,9868.3058210281,10000.234884069,3314683,4958767264
1748710113,Device: id=0,TX,0,0,0,0,0
1748710114,Device: id=0,RX,0.8245442735591,9868.1339618647,10000.061045634,4143654,6198906384
1748710114,Device: id=0,TX,0,0,0,0,0
1748710115,Device: id=0,RX,0.82421003119212,9864.1456533073,9996.019258298,4972305,7438568280
1748710115,Device: id=0,TX,0,0,0,0,0
1748710116,Device: id=0,RX,0.82454192677428,9868.1177796345,10000.044487918,5801274,8678705904
1748710116,Device: id=0,TX,0,0,0,0,0
1748710117,Device: id=0,RX,0.82455051914178,9868.2206130888,10000.148696151,6630500,9919228000
1748710117,Device: id=0,TX,0,0,0,0,0
1748710118,Device: id=0,RX,0.82455109475108,9868.2632128681,10000.191388028,7459510,11159431448
1748710118,Device: id=0,TX,0,0,0,0,0
1748710119,Device: id=0,RX,0.82455213860525,9868.2042876857,10000.132629863,8288608,12399757568
1748710119,Device: id=0,TX,0,0,0,0,0
1748710120,Device: id=0,RX,0.8245481549481,9868.1923184189,10000.120023211,9117403,13639634888
1748710120,Device: id=0,TX,0,0,0,0,0
1748710121,Device: id=0,RX,0.82455229233922,9868.2418347158,10000.17020149,9946979,14880680584
1748710121,Device: id=0,TX,0,0,0,0,0
1748710122,Device: id=0,RX,0.82454919006527,9868.2047067012,10000.132577112,10775815,16120619240
1748710122,Device: id=0,TX,0,0,0,0,0
1748710123,Device: id=0,RX,0.82455046238823,9868.2199338623,10000.148007844,11604695,17360623720
1748710123,Device: id=0,TX,0,0,0,0,0
1748710124,Device: id=0,RX,0.82455117088019,9868.2284130941,10000.156600435,12433535,18600568360
1748710124,Device: id=0,TX,0,0,0,0,0
1748710125,Device: id=0,RX,0.82455047916231,9868.2201346146,10000.148211281,13262331,19840447176
1748710125,Device: id=0,TX,0,0,0,0,0
1748710126,Device: id=0,RX,0.82407261025368,9862.500999516,9994.3526171566,14090687,21079667752
1748710126,Device: id=0,TX,0,0,0,0,0
1748710127,Device: id=0,RX,0.82455634738157,9868.3379699459,10000.266985527,14919877,22320141976
1748710127,Device: id=0,TX,0,0,0,0,0
1748710128,Device: id=0,RX,0.82454427735652,9868.098329537,10000.025413914,15749449,23561175704
1748710128,Device: id=0,TX,0,0,0,0,0
1748710129,Device: id=0,RX,0.82455052714313,9868.2088027435,10000.136887086,16578286,24801114360
1748710129,Device: id=0,TX,0,0,0,0,0
1748710130,Device: id=0,RX,0.82454992040166,9868.2253534781,10000.153340742,17407122,26041054512
1748710130,Device: id=0,TX,0,0,0,0,0
1748710131,Device: id=0,RX,0.82455115907595,9868.2282718209,10000.156457273,18236002,27281058992
1748710131,Device: id=0,TX,0,0,0,0,0
1748710132,Device: id=0,RX,0.8245507878139,9868.2238285567,10000.151954607,19064798,28520937808
1748710132,Device: id=0,TX,0,0,0,0,0
1748710133,Device: id=0,RX,0.82454982655153,9868.2123241687,10000.140296417,19893593,29760815128
1748710133,Device: id=0,TX,0,0,0,0,0
1748710134,Device: id=0,RX,0.82455079681678,9868.2239363032,10000.152063794,20722864,31001404544
1748710134,Device: id=0,TX,0,0,0,0,0
1748710135,Device: id=0,RX,0.82455303934391,9868.250774868,10000.179261163,21551703,32241347688
1748710135,Device: id=0,TX,0,0,0,0,0
1748710136,Device: id=0,RX,0.82420575574774,9864.094484789,9995.9674057086,22380154,33480710384
1748710136,Device: id=0,TX,0,0,0,0,0
1748710137,Device: id=0,RX,0.82455499715694,9868.2742059742,10000.203005519,23209690,34721696240
1748710137,Device: id=0,TX,0,0,0,0,0
1748710138,Device: id=0,RX,0.82454726110833,9868.1816209445,10000.109182722,24038567,35961696232
1748710138,Device: id=0,TX,0,0,0,0,0
