Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1748706200,Device: id=0,RX,0.55506020666482,1083.4775234097,1172.2871564761,558652,136311332
1748706200,Device: id=0,TX,0,0,0,0,0
1748706201,Device: id=0,RX,0.55460028540764,1082.5817042822,1171.3177499474,1114629,271969964
1748706201,Device: id=0,TX,0,0,0,0,0
1748706202,Device: id=0,RX,0.55572811748246,1084.7812853258,1173.697784123,1674375,408547988
1748706202,Device: id=0,TX,0,0,0,0,0
1748706203,Device: id=0,RX,0.55137919425166,1076.2902452793,1164.5109163596,2228622,543784012
1748706203,Device: id=0,TX,0,0,0,0,0
1748706204,Device: id=0,RX,0.55270515261451,1078.8785162033,1167.3113406217,2784259,679359196
1748706204,Device: id=0,TX,0,0,0,0,0
1748706205,Device: id=0,RX,0.55592357324677,1085.1666985343,1174.1144702538,3343109,815719084
1748706205,Device: id=0,TX,0,0,0,0,0
1748706206,Device: id=0,RX,0.55287849681542,1079.216884163,1167.6774436534,3898943,951342336
1748706206,Device: id=0,TX,0,0,0,0,0
1748706207,Device: id=0,RX,0.55357320886039,1080.5749036955,1169.1466171131,4455365,1087109304
1748706207,Device: id=0,TX,0,0,0,0,0
1748706208,Device: id=0,RX,0.55383025118226,1081.0766503078,1169.6894904969,5012103,1222953376
1748706208,Device: id=0,TX,0,0,0,0,0
1748706209,Device: id=0,RX,0.55505538811379,1083.475885202,1172.2847473003,5570045,1359092200
1748706209,Device: id=0,TX,0,0,0,0,0
1748706210,Device: id=0,RX,0.55476841445488,1082.8982359892,1171.661182302,6127726,1495165144
1748706210,Device: id=0,TX,0,0,0,0,0
1748706211,Device: id=0,RX,0.5518180652002,1077.1566296544,1165.4475200864,6682501,1630531220
1748706211,Device: id=0,TX,0,0,0,0,0
1748706212,Device: id=0,RX,0.5548355326167,1083.0331348735,1171.8068200921,7240309,1766635640
1748706212,Device: id=0,TX,0,0,0,0,0
1748706213,Device: id=0,RX,0.55417670295329,1081.7509857132,1170.4192581857,7798359,1902799596
1748706213,Device: id=0,TX,0,0,0,0,0
1748706214,Device: id=0,RX,0.55423786540561,1081.8723132717,1170.5503717366,8355507,2038743708
1748706214,Device: id=0,TX,0,0,0,0,0
1748706215,Device: id=0,RX,0.5539456683867,1081.3038863879,1169.9351933297,8912392,2174623892
1748706215,Device: id=0,TX,0,0,0,0,0
1748706216,Device: id=0,RX,0.55492596047128,1083.2154748399,1172.0036285153,9470203,2310729776
1748706216,Device: id=0,TX,0,0,0,0,0
1748706217,Device: id=0,RX,0.55452421931058,1082.4312760943,1171.155151184,10027639,2446744160
1748706217,Device: id=0,TX,0,0,0,0,0
1748706218,Device: id=0,RX,0.55430435522211,1082.0001595899,1170.6888564255,10584854,2582704376
1748706218,Device: id=0,TX,0,0,0,0,0
1748706219,Device: id=0,RX,0.55321596635791,1079.8795082177,1168.394062835,11140951,2718392288
1748706219,Device: id=0,TX,0,0,0,0,0
1748706220,Device: id=0,RX,0.55449103503431,1082.366500387,1171.0850659925,11698322,2854390812
1748706220,Device: id=0,TX,0,0,0,0,0
1748706221,Device: id=0,RX,0.55498114609243,1083.3231971724,1172.1201805472,12256452,2990574532
1748706221,Device: id=0,TX,0,0,0,0,0
1748706222,Device: id=0,RX,0.55557299814064,1084.4784923705,1173.370172073,12815352,3126946132
1748706222,Device: id=0,TX,0,0,0,0,0
1748706223,Device: id=0,RX,0.55253761587993,1078.5534261976,1166.9594447384,13370791,3262473248
1748706223,Device: id=0,TX,0,0,0,0,0
1748706224,Device: id=0,RX,0.55196556421438,1077.4367813465,1165.7512716208,13925655,3397860064
1748706224,Device: id=0,TX,0,0,0,0,0
1748706225,Device: id=0,RX,0.55518170225159,1083.7127408942,1172.5418132545,14483724,3534028656
1748706225,Device: id=0,TX,0,0,0,0,0
1748706226,Device: id=0,RX,0.55343329825054,1080.3017981851,1168.8511259051,15040064,3669775616
1748706226,Device: id=0,TX,0,0,0,0,0
1748706227,Device: id=0,RX,0.55542044033845,1084.1806995407,1173.0479699948,15598430,3806016920
1748706227,Device: id=0,TX,0,0,0,0,0
1748706228,Device: id=0,RX,0.55395224323723,1081.3167189757,1169.9490778937,16155758,3942005196
1748706228,Device: id=0,TX,0,0,0,0,0
1748706229,Device: id=0,RX,0.55533211987289,1084.0082979919,1172.8614371716,16713977,4078210632
1748706229,Device: id=0,TX,0,0,0,0,0
1748706230,Device: id=0,RX,0.55386162115805,1081.1359425994,1169.7538019847,17270719,4214055436
