,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,256,ids,uk,2,556564.85124507
1,3,1,tx,vpp,256,ids,uk,2,556216.5548628401
2,3,1,tx,vpp,256,ids,uk,2,560079.05496858
3,3,1,tx,vpp,256,ids,uk,2,557283.6937460899
4,3,1,tx,vpp,256,ids,uk,2,555699.96273123
5,3,1,tx,vpp,256,ids,uk,2,554573.13599085
6,3,1,tx,vpp,256,ids,uk,2,556811.21177284
7,3,1,tx,vpp,256,ids,uk,2,557476.79637767
8,3,1,tx,vpp,256,ids,uk,2,554730.38997992
9,3,1,tx,vpp,256,ids,uk,2,556186.43837266
10,3,1,tx,vpp,256,ids,uk,2,556310.79789752
11,3,1,tx,vpp,256,ids,uk,2,554327.42363834
12,3,1,tx,vpp,256,ids,uk,2,551485.4919100701
13,3,1,tx,vpp,256,ids,uk,2,554210.38412928
14,3,1,tx,vpp,256,ids,uk,2,555970.8425638899
15,3,1,tx,vpp,256,ids,uk,2,559556.3230501501
16,3,1,tx,vpp,256,ids,uk,2,558266.93599087
17,3,1,tx,vpp,256,ids,uk,2,559366.2690411501
18,3,1,tx,vpp,256,ids,uk,2,556191.3657609
19,3,1,tx,vpp,256,ids,uk,2,558864.9400928
20,3,1,tx,vpp,256,ids,uk,2,557675.36432244
21,3,1,tx,vpp,256,ids,uk,2,560040.78078582
22,3,1,tx,vpp,256,ids,uk,2,558413.15674768
23,3,1,tx,vpp,256,ids,uk,2,559205.47208287
24,3,1,tx,vpp,256,ids,uk,2,558258.71264377
25,3,1,tx,vpp,256,ids,uk,2,558237.8098134601
26,3,1,tx,vpp,256,ids,uk,2,558671.16943692
27,3,1,tx,vpp,256,ids,uk,2,555342.15913771
28,3,1,tx,vpp,256,ids,uk,2,555913.54261328
29,3,1,tx,vpp,256,ids,uk,2,559106.04507689
30,3,1,tx,vpp,256,ids,uk,2,555074.89365045
31,3,1,tx,vpp,256,ids,uk,2,555721.47071659
32,3,1,tx,vpp,256,ids,uk,2,555459.87579454
33,3,1,tx,vpp,256,ids,uk,2,558093.26366269
34,3,1,tx,vpp,256,ids,uk,2,557897.09764941
35,3,1,tx,vpp,256,ids,uk,2,557995.49472706
36,3,1,tx,vpp,256,ids,uk,2,556305.77876089
37,3,1,tx,vpp,256,ids,uk,2,556858.663375
38,3,1,tx,vpp,256,ids,uk,2,553152.08445944
39,3,1,tx,vpp,256,ids,uk,2,556318.0599065301
40,3,1,tx,vpp,256,ids,uk,2,557065.38347583
41,3,1,tx,vpp,256,ids,uk,2,554644.36656739
42,3,1,tx,vpp,256,ids,uk,2,556692.4361112299
43,3,1,tx,vpp,256,ids,uk,2,558947.36612591
44,3,1,tx,vpp,256,ids,uk,2,557031.3544940801
45,3,1,tx,vpp,256,ids,uk,2,553890.4606727399
46,3,1,tx,vpp,256,ids,uk,2,554869.03158553
47,3,1,tx,vpp,256,ids,uk,2,558351.2058805
48,3,1,tx,vpp,256,ids,uk,2,557339.8381088501
49,3,1,tx,vpp,256,ids,uk,2,556011.0894504901
50,3,1,tx,vpp,256,ids,uk,2,555278.67165257
51,3,1,tx,vpp,256,ids,uk,2,557460.17973233
52,3,1,tx,vpp,256,ids,uk,2,557029.88115883
53,3,1,tx,vpp,256,ids,uk,2,556481.46048209
54,3,1,tx,vpp,256,ids,uk,2,555484.03606426
55,3,1,tx,vpp,256,ids,uk,2,553497.2961594
56,3,1,tx,vpp,256,ids,uk,2,556686.73983558
57,3,1,tx,vpp,256,ids,uk,2,559369.11432336
58,3,1,tx,vpp,256,ids,uk,2,558391.4966025399
59,3,1,tx,vpp,256,ids,uk,2,554455.12506121
60,3,1,tx,vpp,256,ids,uk,2,557015.79479035
61,3,1,tx,vpp,256,ids,uk,2,556440.21728757
62,3,1,tx,vpp,256,ids,uk,2,555801.0588786
63,3,1,tx,vpp,256,ids,uk,2,556642.27225151
64,3,1,tx,vpp,256,ids,uk,2,555111.92628871
65,3,1,tx,vpp,256,ids,uk,2,556081.73142075
66,3,1,tx,vpp,256,ids,uk,2,555071.42545903
67,3,1,tx,vpp,256,ids,uk,2,557706.7660804001
68,3,1,tx,vpp,256,ids,uk,2,556844.6843079
69,3,1,tx,vpp,256,ids,uk,2,554720.50872722
