,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1609896.1039
1,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1610383.61638
2,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1609694.30569
3,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1611507.0
4,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1610103.8961
5,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1609730.26973
6,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1611425.0
7,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1606429.57043
8,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1608369.63037
9,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1608910.08991
10,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1609533.0
11,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1609968.03197
12,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1609725.02938
13,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1610380.61938
14,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1609731.26873
15,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1609767.0
16,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1610546.45355
17,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1610335.66434
18,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1604659.34066
19,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1608696.3037
20,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1609041.29264
21,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1610228.77123
22,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1609916.08392
23,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1609898.1019
24,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1609851.14885
25,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1610302.6973
26,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1610287.71229
27,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1611322.0
28,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1606116.0
29,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1608814.18581
30,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1609900.0999
31,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1611385.0
32,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1610105.89411
33,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1609826.17383
34,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1610055.94406
35,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1609916.08392
36,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1610205.49582
37,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1610037.96204
38,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1604553.44655
39,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1609084.91508
40,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1610169.83017
41,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1609888.11189
42,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1611292.0
43,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1611514.0
44,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1609873.12687
45,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1609705.29471
46,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1664000.0
47,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1610433.56643
48,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1604452.54745
49,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1608992.00799
50,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1609844.15584
51,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1610163.83616
52,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1608840.31936
53,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1610688.31169
54,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1610567.43257
55,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1609752.24775
56,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1610401.5984
57,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1611292.0
58,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1604495.5045
59,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1608739.26074
60,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1611346.0
61,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1610012.98701
62,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1609906.09391
63,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1611433.0
64,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1609742.25774
65,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1609997.003
66,3,1,rx,vpp,758,filter,ukebpfjit_nompk,0,1611628.0
