,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,1024,mirror,ukebpfjit_nompk,0,950810.620301
1,3,1,rx,vpp,1024,mirror,ukebpfjit_nompk,0,949597.763049
2,3,1,rx,vpp,1024,mirror,ukebpfjit_nompk,0,956289.442929
3,3,1,rx,vpp,1024,mirror,ukebpfjit_nompk,0,969341.046278
4,3,1,rx,vpp,1024,mirror,ukebpfjit_nompk,0,958600.806452
5,3,1,rx,vpp,1024,mirror,ukebpfjit_nompk,0,952892.911011
6,3,1,rx,vpp,1024,mirror,ukebpfjit_nompk,0,945776.094276
7,3,1,rx,vpp,1024,mirror,ukebpfjit_nompk,0,950503.139389
8,3,1,rx,vpp,1024,mirror,ukebpfjit_nompk,0,948865.217391
9,3,1,rx,vpp,1024,mirror,ukebpfjit_nompk,0,946742.971888
10,3,1,rx,vpp,1024,mirror,ukebpfjit_nompk,0,950279.089027
11,3,1,rx,vpp,1024,mirror,ukebpfjit_nompk,0,950421.728972
12,3,1,rx,vpp,1024,mirror,ukebpfjit_nompk,0,950775.427996
13,3,1,rx,vpp,1024,mirror,ukebpfjit_nompk,0,950140.323216
14,3,1,rx,vpp,1024,mirror,ukebpfjit_nompk,0,952598.922625
15,3,1,rx,vpp,1024,mirror,ukebpfjit_nompk,0,954352.301255
16,3,1,rx,vpp,1024,mirror,ukebpfjit_nompk,0,947854.849498
17,3,1,rx,vpp,1024,mirror,ukebpfjit_nompk,0,953460.266091
18,3,1,rx,vpp,1024,mirror,ukebpfjit_nompk,0,947620.947631
19,3,1,rx,vpp,1024,mirror,ukebpfjit_nompk,0,952624.623116
20,3,1,rx,vpp,1024,mirror,ukebpfjit_nompk,0,954561.538462
21,3,1,rx,vpp,1024,mirror,ukebpfjit_nompk,0,947146.104982
22,3,1,rx,vpp,1024,mirror,ukebpfjit_nompk,0,947024.096386
23,3,1,rx,vpp,1024,mirror,ukebpfjit_nompk,0,949074.297189
24,3,1,rx,vpp,1024,mirror,ukebpfjit_nompk,0,948101.003344
25,3,1,rx,vpp,1024,mirror,ukebpfjit_nompk,0,947220.492215
26,3,1,rx,vpp,1024,mirror,ukebpfjit_nompk,0,954384.513274
