Rx rate: 614251.143874   TxExt rate: 614251.143874   TxInt rate: 614251.143874
Rx rate: 940005.799503   TxExt rate: 940005.799503   TxInt rate: 940005.799503
Rx rate: 944005.449591   TxExt rate: 944005.449591   TxInt rate: 944005.449591
Rx rate: 932141.555711   TxExt rate: 932141.555711   TxInt rate: 932141.555711
Rx rate: 950810.620301   TxExt rate: 950810.620301   TxInt rate: 950810.620301
Rx rate: 949597.763049   TxExt rate: 949597.763049   TxInt rate: 949597.763049
Rx rate: 956289.442929   TxExt rate: 956289.442929   TxInt rate: 956289.442929
Rx rate: 969341.046278   TxExt rate: 969341.046278   TxInt rate: 969341.046278
Rx rate: 958600.806452   TxExt rate: 958600.806452   TxInt rate: 958600.806452
Rx rate: 952892.911011   TxExt rate: 952892.911011   TxInt rate: 952892.911011
Rx rate: 945776.094276   TxExt rate: 945776.094276   TxInt rate: 945776.094276
Rx rate: 950503.139389   TxExt rate: 950503.139389   TxInt rate: 950503.139389
Rx rate: 948865.217391   TxExt rate: 948865.217391   TxInt rate: 948865.217391
Rx rate: 946742.971888   TxExt rate: 946742.971888   TxInt rate: 946742.971888
Rx rate: 950279.089027   TxExt rate: 950279.089027   TxInt rate: 950279.089027
Rx rate: 950421.728972   TxExt rate: 950421.728972   TxInt rate: 950421.728972
Rx rate: 950775.427996   TxExt rate: 950775.427996   TxInt rate: 950775.427996
Rx rate: 950140.323216   TxExt rate: 950140.323216   TxInt rate: 950140.323216
Rx rate: 952598.922625   TxExt rate: 952598.922625   TxInt rate: 952598.922625
Rx rate: 954352.301255   TxExt rate: 954352.301255   TxInt rate: 954352.301255
Rx rate: 947854.849498   TxExt rate: 947854.849498   TxInt rate: 947854.849498
Rx rate: 953460.266091   TxExt rate: 953460.266091   TxInt rate: 953460.266091
Rx rate: 947620.947631   TxExt rate: 947620.947631   TxInt rate: 947620.947631
Rx rate: 952624.623116   TxExt rate: 952624.623116   TxInt rate: 952624.623116
Rx rate: 954561.538462   TxExt rate: 954561.538462   TxInt rate: 954561.538462
Rx rate: 947146.104982   TxExt rate: 947146.104982   TxInt rate: 947146.104982
Rx rate: 947024.096386   TxExt rate: 947024.096386   TxInt rate: 947024.096386
Rx rate: 949074.297189   TxExt rate: 949074.297189   TxInt rate: 949074.297189
Rx rate: 948101.003344   TxExt rate: 948101.003344   TxInt rate: 948101.003344
Rx rate: 947220.492215   TxExt rate: 947220.492215   TxInt rate: 947220.492215
Rx rate: 954384.513274   TxExt rate: 954384.513274   TxInt rate: 954384.513274
