,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1295939.0184071
1,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1296662.95129
2,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1293769.1309939
3,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1299680.0505422
4,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1291955.5931966999
5,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1297147.4685477999
6,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1299202.6204048
7,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1296896.8913763
8,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1293608.4461121
9,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1296894.3778219
10,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1295091.6389036
11,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1295530.3140862999
12,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1294338.5253960001
13,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1297840.2806835
14,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1296302.3550066
15,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1298278.1397329
16,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1298844.3833117
17,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1297230.8578307
18,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1291795.459429
19,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1297856.6288707
20,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1299279.8464249999
21,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1297100.1650454
22,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1297108.9870735
23,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1297050.4750187
24,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1297873.1921052
25,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1297610.7790712
26,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1295907.1672979
27,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1296987.411026
28,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1294586.5417507
29,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1299165.9897103999
30,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1298385.8750812002
31,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1296368.8469282999
32,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1296603.5185456
33,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1295312.3469681
34,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1296000.8082483
35,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1299692.1686376
36,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1298256.3279534
37,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1293855.5659647
38,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1291758.6594955
39,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1296913.9880325
40,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1295009.0920031
41,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1298054.4300747
42,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1290721.5676268
43,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1292028.3787025998
44,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1296935.0886847998
45,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1298788.7260591
46,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1295162.4687165
47,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1291880.6910724
48,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1296314.3687995
49,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1296024.8170399999
50,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1299689.0429023001
51,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1294703.0748285998
52,3,1,tx,vpp,64,empty,ukebpfjit_nompk,2,1297382.6170186999
