,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824550.94118006
1,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824551.8309104401
2,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824514.4579672699
3,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824558.9093881301
4,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824553.67065669
5,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824539.25016946
6,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824551.1737236
7,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824550.0662794
8,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824553.5194280699
9,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824547.15937374
10,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824564.38353001
11,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824537.00578084
12,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,823566.01902332
13,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824546.60726882
14,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824550.7031888
15,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824552.1022611399
16,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824548.41102723
17,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824550.5981368
18,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824551.77118241
19,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824548.7880619001
20,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824563.22766669
21,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824540.2616044199
22,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824082.1319747301
23,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824550.7963814001
24,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824550.36993345
25,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824549.8517442599
26,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824550.34131584
27,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824552.3792882799
28,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824548.7923153399
29,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824551.16518725
30,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824550.38966386
31,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824550.45380383
32,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,823560.13847156
33,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824555.83824902
34,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824545.6100434
35,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824550.10680572
36,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824550.5811115899
37,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824550.62018126
38,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824550.48299805
39,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824550.27351145
40,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824551.13385436
41,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824549.70649547
42,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824550.66940191
43,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824520.9067088501
44,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824550.13848995
45,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824550.62050908
46,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824550.2515487601
47,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824550.42104862
48,3,1,tx,vpp,1508,filter,ukebpfjit_nompk,0,824551.21020367
