Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1748712283,Device: id=0,RX,0.18536922417352,2218.4988749086,2248.1579507764,186365,278802040
1748712283,Device: id=0,TX,0,0,0,0,0
1748712284,Device: id=0,RX,0.18502041201517,2214.3242909975,2243.92755692,371875,556325000
1748712284,Device: id=0,TX,0,0,0,0,0
1748712285,Device: id=0,RX,0.18532548946677,2217.9754579383,2247.627536253,558180,835037280
1748712285,Device: id=0,TX,0,0,0,0,0
1748712286,Device: id=0,RX,0.18535037652237,2218.2733062198,2247.9293664633,744633,1113970968
1748712286,Device: id=0,TX,0,0,0,0,0
1748712287,Device: id=0,RX,0.18486670357518,2212.4847083878,2242.0633809598,930477,1391993592
1748712287,Device: id=0,TX,0,0,0,0,0
1748712288,Device: id=0,RX,0.18546412081403,2219.6464952818,2249.320754612,1117042,1671096328
1748712288,Device: id=0,TX,0,0,0,0,0
1748712289,Device: id=0,RX,0.18511703820732,2215.4688090547,2245.0875351679,1303151,1949513896
1748712289,Device: id=0,TX,0,0,0,0,0
1748712290,Device: id=0,RX,0.18549236773996,2219.9726571119,2249.6514359503,1489618,2228468528
1748712290,Device: id=0,TX,0,0,0,0,0
1748712291,Device: id=0,RX,0.18494632874381,2213.4495573644,2243.0409699634,1675700,2506848696
1748712291,Device: id=0,TX,0,0,0,0,0
1748712292,Device: id=0,RX,0.18520474790294,2216.5304229023,2246.1631825668,1861868,2785356024
1748712292,Device: id=0,TX,0,0,0,0,0
1748712293,Device: id=0,RX,0.18507746989479,2214.9952529806,2244.6076481638,2047898,3063655408
1748712293,Device: id=0,TX,0,0,0,0,0
1748712294,Device: id=0,RX,0.18526760177945,2217.2826580964,2246.9254743811,2234119,3342242024
1748712294,Device: id=0,TX,0,0,0,0,0
1748712295,Device: id=0,RX,0.18505635153481,2214.7544151686,2244.3634314142,2420147,3620539912
1748712295,Device: id=0,TX,0,0,0,0,0
1748712296,Device: id=0,RX,0.18522161620027,2216.7323026848,2246.3677612768,2606517,3899349432
1748712296,Device: id=0,TX,0,0,0,0,0
1748712297,Device: id=0,RX,0.18523044450546,2216.8379598413,2246.4748309622,2792711,4177895656
1748712297,Device: id=0,TX,0,0,0,0,0
1748712298,Device: id=0,RX,0.18525066624911,2217.1156882844,2246.7557948843,2978944,4456504712
1748712298,Device: id=0,TX,0,0,0,0,0
1748712299,Device: id=0,RX,0.185321004687,2217.8979743874,2247.5493351374,3165248,4735212504
1748712299,Device: id=0,TX,0,0,0,0,0
1748712300,Device: id=0,RX,0.18535951240354,2218.3826444455,2248.0401664301,3351601,5013996592
1748712300,Device: id=0,TX,0,0,0,0,0
1748712301,Device: id=0,RX,0.18533922530479,2218.1279491942,2247.782225243,3538011,5292864456
1748712301,Device: id=0,TX,0,0,0,0,0
1748712302,Device: id=0,RX,0.18545993609933,2219.5845152368,2249.2581050127,3724445,5571769720
1748712302,Device: id=0,TX,0,0,0,0,0
1748712303,Device: id=0,RX,0.1854997601075,2220.0611289666,2249.7410905838,3910919,5850734824
1748712303,Device: id=0,TX,0,0,0,0,0
1748712304,Device: id=0,RX,0.18531901667457,2217.8979915613,2247.5490342292,4097348,6129632608
1748712304,Device: id=0,TX,0,0,0,0,0
1748712305,Device: id=0,RX,0.18544884931547,2219.4518286075,2249.123644498,4283761,6408506456
1748712305,Device: id=0,TX,0,0,0,0,0
1748712306,Device: id=0,RX,0.18528880218336,2217.5363845305,2247.1825928798,4470179,6687387784
1748712306,Device: id=0,TX,0,0,0,0,0
1748712307,Device: id=0,RX,0.1850950391636,2215.21742871,2244.8326349762,4656256,6965758976
1748712307,Device: id=0,TX,0,0,0,0,0
1748712308,Device: id=0,RX,0.18532326127637,2217.9487909556,2247.6005127598,4842562,7244472752
1748712308,Device: id=0,TX,0,0,0,0,0
1748712309,Device: id=0,RX,0.18546071748541,2219.5938668654,2249.2675816631,5029036,7523437856
1748712309,Device: id=0,TX,0,0,0,0,0
1748712310,Device: id=0,RX,0.18533568516732,2218.1093849204,2247.7630945471,5215355,7802172576
1748712310,Device: id=0,TX,0,0,0,0,0
1748712311,Device: id=0,RX,0.18537718045745,2218.5821921088,2248.2425409819,5401735,8080995560
1748712311,Device: id=0,TX,0,0,0,0,0
1748712312,Device: id=0,RX,0.1852711015838,2217.3245437549,2246.9679200083,5588106,8359806576
1748712312,Device: id=0,TX,0,0,0,0,0
1748712313,Device: id=0,RX,0.18547190632162,2219.7277748572,2249.4032798686,5774542,8638714832
1748712313,Device: id=0,TX,0,0,0,0,0
1748712314,Device: id=0,RX,0.18538400272994,2218.675744672,2248.3371851088,5960900,8917506400
1748712314,Device: id=0,TX,0,0,0,0,0
1748712315,Device: id=0,RX,0.18544021514473,2219.3484948521,2249.0189292753,6147314,9196381744
1748712315,Device: id=0,TX,0,0,0,0,0
1748712316,Device: id=0,RX,0.1854741172673,2219.766140942,2249.4419997048,6333762,9475309448
1748712316,Device: id=0,TX,0,0,0,0,0
1748712317,Device: id=0,RX,0.1852156669634,2216.6491961431,2246.2837028573,6519941,9753831736
1748712317,Device: id=0,TX,0,0,0,0,0
1748712318,Device: id=0,RX,0.18517631632593,2216.1901537887,2245.8183644008,6706168,10032427328
1748712318,Device: id=0,TX,0,0,0,0,0
1748712319,Device: id=0,RX,0.18550846680082,2220.1653306723,2249.8466853604,6892641,10311390936
1748712319,Device: id=0,TX,0,0,0,0,0
1748712320,Device: id=0,RX,0.18543987895446,2219.344471327,2249.0148519597,7079035,10590236360
1748712320,Device: id=0,TX,0,0,0,0,0
1748712321,Device: id=0,RX,0.18545507494966,2219.5263369975,2249.1991489894,7265455,10869120680
1748712321,Device: id=0,TX,0,0,0,0,0
1748712322,Device: id=0,RX,0.18531796205615,2217.885369888,2247.5362438169,7451746,11147812016
1748712322,Device: id=0,TX,0,0,0,0,0
1748712323,Device: id=0,RX,0.18532891207008,2218.0164196548,2247.669045586,7638146,11426666416
1748712323,Device: id=0,TX,0,0,0,0,0
1748712324,Device: id=0,RX,0.18545097093004,2219.4772200907,2249.1493754395,7824561,11705543256
1748712324,Device: id=0,TX,0,0,0,0,0
1748712325,Device: id=0,RX,0.18546617142559,2219.6591396215,2249.3337270496,8011001,11984457496
1748712325,Device: id=0,TX,0,0,0,0,0
1748712326,Device: id=0,RX,0.18554476148077,2220.5997054018,2250.2868672388,8197823,12263943208
1748712326,Device: id=0,TX,0,0,0,0,0
1748712327,Device: id=0,RX,0.18523077744218,2216.8538505149,2246.4907749056,8384017,12542490928
1748712327,Device: id=0,TX,0,0,0,0,0
1748712328,Device: id=0,RX,0.18539410698689,2218.7847787659,2248.4478358838,8570570,12821572720
1748712328,Device: id=0,TX,0,0,0,0,0
1748712329,Device: id=0,RX,0.18542308465173,2219.1434771119,2248.8111706562,8756948,13100394208
1748712329,Device: id=0,TX,0,0,0,0,0
1748712330,Device: id=0,RX,0.18524524805625,2217.0151287372,2246.6543684262,8943156,13378961376
1748712330,Device: id=0,TX,0,0,0,0,0
1748712331,Device: id=0,RX,0.18543412279365,2219.2755815945,2248.9450412414,9129564,13657827744
1748712331,Device: id=0,TX,0,0,0,0,0
1748712332,Device: id=0,RX,0.1855243118472,2220.3549641873,2250.0388540828,9316053,13936815288
1748712332,Device: id=0,TX,0,0,0,0,0
1748712333,Device: id=0,RX,0.18543706394686,2219.3226874259,2248.9926176574,9502454,14215672680
1748712333,Device: id=0,TX,0,0,0,0,0
1748712334,Device: id=0,RX,0.18549815142223,2220.0299701494,2249.7096743769,9688917,14494619832
1748712334,Device: id=0,TX,0,0,0,0,0
1748712335,Device: id=0,RX,0.18516580830843,2216.0643938353,2245.6909231646,9875036,14773053856
1748712335,Device: id=0,TX,0,0,0,0,0
1748712336,Device: id=0,RX,0.1853463946459,2218.2256511221,2247.8810742655,10061502,15052006992
1748712336,Device: id=0,TX,0,0,0,0,0
1748712337,Device: id=0,RX,0.18457362172537,2208.9890109235,2238.5207903996,10247035,15329565856
1748712337,Device: id=0,TX,0,0,0,0,0
1748712338,Device: id=0,RX,0.18530355843368,2217.7010812372,2247.3496505866,10433302,15608219792
1748712338,Device: id=0,TX,0,0,0,0,0
1748712339,Device: id=0,RX,0.18546919013115,2219.6952674896,2249.3703379105,10619736,15887125056
1748712339,Device: id=0,TX,0,0,0,0,0
1748712340,Device: id=0,RX,0.18544617074467,2219.4316769532,2249.1030642724,10806156,16166010872
1748712340,Device: id=0,TX,0,0,0,0,0
1748712341,Device: id=0,RX,0.18528760685758,2217.5101727766,2247.1561898738,10992407,16444640872
1748712341,Device: id=0,TX,0,0,0,0,0
1748712342,Device: id=0,RX,0.1854466878423,2219.4259600967,2249.0974301514,11178818,16723511728
1748712342,Device: id=0,TX,0,0,0,0,0
1748712343,Device: id=0,RX,0.18539089272824,2218.7582041716,2248.4207470081,11365163,17002283848
1748712343,Device: id=0,TX,0,0,0,0,0
1748712344,Device: id=0,RX,0.18538678339244,2218.7090236407,2248.3709089835,11551582,17281166672
1748712344,Device: id=0,TX,0,0,0,0,0
1748712345,Device: id=0,RX,0.18545772303835,2219.558029323,2249.2312650091,11738004,17560053984
1748712345,Device: id=0,TX,0,0,0,0,0
1748712346,Device: id=0,RX,0.18519497946383,2216.4135142231,2246.0447109373,11924162,17838546352
1748712346,Device: id=0,TX,0,0,0,0,0
1748712347,Device: id=0,RX,0.18544069144257,2219.3660677062,2249.036578337,12111094,18118198120
1748712347,Device: id=0,TX,0,0,0,0,0
1748712348,Device: id=0,RX,0.18478641365273,2211.5118931291,2241.0777193135,12296851,18396089096
1748712348,Device: id=0,TX,0,0,0,0,0
1748712349,Device: id=0,RX,0.18542496176417,2219.1659423935,2248.8339362758,12483240,18674927040
1748712349,Device: id=0,TX,0,0,0,0,0
1748712350,Device: id=0,RX,0.18541430107666,2219.0383552855,2248.7046434577,12669618,18953748528
1748712350,Device: id=0,TX,0,0,0,0,0
1748712351,Device: id=0,RX,0.1853650089869,2218.4484275552,2248.1068289932,12855947,19232496712
1748712351,Device: id=0,TX,0,0,0,0,0
1748712352,Device: id=0,RX,0.18541220316176,2219.0132474399,2248.6791999458,13042509,19511593464
1748712352,Device: id=0,TX,0,0,0,0,0
1748712353,Device: id=0,RX,0.18531833500036,2217.8898328008,2247.5407664009,13186176,19726520792
1748712353,Device: id=0,TX,0,0,0,0,0
