,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,64,filter,ukebpfjit,0,2106403.88087
1,3,1,rx,vpp,64,filter,ukebpfjit,0,2099553.02208
2,3,1,rx,vpp,64,filter,ukebpfjit,0,2097551.20482
3,3,1,rx,vpp,64,filter,ukebpfjit,0,2096713.66376
4,3,1,rx,vpp,64,filter,ukebpfjit,0,2093955.77889
5,3,1,rx,vpp,64,filter,ukebpfjit,0,2091798.14551
6,3,1,rx,vpp,64,filter,ukebpfjit,0,2092082.22644
7,3,1,rx,vpp,64,filter,ukebpfjit,0,2090937.10271
8,3,1,rx,vpp,64,filter,ukebpfjit,0,2087659.41787
9,3,1,rx,vpp,64,filter,ukebpfjit,0,2085503.51759
10,3,1,rx,vpp,64,filter,ukebpfjit,0,2081705.61178
11,3,1,rx,vpp,64,filter,ukebpfjit,0,2078273.94209
12,3,1,rx,vpp,64,filter,ukebpfjit,0,2080754.41635
13,3,1,rx,vpp,64,filter,ukebpfjit,0,2082684.10463
14,3,1,rx,vpp,64,filter,ukebpfjit,0,2081969.73803
15,3,1,rx,vpp,64,filter,ukebpfjit,0,2080160.79924
16,3,1,rx,vpp,64,filter,ukebpfjit,0,2080733.69565
17,3,1,rx,vpp,64,filter,ukebpfjit,0,2082278.35396
18,3,1,rx,vpp,64,filter,ukebpfjit,0,2080905.07283
19,3,1,rx,vpp,64,filter,ukebpfjit,0,2076066.36501
20,3,1,rx,vpp,64,filter,ukebpfjit,0,2076065.1341
21,3,1,rx,vpp,64,filter,ukebpfjit,0,2067243.43675
