,repetitions,num_vms,direction,interface,size,vnf,system,fw_size,repetition,pps
0,3,1,rx,vpp,64,firewall,linux,1000,1,123838.484546
1,3,1,rx,vpp,64,firewall,linux,1000,1,121422.04568
2,3,1,rx,vpp,64,firewall,linux,1000,1,124185.628743
3,3,1,rx,vpp,64,firewall,linux,1000,1,122307.38523
4,3,1,rx,vpp,64,firewall,linux,1000,1,122206.793207
5,3,1,rx,vpp,64,firewall,linux,1000,1,118709.0
6,3,1,rx,vpp,64,firewall,linux,1000,1,122655.0
7,3,1,rx,vpp,64,firewall,linux,1000,1,123614.0
8,3,1,rx,vpp,64,firewall,linux,1000,1,121796.0
9,3,1,rx,vpp,64,firewall,linux,1000,1,119888.0
10,3,1,rx,vpp,64,firewall,linux,1000,1,119295.0
11,3,1,rx,vpp,64,firewall,linux,1000,1,124668.331668
12,3,1,rx,vpp,64,firewall,linux,1000,1,121691.308691
13,3,1,rx,vpp,64,firewall,linux,1000,1,121486.513487
14,3,1,rx,vpp,64,firewall,linux,1000,1,121537.462537
15,3,1,rx,vpp,64,firewall,linux,1000,1,120307.0
16,3,1,rx,vpp,64,firewall,linux,1000,1,120924.0
17,3,1,rx,vpp,64,firewall,linux,1000,1,123024.0
18,3,1,rx,vpp,64,firewall,linux,1000,1,121677.0
19,3,1,rx,vpp,64,firewall,linux,1000,1,121353.353353
20,3,1,rx,vpp,64,firewall,linux,1000,1,125174.825175
21,3,1,rx,vpp,64,firewall,linux,1000,1,123198.0
22,3,1,rx,vpp,64,firewall,linux,1000,1,124746.0
23,3,1,rx,vpp,64,firewall,linux,1000,1,121412.0
24,3,1,rx,vpp,64,firewall,linux,1000,1,124951.0
25,3,1,rx,vpp,64,firewall,linux,1000,1,123436.563437
26,3,1,rx,vpp,64,firewall,linux,1000,1,123612.387612
27,3,1,rx,vpp,64,firewall,linux,1000,1,121410.0
28,3,1,rx,vpp,64,firewall,linux,1000,1,122158.0
29,3,1,rx,vpp,64,firewall,linux,1000,1,120891.108891
30,3,1,rx,vpp,64,firewall,linux,1000,1,123903.096903
31,3,1,rx,vpp,64,firewall,linux,1000,1,122964.0
32,3,1,rx,vpp,64,firewall,linux,1000,1,120916.0
33,3,1,rx,vpp,64,firewall,linux,1000,1,122661.0
34,3,1,rx,vpp,64,firewall,linux,1000,1,119833.0
35,3,1,rx,vpp,64,firewall,linux,1000,1,123503.503504
36,3,1,rx,vpp,64,firewall,linux,1000,1,122390.0
37,3,1,rx,vpp,64,firewall,linux,1000,1,122387.612388
38,3,1,rx,vpp,64,firewall,linux,1000,1,120811.0
39,3,1,rx,vpp,64,firewall,linux,1000,1,117937.125749
40,3,1,rx,vpp,64,firewall,linux,1000,1,121119.0
41,3,1,rx,vpp,64,firewall,linux,1000,1,122035.0
42,3,1,rx,vpp,64,firewall,linux,1000,1,121164.0
43,3,1,rx,vpp,64,firewall,linux,1000,1,122169.83017
44,3,1,rx,vpp,64,firewall,linux,1000,1,121873.0
45,3,1,rx,vpp,64,firewall,linux,1000,1,122598.0
46,3,1,rx,vpp,64,firewall,linux,1000,1,119810.18981
47,3,1,rx,vpp,64,firewall,linux,1000,1,119878.121878
48,3,1,rx,vpp,64,firewall,linux,1000,1,116583.0
49,3,1,rx,vpp,64,firewall,linux,1000,1,121440.0
50,3,1,rx,vpp,64,firewall,linux,1000,1,121595.0
51,3,1,rx,vpp,64,firewall,linux,1000,1,122911.0
52,3,1,rx,vpp,64,firewall,linux,1000,1,122460.539461
53,3,1,rx,vpp,64,firewall,linux,1000,1,123010.0
54,3,1,rx,vpp,64,firewall,linux,1000,1,124702.0
55,3,1,rx,vpp,64,firewall,linux,1000,1,120595.0
56,3,1,rx,vpp,64,firewall,linux,1000,1,119564.435564
57,3,1,rx,vpp,64,firewall,linux,1000,1,122742.257742
58,3,1,rx,vpp,64,firewall,linux,1000,1,122775.224775
59,3,1,rx,vpp,64,firewall,linux,1000,1,121367.0
60,3,1,rx,vpp,64,firewall,linux,1000,1,125039.0
61,3,1,rx,vpp,64,firewall,linux,1000,1,120531.468531
62,3,1,rx,vpp,64,firewall,linux,1000,1,121866.0
63,3,1,rx,vpp,64,firewall,linux,1000,1,120980.01998
64,3,1,rx,vpp,64,firewall,linux,1000,1,119295.0
65,3,1,rx,vpp,64,firewall,linux,1000,1,121971.0
66,3,1,rx,vpp,64,firewall,linux,1000,1,120965.0
67,3,1,rx,vpp,64,firewall,linux,1000,1,120822.177822
68,3,1,rx,vpp,64,firewall,linux,1000,1,121688.0
69,3,1,rx,vpp,64,firewall,linux,1000,1,121635.364635
70,3,1,rx,vpp,64,firewall,linux,1000,1,121249.0
71,3,1,rx,vpp,64,firewall,linux,1000,1,120214.785215
72,3,1,rx,vpp,64,firewall,linux,1000,1,120106.893107
73,3,1,rx,vpp,64,firewall,linux,1000,1,122489.51049
74,3,1,rx,vpp,64,firewall,linux,1000,1,120348.651349
75,3,1,rx,vpp,64,firewall,linux,1000,1,121726.273726
76,3,1,rx,vpp,64,firewall,linux,1000,1,123240.0
77,3,1,rx,vpp,64,firewall,linux,1000,1,121724.0
78,3,1,rx,vpp,64,firewall,linux,1000,1,121174.0
79,3,1,rx,vpp,64,firewall,linux,1000,1,121681.0
80,3,1,rx,vpp,64,firewall,linux,1000,1,122839.0
81,3,1,rx,vpp,64,firewall,linux,1000,1,123903.0
82,3,1,rx,vpp,64,firewall,linux,1000,1,120305.0
83,3,1,rx,vpp,64,firewall,linux,1000,1,122050.0
84,3,1,rx,vpp,64,firewall,linux,1000,1,123391.0
85,3,1,rx,vpp,64,firewall,linux,1000,1,123771.0
86,3,1,rx,vpp,64,firewall,linux,1000,1,124393.0
87,3,1,rx,vpp,64,firewall,linux,1000,1,124519.480519
88,3,1,rx,vpp,64,firewall,linux,1000,1,122627.0
89,3,1,rx,vpp,64,firewall,linux,1000,1,122183.0
90,3,1,rx,vpp,64,firewall,linux,1000,1,122554.0
91,3,1,rx,vpp,64,firewall,linux,1000,1,122023.0
92,3,1,rx,vpp,64,firewall,linux,1000,1,124630.0
93,3,1,rx,vpp,64,firewall,linux,1000,1,121295.0
94,3,1,rx,vpp,64,firewall,linux,1000,1,123175.0
95,3,1,rx,vpp,64,firewall,linux,1000,1,120470.0
96,3,1,rx,vpp,64,firewall,linux,1000,1,121644.0
97,3,1,rx,vpp,64,firewall,linux,1000,1,123107.892108
98,3,1,rx,vpp,64,firewall,linux,1000,1,123911.0
99,3,1,rx,vpp,64,firewall,linux,1000,1,119259.0
100,3,1,rx,vpp,64,firewall,linux,1000,1,122417.0
101,3,1,rx,vpp,64,firewall,linux,1000,1,120319.68032
102,3,1,rx,vpp,64,firewall,linux,1000,1,121371.628372
103,3,1,rx,vpp,64,firewall,linux,1000,1,121510.0
104,3,1,rx,vpp,64,firewall,linux,1000,1,123934.0
105,3,1,rx,vpp,64,firewall,linux,1000,1,123521.0
106,3,1,rx,vpp,64,firewall,linux,1000,1,122071.928072
107,3,1,rx,vpp,64,firewall,linux,1000,1,120229.0
108,3,1,rx,vpp,64,firewall,linux,1000,1,123835.0
109,3,1,rx,vpp,64,firewall,linux,1000,1,114391.0
110,3,1,rx,vpp,64,firewall,linux,1000,1,122842.0
111,3,1,rx,vpp,64,firewall,linux,1000,1,122740.0
112,3,1,rx,vpp,64,firewall,linux,1000,1,122441.117764
113,3,1,rx,vpp,64,firewall,linux,1000,1,125236.0
114,3,1,rx,vpp,64,firewall,linux,1000,1,122138.861139
115,3,1,rx,vpp,64,firewall,linux,1000,1,119061.0
116,3,1,rx,vpp,64,firewall,linux,1000,1,123112.0
117,3,1,rx,vpp,64,firewall,linux,1000,1,124452.0
118,3,1,rx,vpp,64,firewall,linux,1000,1,123045.908184
119,3,1,rx,vpp,64,firewall,linux,1000,1,122411.588412
120,3,1,rx,vpp,64,firewall,linux,1000,1,122776.0
121,3,1,rx,vpp,64,firewall,linux,1000,1,120949.0
122,3,1,rx,vpp,64,firewall,linux,1000,1,122510.0
123,3,1,rx,vpp,64,firewall,linux,1000,1,123514.0
124,3,1,rx,vpp,64,firewall,linux,1000,1,121436.0
125,3,1,rx,vpp,64,firewall,linux,1000,1,118523.0
126,3,1,rx,vpp,64,firewall,linux,1000,1,125836.836837
127,3,1,rx,vpp,64,firewall,linux,1000,1,124206.206206
128,3,1,rx,vpp,64,firewall,linux,1000,1,121515.484515
129,3,1,rx,vpp,64,firewall,linux,1000,1,120812.187812
130,3,1,rx,vpp,64,firewall,linux,1000,1,121454.545455
131,3,1,rx,vpp,64,firewall,linux,1000,1,122790.0
132,3,1,rx,vpp,64,firewall,linux,1000,1,119663.336663
133,3,1,rx,vpp,64,firewall,linux,1000,1,124046.0
134,3,1,rx,vpp,64,firewall,linux,1000,1,121537.537538
135,3,1,rx,vpp,64,firewall,linux,1000,1,124162.837163
136,3,1,rx,vpp,64,firewall,linux,1000,1,122563.436563
137,3,1,rx,vpp,64,firewall,linux,1000,1,125399.0
138,3,1,rx,vpp,64,firewall,linux,1000,1,125302.0
139,3,1,rx,vpp,64,firewall,linux,1000,1,116664.0
140,3,1,rx,vpp,64,firewall,linux,1000,1,122705.705706
