,repetitions,num_vms,direction,interface,size,vnf,system,fw_size,repetition,pps
0,3,1,rx,vpp,64,firewall,uk,1000,1,156680.31968
1,3,1,rx,vpp,64,firewall,uk,1000,1,155979.988883
2,3,1,rx,vpp,64,firewall,uk,1000,1,156174.104463
3,3,1,rx,vpp,64,firewall,uk,1000,1,156526.163082
4,3,1,rx,vpp,64,firewall,uk,1000,1,156640.984591
5,3,1,rx,vpp,64,firewall,uk,1000,1,156005.893705
6,3,1,rx,vpp,64,firewall,uk,1000,1,156261.983388
7,3,1,rx,vpp,64,firewall,uk,1000,1,156478.787272
8,3,1,rx,vpp,64,firewall,uk,1000,1,156388.13288
9,3,1,rx,vpp,64,firewall,uk,1000,1,156626.876126
10,3,1,rx,vpp,64,firewall,uk,1000,1,156667.10026
11,3,1,rx,vpp,64,firewall,uk,1000,1,156512.658861
12,3,1,rx,vpp,64,firewall,uk,1000,1,156212.048434
13,3,1,rx,vpp,64,firewall,uk,1000,1,155812.797462
14,3,1,rx,vpp,64,firewall,uk,1000,1,156483.08642
15,3,1,rx,vpp,64,firewall,uk,1000,1,156346.316283
16,3,1,rx,vpp,64,firewall,uk,1000,1,156407.379135
17,3,1,rx,vpp,64,firewall,uk,1000,1,156650.780261
18,3,1,rx,vpp,64,firewall,uk,1000,1,156395.486157
19,3,1,rx,vpp,64,firewall,uk,1000,1,157011.877395
