,repetitions,num_vms,direction,interface,size,vnf,system,fw_size,repetition,pps
0,3,1,rx,vpp,64,firewall,ukebpf,10,1,950091.004184
1,3,1,rx,vpp,64,firewall,ukebpf,10,1,953172.777499
2,3,1,rx,vpp,64,firewall,ukebpf,10,1,948622.367101
3,3,1,rx,vpp,64,firewall,ukebpf,10,1,956203.015075
4,3,1,rx,vpp,64,firewall,ukebpf,10,1,944626.216078
5,3,1,rx,vpp,64,firewall,ukebpf,10,1,943622.679378
6,3,1,rx,vpp,64,firewall,ukebpf,10,1,946014.049172
7,3,1,rx,vpp,64,firewall,ukebpf,10,1,942371.801305
8,3,1,rx,vpp,64,firewall,ukebpf,10,1,944930.792377
9,3,1,rx,vpp,64,firewall,ukebpf,10,1,941774.311927
10,3,1,rx,vpp,64,firewall,ukebpf,10,1,938898.876404
11,3,1,rx,vpp,64,firewall,ukebpf,10,1,939428.427926
12,3,1,rx,vpp,64,firewall,ukebpf,10,1,940879.042691
13,3,1,rx,vpp,64,firewall,ukebpf,10,1,941146.916147
14,3,1,rx,vpp,64,firewall,ukebpf,10,1,942450.772201
15,3,1,rx,vpp,64,firewall,ukebpf,10,1,935623.689727
16,3,1,rx,vpp,64,firewall,ukebpf,10,1,939131.213873
17,3,1,rx,vpp,64,firewall,ukebpf,10,1,939932.324841
18,3,1,rx,vpp,64,firewall,ukebpf,10,1,941931.293882
19,3,1,rx,vpp,64,firewall,ukebpf,10,1,943037.148594
20,3,1,rx,vpp,64,firewall,ukebpf,10,1,936011.887073
21,3,1,rx,vpp,64,firewall,ukebpf,10,1,937132.689375
22,3,1,rx,vpp,64,firewall,ukebpf,10,1,939426.280393
23,3,1,rx,vpp,64,firewall,ukebpf,10,1,937577.755906
24,3,1,rx,vpp,64,firewall,ukebpf,10,1,941306.920762
25,3,1,rx,vpp,64,firewall,ukebpf,10,1,933928.196147
26,3,1,rx,vpp,64,firewall,ukebpf,10,1,937013.535463
27,3,1,rx,vpp,64,firewall,ukebpf,10,1,940289.57529
28,3,1,rx,vpp,64,firewall,ukebpf,10,1,941627.118644
29,3,1,rx,vpp,64,firewall,ukebpf,10,1,939886.870355
30,3,1,rx,vpp,64,firewall,ukebpf,10,1,934454.340474
31,3,1,rx,vpp,64,firewall,ukebpf,10,1,932499.498495
32,3,1,rx,vpp,64,firewall,ukebpf,10,1,934273.958856
