,repetitions,num_vms,direction,interface,size,vnf,system,fw_size,repetition,pps
0,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2493271.60494
1,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2488679.83368
2,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2489227.13568
3,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2481165.99598
4,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2481368.69475
5,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2475229.00158
6,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2472372.02554
7,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2466275.74083
8,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2468002.51004
9,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2460666.38655
10,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2457082.66237
11,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2456736.14896
12,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2455747.89444
13,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2456323.45294
14,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2455193.15895
15,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2452222.91667
16,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2455003.01356
17,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2445071.90635
18,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2447843.37998
19,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2445560.0624
20,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2445626.08696
21,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2445280.16726
22,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2440535.14056
23,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2435979.72973
24,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2433501.74216
25,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2433099.56474
26,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2437408.99202
27,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2432011.94743
28,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2430925.117
29,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2432261.26126
30,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2435849.68803
31,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2436905.62249
32,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2437196.51922
33,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2434850.05974
34,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2435806.9719
35,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2435477.03907
36,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2431519.36967
37,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2433354.86891
38,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2434113.1977
39,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2425878.66109
40,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2430284.94624
41,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2427541.03672
42,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2430240.56366
43,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2430052.79265
44,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2433553.90113
45,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2428609.65795
46,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2433186.97917
47,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2429909.51932
48,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2425564.46371
49,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2426041.7505
50,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2425218.82952
51,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2424118.46318
52,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2428628.70515
53,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2425695.12808
54,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2425724.42942
55,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2430665.92675
56,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2427858.93574
57,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2420163.31658
58,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2428355.02959
59,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2427494.47791
60,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2422251.50602
61,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2427699.23274
62,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2418348.54369
63,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2419409.25637
64,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2424414.02562
65,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2425518.77785
66,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2426450.32397
67,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2425231.38833
68,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2419671.01449
69,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2421860.89552
70,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2425986.43898
71,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2423550.2008
72,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2419355.359
