Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1761115933,Device: id=0,RX,0,0,0,0,0
1761115933,Device: id=0,TX,0.00099937176379668,0.70355772171286,0.86345720392033,1046,92048
1761115934,Device: id=0,RX,0,0,0,0,0
1761115934,Device: id=0,TX,0.00099910632299601,0.70337085138919,0.86322786306856,2051,180488
1761115935,Device: id=0,RX,0,0,0,0,0
1761115935,Device: id=0,TX,0.0010007099520173,0.70449980622017,0.86461339854294,3057,269016
1761115936,Device: id=0,RX,0,0,0,0,0
1761115936,Device: id=0,TX,0.00099971011665265,0.70379592212346,0.86374954078789,4062,357456
1761115937,Device: id=0,RX,0,0,0,0,0
1761115937,Device: id=0,TX,0.00099969024553153,0.7037819328542,0.86373237213924,5067,445896
1761115938,Device: id=0,RX,0,0,0,0,0
1761115938,Device: id=0,TX,0.00099970822360166,0.70379458941557,0.86374790519183,6072,534336
1761115939,Device: id=0,RX,0,0,0,0,0
1761115939,Device: id=0,TX,0.00099965866229913,0.70375969825859,0.86370508422645,7077,622776
1761115940,Device: id=0,RX,0,0,0,0,0
1761115940,Device: id=0,TX,0.00099968388871773,0.70377745765728,0.86372687985212,8082,711216
1761115941,Device: id=0,RX,0,0,0,0,0
1761115941,Device: id=0,TX,0,0,0,8082,711216
1761115942,Device: id=0,RX,0,0,0,0,0
1761115942,Device: id=0,TX,0.00099768424952583,0.70236971166618,0.86199919159032,9085,799480
1761115943,Device: id=0,RX,0,0,0,0,0
1761115943,Device: id=0,TX,0.00099960636135831,0.70372287839625,0.86365989621358,10090,887920
1761115944,Device: id=0,RX,0,0,0,0,0
1761115944,Device: id=0,TX,0,0,0,10090,887920
1761115945,Device: id=0,RX,0,0,0,0,0
1761115945,Device: id=0,TX,0,0,0,10090,887920
1761115946,Device: id=0,RX,0,0,0,0,0
1761115946,Device: id=0,TX,0,0,0,10090,887920
1761115947,Device: id=0,RX,0,0,0,0,0
1761115947,Device: id=0,TX,0,0,0,10090,887920
1761115948,Device: id=0,RX,0,0,0,0,0
1761115948,Device: id=0,TX,0,0,0,10090,887920
1761115949,Device: id=0,RX,0,0,0,0,0
1761115949,Device: id=0,TX,0,0,0,10090,887920
1761115950,Device: id=0,RX,0,0,0,0,0
1761115950,Device: id=0,TX,0,0,0,10090,887920
1761115951,Device: id=0,RX,0,0,0,0,0
1761115951,Device: id=0,TX,0,0,0,10090,887920
1761115952,Device: id=0,RX,0,0,0,0,0
1761115952,Device: id=0,TX,0.00099778753125628,0.70244242200442,0.86208842700543,11093,976184
1761115953,Device: id=0,RX,0,0,0,0,0
1761115953,Device: id=0,TX,0,0,0,11093,976184
1761115954,Device: id=0,RX,0,0,0,0,0
1761115954,Device: id=0,TX,0,0,0,11093,976184
1761115955,Device: id=0,RX,0,0,0,0,0
1761115955,Device: id=0,TX,0,0,0,11093,976184
1761115956,Device: id=0,RX,0,0,0,0,0
1761115956,Device: id=0,TX,0,0,0,11093,976184
1761115957,Device: id=0,RX,0,0,0,0,0
1761115957,Device: id=0,TX,0,0,0,11093,976184
1761115958,Device: id=0,RX,0,0,0,0,0
1761115958,Device: id=0,TX,0,0,0,11093,976184
1761115959,Device: id=0,RX,0,0,0,0,0
1761115959,Device: id=0,TX,0.00099975374031267,0.70382663318012,0.86378723163015,12098,1064624
1761115960,Device: id=0,RX,0,0,0,0,0
1761115960,Device: id=0,TX,0.0010007537567492,0.70453064475145,0.86465124583132,13104,1153152
1761115961,Device: id=0,RX,0,0,0,0,0
1761115961,Device: id=0,TX,0.00099907806217048,0.70335095576802,0.86320344571529,14109,1241592
1761115962,Device: id=0,RX,0,0,0,0,0
1761115962,Device: id=0,TX,0.00099773151747156,0.70240298829998,0.86204003109543,15112,1329856
1761115963,Device: id=0,RX,0,0,0,0,0
1761115963,Device: id=0,TX,0.00099969721737482,0.70378684103187,0.86373839581184,16117,1418296
1761115964,Device: id=0,RX,0,0,0,0,0
1761115964,Device: id=0,TX,0.00099972513535818,0.70380649529216,0.86376251694947,17122,1506736
1761115965,Device: id=0,RX,0,0,0,0,0
1761115965,Device: id=0,TX,0,0,0,17122,1506736
1761115966,Device: id=0,RX,0,0,0,0,0
1761115966,Device: id=0,TX,0,0,0,17122,1506736
1761115967,Device: id=0,RX,0,0,0,0,0
1761115967,Device: id=0,TX,0,0,0,17122,1506736
1761115968,Device: id=0,RX,0,0,0,0,0
1761115968,Device: id=0,TX,0,0,0,17122,1506736
1761115969,Device: id=0,RX,0,0,0,0,0
1761115969,Device: id=0,TX,0,0,0,17122,1506736
1761115970,Device: id=0,RX,0,0,0,0,0
1761115970,Device: id=0,TX,0,0,0,17122,1506736
1761115971,Device: id=0,RX,0,0,0,0,0
1761115971,Device: id=0,TX,0,0,0,17122,1506736
1761115972,Device: id=0,RX,0,0,0,0,0
1761115972,Device: id=0,TX,0,0,0,17122,1506736
1761115973,Device: id=0,RX,0,0,0,0,0
1761115973,Device: id=0,TX,0.00099973411938269,0.70381282004542,0.86377027914665,18127,1595176
1761115974,Device: id=0,RX,0,0,0,0,0
1761115974,Device: id=0,TX,0,0,0,18127,1595176
1761115975,Device: id=0,RX,0,0,0,0,0
1761115975,Device: id=0,TX,0.00099977233416452,0.70383972325182,0.86380329671814,19133,1683704
1761115976,Device: id=0,RX,0,0,0,0,0
1761115976,Device: id=0,TX,0,0,0,19133,1683704
1761115977,Device: id=0,RX,0,0,0,0,0
1761115977,Device: id=0,TX,0,0,0,19133,1683704
1761115978,Device: id=0,RX,0,0,0,0,0
1761115978,Device: id=0,TX,0,0,0,19133,1683704
1761115979,Device: id=0,RX,0,0,0,0,0
1761115979,Device: id=0,TX,0,0,0,19133,1683704
1761115980,Device: id=0,RX,0,0,0,0,0
1761115980,Device: id=0,TX,0,0,0,19133,1683704
1761115981,Device: id=0,RX,0,0,0,0,0
1761115981,Device: id=0,TX,0,0,0,19133,1683704
1761115982,Device: id=0,RX,0,0,0,0,0
1761115982,Device: id=0,TX,0,0,0,19133,1683704
1761115983,Device: id=0,RX,0,0,0,0,0
1761115983,Device: id=0,TX,0.00099777596858493,0.70243428188379,0.86207843685738,20136,1771968
1761115984,Device: id=0,RX,0,0,0,0,0
1761115984,Device: id=0,TX,0.00099972753231718,0.70380818275129,0.86376458792204,21141,1860408
1761115985,Device: id=0,RX,0,0,0,0,0
1761115985,Device: id=0,TX,0.0010006778240626,0.70447718814007,0.86458563999008,22147,1948936
1761115986,Device: id=0,RX,0,0,0,0,0
1761115986,Device: id=0,TX,0.00099974115852503,0.70381777560162,0.86377636096562,23152,2037376
1761115987,Device: id=0,RX,0,0,0,0,0
1761115987,Device: id=0,TX,0.00099972811766594,0.70380859483682,0.86376509366337,24157,2125816
1761115988,Device: id=0,RX,0,0,0,0,0
1761115988,Device: id=0,TX,0.00099962612172917,0.70373678969734,0.863676969174,25162,2214256
1761115989,Device: id=0,RX,0,0,0,0,0
1761115989,Device: id=0,TX,0,0,0,25162,2214256
1761115990,Device: id=0,RX,0,0,0,0,0
1761115990,Device: id=0,TX,0,0,0,25162,2214256
1761115991,Device: id=0,RX,0,0,0,0,0
1761115991,Device: id=0,TX,0,0,0,25162,2214256
1761115992,Device: id=0,RX,0,0,0,0,0
1761115992,Device: id=0,TX,0,0,0,25162,2214256
1761115993,Device: id=0,RX,0,0,0,0,0
1761115993,Device: id=0,TX,0,0,0,25162,2214256
1761115994,Device: id=0,RX,0,0,0,0,0
1761115994,Device: id=0,TX,0.0010000103084807,0.70400725717043,0.86400890652735,26168,2302784
