,repetitions,num_vms,direction,interface,size,vnf,system,rate,repetition,pps
0,3,1,rx,vpp,64,nat,linux,100,2,0.0
1,3,1,rx,vpp,64,nat,linux,100,2,0.0
2,3,1,rx,vpp,64,nat,linux,100,2,0.0
3,3,1,rx,vpp,64,nat,linux,100,2,1000.0
4,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
5,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
6,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
7,3,1,rx,vpp,64,nat,linux,100,2,998.998998999
8,3,1,rx,vpp,64,nat,linux,100,2,943.943943944
9,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
10,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
11,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
12,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
13,3,1,rx,vpp,64,nat,linux,100,2,1000.0
14,3,1,rx,vpp,64,nat,linux,100,2,1002.00400802
15,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
16,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
17,3,1,rx,vpp,64,nat,linux,100,2,999.0
18,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
19,3,1,rx,vpp,64,nat,linux,100,2,1000.0
20,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
21,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
22,3,1,rx,vpp,64,nat,linux,100,2,1002.002002
23,3,1,rx,vpp,64,nat,linux,100,2,1000.0
24,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
25,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
26,3,1,rx,vpp,64,nat,linux,100,2,1001.0
27,3,1,rx,vpp,64,nat,linux,100,2,1000.0
28,3,1,rx,vpp,64,nat,linux,100,2,1000.0
29,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
30,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
31,3,1,rx,vpp,64,nat,linux,100,2,1001.0
32,3,1,rx,vpp,64,nat,linux,100,2,1001.00200401
33,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
34,3,1,rx,vpp,64,nat,linux,100,2,1001.0
35,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
36,3,1,rx,vpp,64,nat,linux,100,2,1000.0
37,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
38,3,1,rx,vpp,64,nat,linux,100,2,1000.0
39,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
40,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
41,3,1,rx,vpp,64,nat,linux,100,2,1000.0
42,3,1,rx,vpp,64,nat,linux,100,2,1002.002002
43,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
44,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
45,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
46,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
47,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
48,3,1,rx,vpp,64,nat,linux,100,2,998.998998999
49,3,1,rx,vpp,64,nat,linux,100,2,1001.0
50,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
51,3,1,rx,vpp,64,nat,linux,100,2,1002.00400802
52,3,1,rx,vpp,64,nat,linux,100,2,1000.0
53,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
54,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
55,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
56,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
57,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
58,3,1,rx,vpp,64,nat,linux,100,2,998.998998999
59,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
60,3,1,rx,vpp,64,nat,linux,100,2,1000.0
61,3,1,rx,vpp,64,nat,linux,100,2,1002.002002
62,3,1,rx,vpp,64,nat,linux,100,2,1000.0
63,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
64,3,1,rx,vpp,64,nat,linux,100,2,1001.00200401
65,3,1,rx,vpp,64,nat,linux,100,2,1001.0
66,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
67,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
68,3,1,rx,vpp,64,nat,linux,100,2,998.998998999
69,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
70,3,1,rx,vpp,64,nat,linux,100,2,1000.0
71,3,1,rx,vpp,64,nat,linux,100,2,1002.002002
72,3,1,rx,vpp,64,nat,linux,100,2,1000.0
73,3,1,rx,vpp,64,nat,linux,100,2,1001.0
74,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
75,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
76,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
77,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
78,3,1,rx,vpp,64,nat,linux,100,2,1001.001001
79,3,1,rx,vpp,64,nat,linux,100,2,1009.80392157
80,3,1,rx,vpp,64,nat,linux,100,2,0.0
81,3,1,rx,vpp,64,nat,linux,100,2,0.0
