Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1761116330,Device: id=0,RX,9.946749933929e-07,0.00077982519482003,0.0009389731937629,1,98
1761116330,Device: id=0,TX,5.7202098569503e-06,0.004027027739293,0.0049422613164051,7,616
1761116331,Device: id=0,RX,5.9481634176912e-06,0.0046633601194699,0.0056150662663005,7,686
1761116331,Device: id=0,TX,4.9732247230648e-06,0.0035011502050376,0.004296866160728,12,1056
1761116332,Device: id=0,RX,5.9683364431297e-06,0.0046791757714137,0.0056341096023145,13,1274
1761116332,Device: id=0,TX,5.9682499911696e-06,0.0042016479937834,0.0051565679923705,18,1584
1761116333,Device: id=0,RX,4.9736062751773e-06,0.003899307319739,0.0046950843237673,18,1764
1761116333,Device: id=0,TX,5.9685990875594e-06,0.0042018937576418,0.0051568696116513,24,2112
1761116334,Device: id=0,RX,5.9674357096325e-06,0.0046784695963519,0.005633259309893,24,2352
1761116334,Device: id=0,TX,5.9671327326275e-06,0.0042008614437697,0.0051556026809901,30,2640
1761116335,Device: id=0,RX,5.9683373499044e-06,0.0046791764823251,0.0056341104583098,30,2940
1761116335,Device: id=0,TX,6.9631519449745e-06,0.004902058969262,0.006016163280458,37,3256
1761116336,Device: id=0,RX,5.9686566401884e-06,0.0046794268059077,0.0056344118683379,36,3528
1761116336,Device: id=0,TX,5.9688561144232e-06,0.004202074704554,0.0051570916828617,43,3784
1761116337,Device: id=0,RX,6.9634332887978e-06,0.0054593316984175,0.0065734810246251,43,4214
1761116337,Device: id=0,TX,5.9685599603681e-06,0.0042018662120992,0.0051568358057581,49,4312
1761116338,Device: id=0,RX,4.9738795934405e-06,0.0038995216012573,0.0046953423362078,48,4704
1761116338,Device: id=0,TX,5.9682597663744e-06,0.0042016548755276,0.0051565764381475,55,4840
1761116339,Device: id=0,RX,5.9680329766009e-06,0.0046789378536551,0.0056338231299112,54,5292
1761116339,Device: id=0,TX,5.9685232887688e-06,0.0042018403952932,0.0051568041214962,61,5368
1761116340,Device: id=0,RX,5.9686498939543e-06,0.0046794215168602,0.0056344054998928,60,5880
1761116340,Device: id=0,TX,5.968381627384e-06,0.0042017406656784,0.0051566817260598,67,5896
1761116341,Device: id=0,RX,4.9715392156333e-06,0.0038976867450565,0.0046931330195578,65,6370
1761116341,Device: id=0,TX,5.966115318526e-06,0.0042001451842423,0.0051547236352064,73,6424
1761116342,Device: id=0,RX,4.9738819527821e-06,0.0038995234509811,0.0046953445634263,70,6860
1761116342,Device: id=0,TX,5.967987200551e-06,0.0042014629891879,0.0051563409412761,79,6952
1761116343,Device: id=0,RX,5.9636605113458e-06,0.0046755098408951,0.0056296955227105,76,7448
1761116343,Device: id=0,TX,5.963460147721e-06,0.0041982759439956,0.0051524295676309,85,7480
1761116344,Device: id=0,RX,6.9623388516019e-06,0.0054584736596559,0.0065724478759121,83,8134
1761116344,Device: id=0,TX,5.9684818623473e-06,0.0042018112310925,0.005156768329068,91,8008
1761116345,Device: id=0,RX,5.9686424841737e-06,0.0046794157075922,0.00563439850506,89,8722
1761116345,Device: id=0,TX,5.9682804890298e-06,0.004201669464277,0.0051565943425217,97,8536
1761116346,Device: id=0,RX,5.9680424193807e-06,0.0046789452567944,0.0056338320438953,95,9310
1761116346,Device: id=0,TX,5.9683386547758e-06,0.0042017104129622,0.0051566445977263,103,9064
1761116347,Device: id=0,RX,6.9594209424354e-06,0.0054561860188693,0.006569693369659,102,9996
1761116347,Device: id=0,TX,5.9651657445381e-06,0.0041994766841548,0.0051539032032809,109,9592
1761116348,Device: id=0,RX,5.9683473244441e-06,0.0046791843023642,0.0056341198742753,108,10584
1761116348,Device: id=0,TX,6.963188534126e-06,0.0049020847280247,0.0060161948934849,116,10208
1761116349,Device: id=0,RX,5.9683442060146e-06,0.0046791818575155,0.0056341169304778,114,11172
1761116349,Device: id=0,TX,6.9630745361892e-06,0.0049020044734772,0.0060160963992675,123,10824
1761116350,Device: id=0,RX,6.9634220893154e-06,0.0054593229180233,0.0065734704523137,121,11858
1761116350,Device: id=0,TX,5.9687723681274e-06,0.0042020157471617,0.0051570193260621,129,11352
1761116351,Device: id=0,RX,6.9579575844082e-06,0.0054550387461761,0.0065683119596814,128,12544
1761116352,Device: id=0,TX,6.9578083840426e-06,0.004898297102366,0.0060115464438128,136,11968
1761116352,Device: id=0,RX,6.9630886502628e-06,0.005459061501806,0.0065731556858481,135,13230
1761116353,Device: id=0,TX,5.9683124026428e-06,0.0042016919314605,0.0051566219158834,142,12496
