,repetitions,num_vms,direction,interface,size,vnf,system,rate,repetition,pps
0,3,1,rx,vpp,64,mirror,uk,100,2,0.0
1,3,1,rx,vpp,64,mirror,uk,100,2,0.0
2,3,1,rx,vpp,64,mirror,uk,100,2,0.0
3,3,1,rx,vpp,64,mirror,uk,100,2,1002.62467192
4,3,1,rx,vpp,64,mirror,uk,100,2,1007.0
5,3,1,rx,vpp,64,mirror,uk,100,2,1006.0
6,3,1,rx,vpp,64,mirror,uk,100,2,1006.0
7,3,1,rx,vpp,64,mirror,uk,100,2,1007.00700701
8,3,1,rx,vpp,64,mirror,uk,100,2,952.952952953
9,3,1,rx,vpp,64,mirror,uk,100,2,1007.0
10,3,1,rx,vpp,64,mirror,uk,100,2,1007.00700701
11,3,1,rx,vpp,64,mirror,uk,100,2,1007.0
12,3,1,rx,vpp,64,mirror,uk,100,2,1006.0
13,3,1,rx,vpp,64,mirror,uk,100,2,1006.0
14,3,1,rx,vpp,64,mirror,uk,100,2,1006.0
15,3,1,rx,vpp,64,mirror,uk,100,2,1006.0
16,3,1,rx,vpp,64,mirror,uk,100,2,1006.0
17,3,1,rx,vpp,64,mirror,uk,100,2,1006.00600601
18,3,1,rx,vpp,64,mirror,uk,100,2,1008.00800801
19,3,1,rx,vpp,64,mirror,uk,100,2,1007.0
20,3,1,rx,vpp,64,mirror,uk,100,2,1007.00700701
21,3,1,rx,vpp,64,mirror,uk,100,2,1007.0
22,3,1,rx,vpp,64,mirror,uk,100,2,1006.00600601
23,3,1,rx,vpp,64,mirror,uk,100,2,1007.0
24,3,1,rx,vpp,64,mirror,uk,100,2,1005.0
25,3,1,rx,vpp,64,mirror,uk,100,2,1005.0
26,3,1,rx,vpp,64,mirror,uk,100,2,1007.00700701
27,3,1,rx,vpp,64,mirror,uk,100,2,1007.0
28,3,1,rx,vpp,64,mirror,uk,100,2,1006.0
29,3,1,rx,vpp,64,mirror,uk,100,2,1006.0
30,3,1,rx,vpp,64,mirror,uk,100,2,1006.0
31,3,1,rx,vpp,64,mirror,uk,100,2,1006.00600601
32,3,1,rx,vpp,64,mirror,uk,100,2,1008.00800801
33,3,1,rx,vpp,64,mirror,uk,100,2,1007.0
34,3,1,rx,vpp,64,mirror,uk,100,2,1005.00500501
35,3,1,rx,vpp,64,mirror,uk,100,2,1007.0
36,3,1,rx,vpp,64,mirror,uk,100,2,1006.00600601
37,3,1,rx,vpp,64,mirror,uk,100,2,1007.0
38,3,1,rx,vpp,64,mirror,uk,100,2,1007.00700701
39,3,1,rx,vpp,64,mirror,uk,100,2,1007.0
40,3,1,rx,vpp,64,mirror,uk,100,2,1007.00700701
41,3,1,rx,vpp,64,mirror,uk,100,2,1007.00700701
42,3,1,rx,vpp,64,mirror,uk,100,2,1007.0
43,3,1,rx,vpp,64,mirror,uk,100,2,1006.0
44,3,1,rx,vpp,64,mirror,uk,100,2,1004.0
45,3,1,rx,vpp,64,mirror,uk,100,2,1006.00600601
46,3,1,rx,vpp,64,mirror,uk,100,2,1007.0
47,3,1,rx,vpp,64,mirror,uk,100,2,1006.0
48,3,1,rx,vpp,64,mirror,uk,100,2,1007.00700701
49,3,1,rx,vpp,64,mirror,uk,100,2,1008.00800801
50,3,1,rx,vpp,64,mirror,uk,100,2,1007.00700701
51,3,1,rx,vpp,64,mirror,uk,100,2,1009.00900901
52,3,1,rx,vpp,64,mirror,uk,100,2,1006.0
53,3,1,rx,vpp,64,mirror,uk,100,2,1007.00700701
54,3,1,rx,vpp,64,mirror,uk,100,2,1007.00700701
55,3,1,rx,vpp,64,mirror,uk,100,2,1006.0
56,3,1,rx,vpp,64,mirror,uk,100,2,1006.00600601
57,3,1,rx,vpp,64,mirror,uk,100,2,1007.0
58,3,1,rx,vpp,64,mirror,uk,100,2,1007.00700701
59,3,1,rx,vpp,64,mirror,uk,100,2,1007.0
60,3,1,rx,vpp,64,mirror,uk,100,2,1007.00700701
61,3,1,rx,vpp,64,mirror,uk,100,2,1007.0
62,3,1,rx,vpp,64,mirror,uk,100,2,1006.00600601
63,3,1,rx,vpp,64,mirror,uk,100,2,1007.0
64,3,1,rx,vpp,64,mirror,uk,100,2,1007.00700701
65,3,1,rx,vpp,64,mirror,uk,100,2,1005.0
66,3,1,rx,vpp,64,mirror,uk,100,2,1006.00600601
67,3,1,rx,vpp,64,mirror,uk,100,2,1008.00800801
68,3,1,rx,vpp,64,mirror,uk,100,2,1007.0
69,3,1,rx,vpp,64,mirror,uk,100,2,1007.00700701
70,3,1,rx,vpp,64,mirror,uk,100,2,1007.00700701
71,3,1,rx,vpp,64,mirror,uk,100,2,1008.0
72,3,1,rx,vpp,64,mirror,uk,100,2,1005.0
73,3,1,rx,vpp,64,mirror,uk,100,2,1007.00700701
74,3,1,rx,vpp,64,mirror,uk,100,2,1007.0
75,3,1,rx,vpp,64,mirror,uk,100,2,1005.00500501
76,3,1,rx,vpp,64,mirror,uk,100,2,1007.00700701
77,3,1,rx,vpp,64,mirror,uk,100,2,1007.0
78,3,1,rx,vpp,64,mirror,uk,100,2,1008.21917808
79,3,1,rx,vpp,64,mirror,uk,100,2,0.0
80,3,1,rx,vpp,64,mirror,uk,100,2,0.0
81,3,1,rx,vpp,64,mirror,uk,100,2,0.0
