,repetitions,num_vms,direction,interface,size,vnf,system,rate,repetition,pps
0,3,1,rx,vpp,64,nat,uk,100,2,0.0
1,3,1,rx,vpp,64,nat,uk,100,2,0.0
2,3,1,rx,vpp,64,nat,uk,100,2,1009.70873786
3,3,1,rx,vpp,64,nat,uk,100,2,1006.0
4,3,1,rx,vpp,64,nat,uk,100,2,1006.0
5,3,1,rx,vpp,64,nat,uk,100,2,1006.0
6,3,1,rx,vpp,64,nat,uk,100,2,1007.00700701
7,3,1,rx,vpp,64,nat,uk,100,2,958.0
8,3,1,rx,vpp,64,nat,uk,100,2,1005.00500501
9,3,1,rx,vpp,64,nat,uk,100,2,1009.00900901
10,3,1,rx,vpp,64,nat,uk,100,2,1006.0
11,3,1,rx,vpp,64,nat,uk,100,2,1004.995005
12,3,1,rx,vpp,64,nat,uk,100,2,1006.0
13,3,1,rx,vpp,64,nat,uk,100,2,1006.0
14,3,1,rx,vpp,64,nat,uk,100,2,1005.00500501
15,3,1,rx,vpp,64,nat,uk,100,2,1008.00800801
16,3,1,rx,vpp,64,nat,uk,100,2,1007.0
17,3,1,rx,vpp,64,nat,uk,100,2,1007.00700701
18,3,1,rx,vpp,64,nat,uk,100,2,1007.00700701
19,3,1,rx,vpp,64,nat,uk,100,2,1007.0
20,3,1,rx,vpp,64,nat,uk,100,2,1006.0
21,3,1,rx,vpp,64,nat,uk,100,2,1006.00600601
22,3,1,rx,vpp,64,nat,uk,100,2,1007.00700701
23,3,1,rx,vpp,64,nat,uk,100,2,1007.0
24,3,1,rx,vpp,64,nat,uk,100,2,1006.00600601
25,3,1,rx,vpp,64,nat,uk,100,2,1007.0
26,3,1,rx,vpp,64,nat,uk,100,2,1006.00600601
27,3,1,rx,vpp,64,nat,uk,100,2,1007.0
28,3,1,rx,vpp,64,nat,uk,100,2,1006.00600601
29,3,1,rx,vpp,64,nat,uk,100,2,1008.00800801
30,3,1,rx,vpp,64,nat,uk,100,2,1007.0
31,3,1,rx,vpp,64,nat,uk,100,2,1006.00600601
32,3,1,rx,vpp,64,nat,uk,100,2,1007.0
33,3,1,rx,vpp,64,nat,uk,100,2,1006.0
34,3,1,rx,vpp,64,nat,uk,100,2,1006.00600601
35,3,1,rx,vpp,64,nat,uk,100,2,1007.0
36,3,1,rx,vpp,64,nat,uk,100,2,1006.0
37,3,1,rx,vpp,64,nat,uk,100,2,1007.00700701
38,3,1,rx,vpp,64,nat,uk,100,2,1006.0
39,3,1,rx,vpp,64,nat,uk,100,2,1007.00700701
40,3,1,rx,vpp,64,nat,uk,100,2,1006.0
41,3,1,rx,vpp,64,nat,uk,100,2,1006.0
42,3,1,rx,vpp,64,nat,uk,100,2,1005.0
43,3,1,rx,vpp,64,nat,uk,100,2,1006.0
44,3,1,rx,vpp,64,nat,uk,100,2,1006.00600601
45,3,1,rx,vpp,64,nat,uk,100,2,1007.0
46,3,1,rx,vpp,64,nat,uk,100,2,1004.995005
47,3,1,rx,vpp,64,nat,uk,100,2,1007.00700701
48,3,1,rx,vpp,64,nat,uk,100,2,1005.99400599
49,3,1,rx,vpp,64,nat,uk,100,2,1006.0
50,3,1,rx,vpp,64,nat,uk,100,2,1007.00700701
51,3,1,rx,vpp,64,nat,uk,100,2,1006.0
52,3,1,rx,vpp,64,nat,uk,100,2,1006.0
53,3,1,rx,vpp,64,nat,uk,100,2,1006.0
54,3,1,rx,vpp,64,nat,uk,100,2,1006.0
55,3,1,rx,vpp,64,nat,uk,100,2,1006.0
56,3,1,rx,vpp,64,nat,uk,100,2,1006.0
57,3,1,rx,vpp,64,nat,uk,100,2,1005.0
58,3,1,rx,vpp,64,nat,uk,100,2,1007.00700701
59,3,1,rx,vpp,64,nat,uk,100,2,1007.00700701
60,3,1,rx,vpp,64,nat,uk,100,2,1007.0
61,3,1,rx,vpp,64,nat,uk,100,2,1006.0
62,3,1,rx,vpp,64,nat,uk,100,2,1006.0
63,3,1,rx,vpp,64,nat,uk,100,2,1006.0
64,3,1,rx,vpp,64,nat,uk,100,2,1006.00600601
65,3,1,rx,vpp,64,nat,uk,100,2,1007.00700701
66,3,1,rx,vpp,64,nat,uk,100,2,1007.0
67,3,1,rx,vpp,64,nat,uk,100,2,1006.00600601
68,3,1,rx,vpp,64,nat,uk,100,2,1007.0
69,3,1,rx,vpp,64,nat,uk,100,2,1006.0
70,3,1,rx,vpp,64,nat,uk,100,2,1006.00600601
71,3,1,rx,vpp,64,nat,uk,100,2,1007.0
72,3,1,rx,vpp,64,nat,uk,100,2,1006.00600601
73,3,1,rx,vpp,64,nat,uk,100,2,1007.0
74,3,1,rx,vpp,64,nat,uk,100,2,1006.00600601
75,3,1,rx,vpp,64,nat,uk,100,2,1007.0
76,3,1,rx,vpp,64,nat,uk,100,2,1006.00600601
77,3,1,rx,vpp,64,nat,uk,100,2,1007.00700701
78,3,1,rx,vpp,64,nat,uk,100,2,1017.36972705
79,3,1,rx,vpp,64,nat,uk,100,2,0.0
80,3,1,rx,vpp,64,nat,uk,100,2,0.0
