Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1761145620,Device: id=0,RX,0,0,0,0,0
1761145620,Device: id=0,TX,1.916788102254e-06,0.0013494188239868,0.0016561049203475,7,616
1761145621,Device: id=0,RX,0,0,0,0,0
1761145621,Device: id=0,TX,9.9466413906141e-07,0.00070024355389923,0.00085938981614906,8,704
1761145622,Device: id=0,RX,9.9467067006032e-07,0.00070024815172247,0.00085939545893212,1,88
1761145622,Device: id=0,TX,0,0,0,8,704
1761145623,Device: id=0,RX,0,0,0,1,88
1761145623,Device: id=0,TX,0,0,0,8,704
1761145624,Device: id=0,RX,0,0,0,1,88
1761145624,Device: id=0,TX,0,0,0,8,704
1761145625,Device: id=0,RX,0,0,0,1,88
1761145625,Device: id=0,TX,0,0,0,8,704
1761145626,Device: id=0,RX,0.00099973863183201,0.70381599680973,0.86377417790285,1006,88528
1761145626,Device: id=0,TX,0.00099976255442144,0.7038328383127,0.86379484702013,1013,89144
1761145627,Device: id=0,RX,0.00099969401668655,0.70378458774733,0.86373563041718,2011,176968
1761145627,Device: id=0,TX,0.00099969582818469,0.70378586304202,0.86373719555157,2018,177584
1761145628,Device: id=0,RX,0.0010005824053724,0.70441001338219,0.86450319824178,3017,265496
1761145628,Device: id=0,TX,0,0,0,2018,177584
1761145629,Device: id=0,RX,1.9856206498812e-06,0.0013978769375163,0.0017155762414973,3019,265672
1761145629,Device: id=0,TX,1.9855967019364e-06,0.0013978600781632,0.001715555550473,2020,177760
1761145630,Device: id=0,RX,1.9891362305356e-06,0.0014003519062971,0.0017186137031828,3021,265848
1761145630,Device: id=0,TX,9.9470167873275e-07,0.00070026998182786,0.0008594222504251,2021,177848
1761145631,Device: id=0,RX,9.947240269636e-07,0.00070028571498237,0.00085944155929655,3022,265936
1761145631,Device: id=0,TX,9.9469530213323e-07,0.0007002654927018,0.00085941674104311,2022,177936
1761145632,Device: id=0,RX,9.9472421495397e-07,0.00070028584732759,0.00085944172172023,3023,266024
1761145632,Device: id=0,TX,9.9475626650729e-07,0.00070030841162113,0.0008594694142623,2023,178024
1761145633,Device: id=0,RX,9.9477624678399e-07,0.00070032247773593,0.00085948667722137,3024,266112
1761145633,Device: id=0,TX,9.9475645819617e-07,0.0007003085465701,0.00085946957988149,2024,178112
1761145634,Device: id=0,RX,9.9472451352705e-07,0.00070028605752304,0.00085944197968737,3025,266200
1761145634,Device: id=0,TX,9.9473358875983e-07,0.00070029244648692,0.00085944982068849,2025,178200
1761145635,Device: id=0,RX,1.9874698727814e-06,0.0013991787904381,0.0017171739700831,3027,266376
1761145635,Device: id=0,TX,1.9874883035307e-06,0.0013991917656856,0.0017171898942505,2027,178376
1761145636,Device: id=0,RX,0,0,0,3027,266376
1761145636,Device: id=0,TX,1.9894464910284e-06,0.001400570329684,0.0017188817682486,2029,178552
1761145637,Device: id=0,RX,9.9472671781288e-07,0.00070028760934027,0.00085944388419033,3028,266464
1761145637,Device: id=0,TX,9.947254645388e-07,0.00070028672703532,0.00085944280136152,2030,178640
1761145638,Device: id=0,RX,9.9477574173759e-07,0.00070032212218326,0.00085948624086127,3029,266552
1761145638,Device: id=0,TX,9.9479830343475e-07,0.00070033800561807,0.00085950573416763,2031,178728
1761145639,Device: id=0,RX,1.9892410354529e-06,0.0014004256889588,0.0017187042546313,3031,266728
1761145639,Device: id=0,TX,9.9458079158693e-07,0.0007001848772772,0.00085931780393111,2032,178816
1761145640,Device: id=0,RX,9.9472336346875e-07,0.000700285247882,0.000859440986037,3032,266816
1761145640,Device: id=0,TX,1.98947604645e-06,0.0014005911367008,0.0017189073041328,2034,178992
1761145641,Device: id=0,RX,9.9477692140881e-07,0.0007003229526718,0.00085948726009721,3033,266904
1761145641,Device: id=0,TX,9.9480154399786e-07,0.00070034028697449,0.00085950853401415,2035,179080
1761145642,Device: id=0,RX,9.9477594449338e-07,0.00070032226492334,0.00085948641604228,3034,266992
1761145642,Device: id=0,TX,9.9474745627126e-07,0.00070030220921497,0.00085946180221837,2036,179168
1761145643,Device: id=0,RX,0,0,0,3034,266992
1761145643,Device: id=0,TX,0,0,0,2036,179168
1761145644,Device: id=0,RX,9.9477668916082e-07,0.00070032278916922,0.00085948705943495,3035,267080
1761145644,Device: id=0,TX,0,0,0,2036,179168
1761145645,Device: id=0,RX,9.947231939091e-07,0.00070028512851201,0.00085944083953746,3036,267168
1761145645,Device: id=0,TX,9.947241006853e-07,0.00070028576688245,0.0008594416229921,2037,179256
1761145646,Device: id=0,RX,0,0,0,3036,267168
1761145646,Device: id=0,TX,9.9478067057001e-07,0.00070032559208129,0.00085949049937249,2038,179344
1761145647,Device: id=0,RX,9.9477584127224e-07,0.00070032219225566,0.00085948632685921,3037,267256
