,repetitions,num_vms,direction,interface,size,vnf,system,rate,repetition,pps
0,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,0.0
1,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,0.0
2,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,0.0
3,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1003.60576923
4,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1007.0
5,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1007.00700701
6,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1007.0
7,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1006.0
8,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,957.0
9,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1006.0
10,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1006.00600601
11,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1008.00800801
12,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1005.0
13,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1006.00600601
14,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1007.0
15,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1007.00700701
16,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1007.00700701
17,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1007.00700701
18,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1009.00900901
19,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1007.0
20,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1006.00600601
21,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1008.00800801
22,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1006.0
23,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1006.00600601
24,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1007.0
25,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1006.0
26,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1006.0
27,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1006.00600601
28,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1008.00800801
29,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1008.00800801
30,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1007.0
31,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1006.00600601
32,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1006.0
33,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1006.00600601
34,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1007.0
35,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1007.00700701
36,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1007.00700701
37,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1007.0
38,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1007.00700701
39,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1008.00800801
40,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1007.01402806
41,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1009.00900901
42,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1006.0
43,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1006.00600601
44,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1007.0
45,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1006.0
46,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1006.0
47,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1006.00600601
48,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1007.0
49,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1006.0
50,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1007.01402806
51,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1008.0
52,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1005.0
53,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1005.0
54,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1006.00600601
55,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1008.00800801
56,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1007.0
57,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1006.0
58,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1005.0
59,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1007.0
60,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1006.00600601
61,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1007.0
62,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1006.0
63,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1004.0
64,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1006.00600601
65,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1007.0
66,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1007.00700701
67,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1007.0
68,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1005.0
69,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1007.0
70,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1006.00600601
71,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1007.0
72,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1007.01402806
73,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1007.00700701
74,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1007.0
75,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1006.0
76,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1005.0
77,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1007.00700701
78,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,1010.59001513
79,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,0.0
80,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,0.0
81,3,1,rx,vpp,64,mirror,ukebpfjit,100,1,0.0
