,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,empty,linux,2,main,415089595203032
1,3,1,empty,linux,2,init done,415089596096502
2,3,1,empty,linux,2,first packet,415089596147050
3,3,1,empty,linux,2,total startup time,14797633
4,3,1,empty,linux,2,main,415095457330857
5,3,1,empty,linux,2,init done,415095458216454
6,3,1,empty,linux,2,first packet,415095458241068
7,3,1,empty,linux,2,total startup time,14966260
8,3,1,empty,linux,2,main,415101316161393
9,3,1,empty,linux,2,init done,415101317078113
10,3,1,empty,linux,2,first packet,415101317098130
11,3,1,empty,linux,2,total startup time,14704260
12,3,1,empty,linux,2,main,415107176062622
13,3,1,empty,linux,2,init done,415107176926318
14,3,1,empty,linux,2,first packet,415107176974019
15,3,1,empty,linux,2,total startup time,14709451
16,3,1,empty,linux,2,main,415113067480694
17,3,1,empty,linux,2,init done,415113068359247
18,3,1,empty,linux,2,first packet,415113068411065
19,3,1,empty,linux,2,total startup time,14887316
20,3,1,empty,linux,2,main,415118915710570
21,3,1,empty,linux,2,init done,415118916588094
22,3,1,empty,linux,2,first packet,415118916636449
23,3,1,empty,linux,2,total startup time,15141632
24,3,1,empty,linux,2,main,415124777018241
25,3,1,empty,linux,2,init done,415124777890006
26,3,1,empty,linux,2,first packet,415124777941485
27,3,1,empty,linux,2,total startup time,14690127
28,3,1,empty,linux,2,main,415130624648932
29,3,1,empty,linux,2,init done,415130625245473
30,3,1,empty,linux,2,first packet,415130625264521
31,3,1,empty,linux,2,total startup time,14658787
32,3,1,empty,linux,2,main,415136481221776
33,3,1,empty,linux,2,init done,415136482109151
34,3,1,empty,linux,2,first packet,415136482158621
35,3,1,empty,linux,2,total startup time,14772297
36,3,1,empty,linux,2,main,415142337905336
37,3,1,empty,linux,2,init done,415142338787239
38,3,1,empty,linux,2,first packet,415142338834294
39,3,1,empty,linux,2,total startup time,14891044
