,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,filter,linux,1,main,415672144573004
1,3,1,filter,linux,1,init done,415672145494681
2,3,1,filter,linux,1,first packet,415672145542546
3,3,1,filter,linux,1,total startup time,15060635
4,3,1,filter,linux,1,main,415678014048306
5,3,1,filter,linux,1,init done,415678014985342
6,3,1,filter,linux,1,first packet,415678015015349
7,3,1,filter,linux,1,total startup time,14941246
8,3,1,filter,linux,1,main,415683911143992
9,3,1,filter,linux,1,init done,415683912074143
10,3,1,filter,linux,1,first packet,415683912098275
11,3,1,filter,linux,1,total startup time,14945384
12,3,1,filter,linux,1,main,415689799928674
13,3,1,filter,linux,1,init done,415689800872244
14,3,1,filter,linux,1,first packet,415689800892395
15,3,1,filter,linux,1,total startup time,15055266
16,3,1,filter,linux,1,main,415695654313824
17,3,1,filter,linux,1,init done,415695655255934
18,3,1,filter,linux,1,first packet,415695655276483
19,3,1,filter,linux,1,total startup time,15031059
20,3,1,filter,linux,1,main,415701474392101
21,3,1,filter,linux,1,init done,415701475322931
22,3,1,filter,linux,1,first packet,415701475375691
23,3,1,filter,linux,1,total startup time,15085340
24,3,1,filter,linux,1,main,415707361084562
25,3,1,filter,linux,1,init done,415707362058896
26,3,1,filter,linux,1,first packet,415707362078895
27,3,1,filter,linux,1,total startup time,15041468
28,3,1,filter,linux,1,main,415713252508930
29,3,1,filter,linux,1,init done,415713253440688
30,3,1,filter,linux,1,first packet,415713253491536
31,3,1,filter,linux,1,total startup time,15007724
32,3,1,filter,linux,1,main,415719062905809
33,3,1,filter,linux,1,init done,415719063536427
34,3,1,filter,linux,1,first packet,415719063556641
35,3,1,filter,linux,1,total startup time,14561404
36,3,1,filter,linux,1,main,415724926046357
37,3,1,filter,linux,1,init done,415724926972027
38,3,1,filter,linux,1,first packet,415724927027599
39,3,1,filter,linux,1,total startup time,15516799
