,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,firewall-2,linux,2,main,418295548405234
1,3,1,firewall-2,linux,2,init done,418295549338496
2,3,1,firewall-2,linux,2,first packet,418295549388064
3,3,1,firewall-2,linux,2,total startup time,15089836
4,3,1,firewall-2,linux,2,main,418301388397342
5,3,1,firewall-2,linux,2,init done,418301389325442
6,3,1,firewall-2,linux,2,first packet,418301389374421
7,3,1,firewall-2,linux,2,total startup time,14557857
8,3,1,firewall-2,linux,2,main,418307268779425
9,3,1,firewall-2,linux,2,init done,418307269421128
10,3,1,firewall-2,linux,2,first packet,418307269440303
11,3,1,firewall-2,linux,2,total startup time,14733043
12,3,1,firewall-2,linux,2,main,418313123628502
13,3,1,firewall-2,linux,2,init done,418313124552341
14,3,1,firewall-2,linux,2,first packet,418313124573183
15,3,1,firewall-2,linux,2,total startup time,14807617
16,3,1,firewall-2,linux,2,main,418318965671277
17,3,1,firewall-2,linux,2,init done,418318966591721
18,3,1,firewall-2,linux,2,first packet,418318966643767
19,3,1,firewall-2,linux,2,total startup time,14750385
20,3,1,firewall-2,linux,2,main,418324818861307
21,3,1,firewall-2,linux,2,init done,418324819781429
22,3,1,firewall-2,linux,2,first packet,418324819829723
23,3,1,firewall-2,linux,2,total startup time,14982897
24,3,1,firewall-2,linux,2,main,418330665101425
25,3,1,firewall-2,linux,2,init done,418330666025922
26,3,1,firewall-2,linux,2,first packet,418330666075878
27,3,1,firewall-2,linux,2,total startup time,14776951
28,3,1,firewall-2,linux,2,main,418336503157178
29,3,1,firewall-2,linux,2,init done,418336504077979
30,3,1,firewall-2,linux,2,first packet,418336504128788
31,3,1,firewall-2,linux,2,total startup time,14787776
32,3,1,firewall-2,linux,2,main,418342374368773
33,3,1,firewall-2,linux,2,init done,418342375284516
34,3,1,firewall-2,linux,2,first packet,418342375339131
35,3,1,firewall-2,linux,2,total startup time,15011429
36,3,1,firewall-2,linux,2,main,418348223188120
37,3,1,firewall-2,linux,2,init done,418348224163061
38,3,1,firewall-2,linux,2,first packet,418348224212565
39,3,1,firewall-2,linux,2,total startup time,14864316
