,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,mirror,linux,2,main,417025270028433
1,3,1,mirror,linux,2,init done,417025270917508
2,3,1,mirror,linux,2,first packet,417025270944678
3,3,1,mirror,linux,2,total startup time,14895521
4,3,1,mirror,linux,2,main,417031146323833
5,3,1,mirror,linux,2,init done,417031146938823
6,3,1,mirror,linux,2,first packet,417031146960962
7,3,1,mirror,linux,2,total startup time,15395614
8,3,1,mirror,linux,2,main,417037009967948
9,3,1,mirror,linux,2,init done,417037010872862
10,3,1,mirror,linux,2,first packet,417037010897594
11,3,1,mirror,linux,2,total startup time,14602953
12,3,1,mirror,linux,2,main,417042884386478
13,3,1,mirror,linux,2,init done,417042884990920
14,3,1,mirror,linux,2,first packet,417042885018637
15,3,1,mirror,linux,2,total startup time,14407672
16,3,1,mirror,linux,2,main,417048759042813
17,3,1,mirror,linux,2,init done,417048759941454
18,3,1,mirror,linux,2,first packet,417048759967501
19,3,1,mirror,linux,2,total startup time,14769752
20,3,1,mirror,linux,2,main,417054615414098
21,3,1,mirror,linux,2,init done,417054616327278
22,3,1,mirror,linux,2,first packet,417054616354330
23,3,1,mirror,linux,2,total startup time,14660331
24,3,1,mirror,linux,2,main,417060503993130
25,3,1,mirror,linux,2,init done,417060504901219
26,3,1,mirror,linux,2,first packet,417060504927120
27,3,1,mirror,linux,2,total startup time,15257286
28,3,1,mirror,linux,2,main,417066368403018
29,3,1,mirror,linux,2,init done,417066369307610
30,3,1,mirror,linux,2,first packet,417066369333229
31,3,1,mirror,linux,2,total startup time,14730239
32,3,1,mirror,linux,2,main,417072238404323
33,3,1,mirror,linux,2,init done,417072239311890
34,3,1,mirror,linux,2,first packet,417072239340172
35,3,1,mirror,linux,2,total startup time,14676763
36,3,1,mirror,linux,2,main,417078106926653
37,3,1,mirror,linux,2,init done,417078107830010
38,3,1,mirror,linux,2,first packet,417078107856099
39,3,1,mirror,linux,2,total startup time,14471402
