,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,nat,linux,2,main,417666003113952
1,3,1,nat,linux,2,init done,417666116365590
2,3,1,nat,linux,2,first packet,417666116389015
3,3,1,nat,linux,2,total startup time,127692121
4,3,1,nat,linux,2,main,417671614291816
5,3,1,nat,linux,2,init done,417671727299805
6,3,1,nat,linux,2,first packet,417671727321430
7,3,1,nat,linux,2,total startup time,127068590
8,3,1,nat,linux,2,main,417677268108025
9,3,1,nat,linux,2,init done,417677379702879
10,3,1,nat,linux,2,first packet,417677379724170
11,3,1,nat,linux,2,total startup time,125783711
12,3,1,nat,linux,2,main,417682902653509
13,3,1,nat,linux,2,init done,417683014591459
14,3,1,nat,linux,2,first packet,417683014614186
15,3,1,nat,linux,2,total startup time,126150764
16,3,1,nat,linux,2,main,417688525253728
17,3,1,nat,linux,2,init done,417688637488785
18,3,1,nat,linux,2,first packet,417688637511962
19,3,1,nat,linux,2,total startup time,126349513
20,3,1,nat,linux,2,main,417694179206183
21,3,1,nat,linux,2,init done,417694291564465
22,3,1,nat,linux,2,first packet,417694291617147
23,3,1,nat,linux,2,total startup time,126419954
24,3,1,nat,linux,2,main,417699837286736
25,3,1,nat,linux,2,init done,417699949458788
26,3,1,nat,linux,2,first packet,417699949481385
27,3,1,nat,linux,2,total startup time,125868071
28,3,1,nat,linux,2,main,417705521765373
29,3,1,nat,linux,2,init done,417705634427663
30,3,1,nat,linux,2,first packet,417705634450388
31,3,1,nat,linux,2,total startup time,126561875
32,3,1,nat,linux,2,main,417711150676550
33,3,1,nat,linux,2,init done,417711262579865
34,3,1,nat,linux,2,first packet,417711262602591
35,3,1,nat,linux,2,total startup time,125938934
36,3,1,nat,linux,2,main,417716779067787
37,3,1,nat,linux,2,init done,417716891071756
38,3,1,nat,linux,2,first packet,417716891094319
39,3,1,nat,linux,2,total startup time,126060088
