,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,filter,uk,2,click main(),107326502
1,3,1,filter,uk,2,print config,108768733
2,3,1,filter,uk,2,print config done,153297321
3,3,1,filter,uk,2,initialize elements,156565775
4,3,1,filter,uk,2,initialize elements done,160122879
5,3,1,filter,uk,2,first packet,170423411
6,3,1,filter,uk,2,total startup time,299151370
7,3,1,filter,uk,2,click main(),107262621
8,3,1,filter,uk,2,print config,108692782
9,3,1,filter,uk,2,print config done,152928288
10,3,1,filter,uk,2,initialize elements,156175062
11,3,1,filter,uk,2,initialize elements done,159847943
12,3,1,filter,uk,2,first packet,170152273
13,3,1,filter,uk,2,total startup time,299264266
14,3,1,filter,uk,2,click main(),107283385
15,3,1,filter,uk,2,print config,108712504
16,3,1,filter,uk,2,print config done,153021011
17,3,1,filter,uk,2,initialize elements,156284881
18,3,1,filter,uk,2,initialize elements done,159822489
19,3,1,filter,uk,2,first packet,170085902
20,3,1,filter,uk,2,total startup time,301550619
21,3,1,filter,uk,2,click main(),107255692
22,3,1,filter,uk,2,print config,108679974
23,3,1,filter,uk,2,print config done,152841488
24,3,1,filter,uk,2,initialize elements,156087160
25,3,1,filter,uk,2,initialize elements done,159699813
26,3,1,filter,uk,2,first packet,169887049
27,3,1,filter,uk,2,total startup time,298692244
28,3,1,filter,uk,2,click main(),107308877
29,3,1,filter,uk,2,print config,108743313
30,3,1,filter,uk,2,print config done,153321195
31,3,1,filter,uk,2,initialize elements,156623457
32,3,1,filter,uk,2,initialize elements done,160253055
33,3,1,filter,uk,2,first packet,170488450
34,3,1,filter,uk,2,total startup time,299693739
35,3,1,filter,uk,2,click main(),107331672
36,3,1,filter,uk,2,print config,108777184
37,3,1,filter,uk,2,print config done,153434334
38,3,1,filter,uk,2,initialize elements,156736987
39,3,1,filter,uk,2,initialize elements done,160391282
40,3,1,filter,uk,2,first packet,170700744
41,3,1,filter,uk,2,total startup time,299273175
42,3,1,filter,uk,2,click main(),107323849
43,3,1,filter,uk,2,print config,108757268
44,3,1,filter,uk,2,print config done,153469647
45,3,1,filter,uk,2,initialize elements,156776862
46,3,1,filter,uk,2,initialize elements done,160420146
47,3,1,filter,uk,2,first packet,170697888
48,3,1,filter,uk,2,total startup time,300025472
49,3,1,filter,uk,2,click main(),107263845
50,3,1,filter,uk,2,print config,108696809
51,3,1,filter,uk,2,print config done,153075501
52,3,1,filter,uk,2,initialize elements,156336096
53,3,1,filter,uk,2,initialize elements done,159931842
54,3,1,filter,uk,2,first packet,170147744
55,3,1,filter,uk,2,total startup time,299786939
56,3,1,filter,uk,2,click main(),107245912
57,3,1,filter,uk,2,print config,108668925
58,3,1,filter,uk,2,print config done,152891622
59,3,1,filter,uk,2,initialize elements,156176242
60,3,1,filter,uk,2,initialize elements done,159827670
61,3,1,filter,uk,2,first packet,170005007
62,3,1,filter,uk,2,total startup time,300144085
63,3,1,filter,uk,2,click main(),107254758
64,3,1,filter,uk,2,print config,108676749
65,3,1,filter,uk,2,print config done,152891316
66,3,1,filter,uk,2,initialize elements,156138764
67,3,1,filter,uk,2,initialize elements done,159736039
68,3,1,filter,uk,2,first packet,169936012
69,3,1,filter,uk,2,total startup time,300571229
