,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,firewall-2,uk,0,click main(),107269878
1,3,1,firewall-2,uk,0,print config,108696997
2,3,1,firewall-2,uk,0,print config done,136208309
3,3,1,firewall-2,uk,0,initialize elements,139462914
4,3,1,firewall-2,uk,0,initialize elements done,143063921
5,3,1,firewall-2,uk,0,first packet,153313710
6,3,1,firewall-2,uk,0,total startup time,281743640
7,3,1,firewall-2,uk,0,click main(),107298315
8,3,1,firewall-2,uk,0,print config,108733033
9,3,1,firewall-2,uk,0,print config done,136183447
10,3,1,firewall-2,uk,0,initialize elements,139430866
11,3,1,firewall-2,uk,0,initialize elements done,143055412
12,3,1,firewall-2,uk,0,first packet,153320530
13,3,1,firewall-2,uk,0,total startup time,283861064
14,3,1,firewall-2,uk,0,click main(),107238321
15,3,1,firewall-2,uk,0,print config,108663294
16,3,1,firewall-2,uk,0,print config done,135972556
17,3,1,firewall-2,uk,0,initialize elements,139202171
18,3,1,firewall-2,uk,0,initialize elements done,142903714
19,3,1,firewall-2,uk,0,first packet,153307949
20,3,1,firewall-2,uk,0,total startup time,283464759
21,3,1,firewall-2,uk,0,click main(),107307469
22,3,1,firewall-2,uk,0,print config,108738685
23,3,1,firewall-2,uk,0,print config done,136207429
24,3,1,firewall-2,uk,0,initialize elements,139460508
25,3,1,firewall-2,uk,0,initialize elements done,143066627
26,3,1,firewall-2,uk,0,first packet,153311563
27,3,1,firewall-2,uk,0,total startup time,283660691
28,3,1,firewall-2,uk,0,click main(),107349456
29,3,1,firewall-2,uk,0,print config,108792051
30,3,1,firewall-2,uk,0,print config done,136458938
31,3,1,firewall-2,uk,0,initialize elements,139725932
32,3,1,firewall-2,uk,0,initialize elements done,143276029
33,3,1,firewall-2,uk,0,first packet,153593926
34,3,1,firewall-2,uk,0,total startup time,283852923
35,3,1,firewall-2,uk,0,click main(),107274998
36,3,1,firewall-2,uk,0,print config,108708999
37,3,1,firewall-2,uk,0,print config done,136169602
38,3,1,firewall-2,uk,0,initialize elements,139418218
39,3,1,firewall-2,uk,0,initialize elements done,143030428
40,3,1,firewall-2,uk,0,first packet,153264273
41,3,1,firewall-2,uk,0,total startup time,281590944
42,3,1,firewall-2,uk,0,click main(),107257252
43,3,1,firewall-2,uk,0,print config,108685075
44,3,1,firewall-2,uk,0,print config done,136132135
45,3,1,firewall-2,uk,0,initialize elements,139378694
46,3,1,firewall-2,uk,0,initialize elements done,143013173
47,3,1,firewall-2,uk,0,first packet,153287599
48,3,1,firewall-2,uk,0,total startup time,282273663
49,3,1,firewall-2,uk,0,click main(),107290390
50,3,1,firewall-2,uk,0,print config,108726640
51,3,1,firewall-2,uk,0,print config done,136148242
52,3,1,firewall-2,uk,0,initialize elements,139399707
53,3,1,firewall-2,uk,0,initialize elements done,143100594
54,3,1,firewall-2,uk,0,first packet,153455956
55,3,1,firewall-2,uk,0,total startup time,283676873
56,3,1,firewall-2,uk,0,click main(),107278665
57,3,1,firewall-2,uk,0,print config,108712463
58,3,1,firewall-2,uk,0,print config done,136243774
59,3,1,firewall-2,uk,0,initialize elements,139498301
60,3,1,firewall-2,uk,0,initialize elements done,143103229
61,3,1,firewall-2,uk,0,first packet,153377370
62,3,1,firewall-2,uk,0,total startup time,284786565
63,3,1,firewall-2,uk,0,click main(),107270603
64,3,1,firewall-2,uk,0,print config,108698317
65,3,1,firewall-2,uk,0,print config done,136122987
66,3,1,firewall-2,uk,0,initialize elements,139375425
67,3,1,firewall-2,uk,0,initialize elements done,142995478
68,3,1,firewall-2,uk,0,first packet,153224645
69,3,1,firewall-2,uk,0,total startup time,283639234
