,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,mirror,uk,0,click main(),107304123
1,3,1,mirror,uk,0,print config,108731912
2,3,1,mirror,uk,0,print config done,126652151
3,3,1,mirror,uk,0,initialize elements,129897142
4,3,1,mirror,uk,0,initialize elements done,133545906
5,3,1,mirror,uk,0,first packet,143827543
6,3,1,mirror,uk,0,total startup time,274165860
7,3,1,mirror,uk,0,click main(),107305323
8,3,1,mirror,uk,0,print config,108736710
9,3,1,mirror,uk,0,print config done,126640240
10,3,1,mirror,uk,0,initialize elements,129888200
11,3,1,mirror,uk,0,initialize elements done,133465220
12,3,1,mirror,uk,0,first packet,143681946
13,3,1,mirror,uk,0,total startup time,273335408
14,3,1,mirror,uk,0,click main(),107264339
15,3,1,mirror,uk,0,print config,108686137
16,3,1,mirror,uk,0,print config done,126526867
17,3,1,mirror,uk,0,initialize elements,129770241
18,3,1,mirror,uk,0,initialize elements done,133312214
19,3,1,mirror,uk,0,first packet,143492944
20,3,1,mirror,uk,0,total startup time,272195604
21,3,1,mirror,uk,0,click main(),107310611
22,3,1,mirror,uk,0,print config,108746762
23,3,1,mirror,uk,0,print config done,126691025
24,3,1,mirror,uk,0,initialize elements,129948467
25,3,1,mirror,uk,0,initialize elements done,133612948
26,3,1,mirror,uk,0,first packet,143938924
27,3,1,mirror,uk,0,total startup time,272630064
28,3,1,mirror,uk,0,click main(),107251364
29,3,1,mirror,uk,0,print config,108675030
30,3,1,mirror,uk,0,print config done,126561351
31,3,1,mirror,uk,0,initialize elements,129805330
32,3,1,mirror,uk,0,initialize elements done,133477857
33,3,1,mirror,uk,0,first packet,143778787
34,3,1,mirror,uk,0,total startup time,273931111
35,3,1,mirror,uk,0,click main(),107234203
36,3,1,mirror,uk,0,print config,108660148
37,3,1,mirror,uk,0,print config done,126495937
38,3,1,mirror,uk,0,initialize elements,129742516
39,3,1,mirror,uk,0,initialize elements done,133312693
40,3,1,mirror,uk,0,first packet,143521608
41,3,1,mirror,uk,0,total startup time,274676237
42,3,1,mirror,uk,0,click main(),107216870
43,3,1,mirror,uk,0,print config,108640882
44,3,1,mirror,uk,0,print config done,126411535
45,3,1,mirror,uk,0,initialize elements,129647964
46,3,1,mirror,uk,0,initialize elements done,133216703
47,3,1,mirror,uk,0,first packet,143383358
48,3,1,mirror,uk,0,total startup time,273008822
49,3,1,mirror,uk,0,click main(),107244461
50,3,1,mirror,uk,0,print config,108667556
51,3,1,mirror,uk,0,print config done,126460535
52,3,1,mirror,uk,0,initialize elements,129707810
53,3,1,mirror,uk,0,initialize elements done,133264898
54,3,1,mirror,uk,0,first packet,143497935
55,3,1,mirror,uk,0,total startup time,272518332
56,3,1,mirror,uk,0,click main(),107235902
57,3,1,mirror,uk,0,print config,108661167
58,3,1,mirror,uk,0,print config done,126561457
59,3,1,mirror,uk,0,initialize elements,129824265
60,3,1,mirror,uk,0,initialize elements done,133414450
61,3,1,mirror,uk,0,first packet,143704269
62,3,1,mirror,uk,0,total startup time,272081939
63,3,1,mirror,uk,0,click main(),107285383
64,3,1,mirror,uk,0,print config,108713625
65,3,1,mirror,uk,0,print config done,126584319
66,3,1,mirror,uk,0,initialize elements,129842897
67,3,1,mirror,uk,0,initialize elements done,133506961
68,3,1,mirror,uk,0,first packet,143817219
69,3,1,mirror,uk,0,total startup time,274712699
