,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,empty,ukebpfjit,1,click main(),108487775
1,3,1,empty,ukebpfjit,1,print config,110140363
2,3,1,empty,ukebpfjit,1,print config done,172747364
3,3,1,empty,ukebpfjit,1,initialize elements,176272321
4,3,1,empty,ukebpfjit,1,init ebpf vm,179810055
5,3,1,empty,ukebpfjit,1,init ebpf done,184767664
6,3,1,empty,ukebpfjit,1,read program,4986
7,3,1,empty,ukebpfjit,1,lock,41952
8,3,1,empty,ukebpfjit,1,load elf,2057
9,3,1,empty,ukebpfjit,1,signature,898970
10,3,1,empty,ukebpfjit,1,jit,748188
11,3,1,empty,ukebpfjit,1,print,18350759
12,3,1,empty,ukebpfjit,1,initialize elements done,206581349
13,3,1,empty,ukebpfjit,1,init ebpf vm,242743363
14,3,1,empty,ukebpfjit,1,init ebpf done,246442880
15,3,1,empty,ukebpfjit,1,read program,6620
16,3,1,empty,ukebpfjit,1,lock,68
17,3,1,empty,ukebpfjit,1,load elf,3241
18,3,1,empty,ukebpfjit,1,signature,156358
19,3,1,empty,ukebpfjit,1,jit,255411
20,3,1,empty,ukebpfjit,1,print,18367526
21,3,1,empty,ukebpfjit,1,init ebpf vm,267880322
22,3,1,empty,ukebpfjit,1,init ebpf done,271497668
23,3,1,empty,ukebpfjit,1,read program,5090
24,3,1,empty,ukebpfjit,1,lock,70
25,3,1,empty,ukebpfjit,1,load elf,2183
26,3,1,empty,ukebpfjit,1,signature,145274
27,3,1,empty,ukebpfjit,1,jit,186344
28,3,1,empty,ukebpfjit,1,print,18355456
29,3,1,empty,ukebpfjit,1,init ebpf vm,292898076
30,3,1,empty,ukebpfjit,1,init ebpf done,296480379
31,3,1,empty,ukebpfjit,1,read program,4876
32,3,1,empty,ukebpfjit,1,lock,70
33,3,1,empty,ukebpfjit,1,load elf,1692
34,3,1,empty,ukebpfjit,1,signature,143749
35,3,1,empty,ukebpfjit,1,jit,160241
