group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
live-reconfigure,,empty-jit,,,50151965.0,ns,2
live-reconfigure,,empty-jit,,,50196115.0,ns,2
live-reconfigure,,empty-jit,,,50184329.0,ns,2
live-reconfigure,,empty-jit,,,50185312.0,ns,2
live-reconfigure,,empty-jit,,,50170852.0,ns,2
live-reconfigure,,empty-jit,,,50235181.0,ns,2
live-reconfigure,,empty-jit,,,50236284.0,ns,2
live-reconfigure,,empty-jit,,,50199899.0,ns,2
live-reconfigure,,empty-jit,,,50216270.0,ns,2
live-reconfigure,,empty-jit,,,50178630.0,ns,2
live-reconfigure,,empty-jit,,,50207143.0,ns,2
live-reconfigure,,empty-jit,,,50207709.0,ns,2
live-reconfigure,,empty-jit,,,50202685.0,ns,2
live-reconfigure,,empty-jit,,,50160885.0,ns,2
live-reconfigure,,empty-jit,,,50212499.0,ns,2
live-reconfigure,,empty-jit,,,50181561.0,ns,2
live-reconfigure,,empty-jit,,,50171222.0,ns,2
live-reconfigure,,empty-jit,,,50198521.0,ns,2
live-reconfigure,,empty-jit,,,50154118.0,ns,2
live-reconfigure,,empty-jit,,,50163389.0,ns,2
live-reconfigure,,empty-jit,,,50197130.0,ns,2
live-reconfigure,,empty-jit,,,50207001.0,ns,2
live-reconfigure,,empty-jit,,,50170214.0,ns,2
live-reconfigure,,empty-jit,,,50143402.0,ns,2
live-reconfigure,,empty-jit,,,50188723.0,ns,2
live-reconfigure,,empty-jit,,,50209599.0,ns,2
live-reconfigure,,empty-jit,,,50171375.0,ns,2
live-reconfigure,,empty-jit,,,50220014.0,ns,2
live-reconfigure,,empty-jit,,,50176796.0,ns,2
live-reconfigure,,empty-jit,,,50216163.0,ns,2
live-reconfigure,,empty-jit,,,50237823.0,ns,2
live-reconfigure,,empty-jit,,,50238432.0,ns,2
live-reconfigure,,empty-jit,,,50173580.0,ns,2
live-reconfigure,,empty-jit,,,50235566.0,ns,2
live-reconfigure,,empty-jit,,,50307432.0,ns,2
live-reconfigure,,empty-jit,,,50308644.0,ns,2
live-reconfigure,,empty-jit,,,50309877.0,ns,2
live-reconfigure,,empty-jit,,,50249356.0,ns,2
live-reconfigure,,empty-jit,,,50271463.0,ns,2
live-reconfigure,,empty-jit,,,50351670.0,ns,2
live-reconfigure,,empty-jit,,,50272971.0,ns,2
live-reconfigure,,empty-jit,,,50254474.0,ns,2
live-reconfigure,,empty-jit,,,50334167.0,ns,2
live-reconfigure,,empty-jit,,,50272748.0,ns,2
live-reconfigure,,empty-jit,,,50298533.0,ns,2
live-reconfigure,,empty-jit,,,50322286.0,ns,2
live-reconfigure,,empty-jit,,,50313872.0,ns,2
live-reconfigure,,empty-jit,,,50320601.0,ns,2
live-reconfigure,,empty-jit,,,50275593.0,ns,2
live-reconfigure,,empty-jit,,,50322245.0,ns,2
live-reconfigure,,empty-jit,,,50328421.0,ns,2
live-reconfigure,,empty-jit,,,50299279.0,ns,2
live-reconfigure,,empty-jit,,,50356099.0,ns,2
live-reconfigure,,empty-jit,,,50365015.0,ns,2
live-reconfigure,,empty-jit,,,50353053.0,ns,2
live-reconfigure,,empty-jit,,,50344259.0,ns,2
live-reconfigure,,empty-jit,,,50339926.0,ns,2
live-reconfigure,,empty-jit,,,50341059.0,ns,2
live-reconfigure,,empty-jit,,,50327645.0,ns,2
live-reconfigure,,empty-jit,,,50303207.0,ns,2
live-reconfigure,,empty-jit,,,50322533.0,ns,2
live-reconfigure,,empty-jit,,,50330144.0,ns,2
live-reconfigure,,empty-jit,,,50310100.0,ns,2
live-reconfigure,,empty-jit,,,50370658.0,ns,2
live-reconfigure,,empty-jit,,,50378787.0,ns,2
live-reconfigure,,empty-jit,,,50380446.0,ns,2
live-reconfigure,,empty-jit,,,50458109.0,ns,2
live-reconfigure,,empty-jit,,,50377561.0,ns,2
live-reconfigure,,empty-jit,,,50338145.0,ns,2
live-reconfigure,,empty-jit,,,50391244.0,ns,2
live-reconfigure,,empty-jit,,,50358838.0,ns,2
live-reconfigure,,empty-jit,,,50308439.0,ns,2
live-reconfigure,,empty-jit,,,50364311.0,ns,2
live-reconfigure,,empty-jit,,,50344368.0,ns,2
live-reconfigure,,empty-jit,,,50316451.0,ns,2
live-reconfigure,,empty-jit,,,50367657.0,ns,2
live-reconfigure,,empty-jit,,,50332680.0,ns,2
live-reconfigure,,empty-jit,,,50347821.0,ns,2
live-reconfigure,,empty-jit,,,50301775.0,ns,2
live-reconfigure,,empty-jit,,,50307312.0,ns,2
live-reconfigure,,empty-jit,,,50369816.0,ns,2
live-reconfigure,,empty-jit,,,50334269.0,ns,2
live-reconfigure,,empty-jit,,,50378885.0,ns,2
live-reconfigure,,empty-jit,,,50385041.0,ns,2
live-reconfigure,,empty-jit,,,50256777.0,ns,2
live-reconfigure,,empty-jit,,,50230391.0,ns,2
live-reconfigure,,empty-jit,,,50269362.0,ns,2
live-reconfigure,,empty-jit,,,50281255.0,ns,2
live-reconfigure,,empty-jit,,,50273379.0,ns,2
live-reconfigure,,empty-jit,,,50210802.0,ns,2
live-reconfigure,,empty-jit,,,50259176.0,ns,2
live-reconfigure,,empty-jit,,,50218471.0,ns,2
live-reconfigure,,empty-jit,,,50281248.0,ns,2
live-reconfigure,,empty-jit,,,50194471.0,ns,2
live-reconfigure,,empty-jit,,,50289663.0,ns,2
live-reconfigure,,empty-jit,,,50216785.0,ns,2
live-reconfigure,,empty-jit,,,50202548.0,ns,2
live-reconfigure,,empty-jit,,,50150894.0,ns,2
live-reconfigure,,empty-jit,,,50191597.0,ns,2
live-reconfigure,,empty-jit,,,50215514.0,ns,2
