group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
live-reconfigure,,filter-jit,,,50229808.0,ns,2
live-reconfigure,,filter-jit,,,50293377.0,ns,2
live-reconfigure,,filter-jit,,,50246251.0,ns,2
live-reconfigure,,filter-jit,,,50279143.0,ns,2
live-reconfigure,,filter-jit,,,50266212.0,ns,2
live-reconfigure,,filter-jit,,,50263590.0,ns,2
live-reconfigure,,filter-jit,,,50273953.0,ns,2
live-reconfigure,,filter-jit,,,50257948.0,ns,2
live-reconfigure,,filter-jit,,,50231650.0,ns,2
live-reconfigure,,filter-jit,,,50279255.0,ns,2
live-reconfigure,,filter-jit,,,50210069.0,ns,2
live-reconfigure,,filter-jit,,,50246641.0,ns,2
live-reconfigure,,filter-jit,,,50236980.0,ns,2
live-reconfigure,,filter-jit,,,50284880.0,ns,2
live-reconfigure,,filter-jit,,,50306096.0,ns,2
live-reconfigure,,filter-jit,,,50298597.0,ns,2
live-reconfigure,,filter-jit,,,50280319.0,ns,2
live-reconfigure,,filter-jit,,,50347725.0,ns,2
live-reconfigure,,filter-jit,,,50250676.0,ns,2
live-reconfigure,,filter-jit,,,50275588.0,ns,2
live-reconfigure,,filter-jit,,,50306092.0,ns,2
live-reconfigure,,filter-jit,,,50219405.0,ns,2
live-reconfigure,,filter-jit,,,50307619.0,ns,2
live-reconfigure,,filter-jit,,,50278108.0,ns,2
live-reconfigure,,filter-jit,,,50259575.0,ns,2
live-reconfigure,,filter-jit,,,50287819.0,ns,2
live-reconfigure,,filter-jit,,,50309613.0,ns,2
live-reconfigure,,filter-jit,,,50283685.0,ns,2
live-reconfigure,,filter-jit,,,50336226.0,ns,2
live-reconfigure,,filter-jit,,,50242799.0,ns,2
live-reconfigure,,filter-jit,,,50178780.0,ns,2
live-reconfigure,,filter-jit,,,50257662.0,ns,2
live-reconfigure,,filter-jit,,,50214887.0,ns,2
live-reconfigure,,filter-jit,,,50308771.0,ns,2
live-reconfigure,,filter-jit,,,50231586.0,ns,2
live-reconfigure,,filter-jit,,,50303406.0,ns,2
live-reconfigure,,filter-jit,,,50233102.0,ns,2
live-reconfigure,,filter-jit,,,50299506.0,ns,2
live-reconfigure,,filter-jit,,,50348497.0,ns,2
live-reconfigure,,filter-jit,,,50286156.0,ns,2
live-reconfigure,,filter-jit,,,50251769.0,ns,2
live-reconfigure,,filter-jit,,,50262280.0,ns,2
live-reconfigure,,filter-jit,,,50272102.0,ns,2
live-reconfigure,,filter-jit,,,50255469.0,ns,2
live-reconfigure,,filter-jit,,,50191341.0,ns,2
live-reconfigure,,filter-jit,,,50235638.0,ns,2
live-reconfigure,,filter-jit,,,50308937.0,ns,2
live-reconfigure,,filter-jit,,,50176261.0,ns,2
live-reconfigure,,filter-jit,,,50241294.0,ns,2
live-reconfigure,,filter-jit,,,50274871.0,ns,2
live-reconfigure,,filter-jit,,,50221048.0,ns,2
live-reconfigure,,filter-jit,,,50221944.0,ns,2
live-reconfigure,,filter-jit,,,50237454.0,ns,2
live-reconfigure,,filter-jit,,,50155087.0,ns,2
live-reconfigure,,filter-jit,,,50245176.0,ns,2
live-reconfigure,,filter-jit,,,50216034.0,ns,2
live-reconfigure,,filter-jit,,,50232935.0,ns,2
