,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,filter,ukebpfjit,2,click main(),108530146
1,3,1,filter,ukebpfjit,2,print config,110169465
2,3,1,filter,ukebpfjit,2,print config done,173549535
3,3,1,filter,ukebpfjit,2,initialize elements,177089709
4,3,1,filter,ukebpfjit,2,init ebpf vm,180653498
5,3,1,filter,ukebpfjit,2,init ebpf done,185601539
6,3,1,filter,ukebpfjit,2,read program,6242
7,3,1,filter,ukebpfjit,2,lock,40375
8,3,1,filter,ukebpfjit,2,load elf,1673
9,3,1,filter,ukebpfjit,2,signature,872123
10,3,1,filter,ukebpfjit,2,jit,749503
11,3,1,filter,ukebpfjit,2,print,18449644
12,3,1,filter,ukebpfjit,2,initialize elements done,207653591
13,3,1,filter,ukebpfjit,2,init ebpf vm,269169646
14,3,1,filter,ukebpfjit,2,init ebpf done,272889402
15,3,1,filter,ukebpfjit,2,read program,6377
16,3,1,filter,ukebpfjit,2,lock,79
17,3,1,filter,ukebpfjit,2,load elf,3229
18,3,1,filter,ukebpfjit,2,signature,162255
19,3,1,filter,ukebpfjit,2,jit,270439
20,3,1,filter,ukebpfjit,2,print,18412092
21,3,1,filter,ukebpfjit,2,init ebpf vm,294355114
22,3,1,filter,ukebpfjit,2,init ebpf done,297997107
23,3,1,filter,ukebpfjit,2,read program,5693
24,3,1,filter,ukebpfjit,2,lock,80
25,3,1,filter,ukebpfjit,2,load elf,2041
26,3,1,filter,ukebpfjit,2,signature,143519
27,3,1,filter,ukebpfjit,2,jit,196441
28,3,1,filter,ukebpfjit,2,print,18422684
29,3,1,filter,ukebpfjit,2,init ebpf vm,319468728
30,3,1,filter,ukebpfjit,2,init ebpf done,323054761
31,3,1,filter,ukebpfjit,2,read program,5060
32,3,1,filter,ukebpfjit,2,lock,80
33,3,1,filter,ukebpfjit,2,load elf,1865
34,3,1,filter,ukebpfjit,2,signature,144398
35,3,1,filter,ukebpfjit,2,jit,165391
36,3,1,filter,ukebpfjit,2,print,18409382
37,3,1,filter,ukebpfjit,2,init ebpf vm,344513534
38,3,1,filter,ukebpfjit,2,init ebpf done,348095904
39,3,1,filter,ukebpfjit,2,read program,5041
40,3,1,filter,ukebpfjit,2,lock,57
41,3,1,filter,ukebpfjit,2,load elf,1773
42,3,1,filter,ukebpfjit,2,signature,141141
43,3,1,filter,ukebpfjit,2,jit,156938
44,3,1,filter,ukebpfjit,2,print,18444130
45,3,1,filter,ukebpfjit,2,init ebpf vm,369604914
46,3,1,filter,ukebpfjit,2,init ebpf done,373192852
47,3,1,filter,ukebpfjit,2,read program,5219
48,3,1,filter,ukebpfjit,2,lock,51
49,3,1,filter,ukebpfjit,2,load elf,1939
50,3,1,filter,ukebpfjit,2,signature,142235
51,3,1,filter,ukebpfjit,2,jit,155719
52,3,1,filter,ukebpfjit,2,print,18417861
53,3,1,filter,ukebpfjit,2,init ebpf vm,394661006
54,3,1,filter,ukebpfjit,2,init ebpf done,398244807
55,3,1,filter,ukebpfjit,2,read program,5232
56,3,1,filter,ukebpfjit,2,lock,52
57,3,1,filter,ukebpfjit,2,load elf,1696
58,3,1,filter,ukebpfjit,2,signature,140166
59,3,1,filter,ukebpfjit,2,jit,156445
60,3,1,filter,ukebpfjit,2,print,18402711
61,3,1,filter,ukebpfjit,2,init ebpf vm,419694756
62,3,1,filter,ukebpfjit,2,init ebpf done,423268118
63,3,1,filter,ukebpfjit,2,read program,5050
64,3,1,filter,ukebpfjit,2,lock,53
