,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,firewall-2,ukebpfjit,2,click main(),108541224
1,3,1,firewall-2,ukebpfjit,2,print config,110193963
2,3,1,firewall-2,ukebpfjit,2,print config done,173802420
3,3,1,firewall-2,ukebpfjit,2,initialize elements,177355297
4,3,1,firewall-2,ukebpfjit,2,init ebpf vm,180923239
5,3,1,firewall-2,ukebpfjit,2,init ebpf done,185876664
6,3,1,firewall-2,ukebpfjit,2,read program,6390
7,3,1,firewall-2,ukebpfjit,2,lock,39081
8,3,1,firewall-2,ukebpfjit,2,load elf,2711
9,3,1,firewall-2,ukebpfjit,2,signature,860746
10,3,1,firewall-2,ukebpfjit,2,jit,757792
11,3,1,firewall-2,ukebpfjit,2,print,18467051
12,3,1,firewall-2,ukebpfjit,2,initialize elements done,207930305
13,3,1,firewall-2,ukebpfjit,2,init ebpf vm,244149999
14,3,1,firewall-2,ukebpfjit,2,init ebpf done,247867347
15,3,1,firewall-2,ukebpfjit,2,read program,7184
16,3,1,firewall-2,ukebpfjit,2,lock,74
17,3,1,firewall-2,ukebpfjit,2,load elf,4520
18,3,1,firewall-2,ukebpfjit,2,signature,159498
19,3,1,firewall-2,ukebpfjit,2,jit,259311
20,3,1,firewall-2,ukebpfjit,2,print,18403609
21,3,1,firewall-2,ukebpfjit,2,init ebpf vm,269328683
22,3,1,firewall-2,ukebpfjit,2,init ebpf done,272951085
23,3,1,firewall-2,ukebpfjit,2,read program,5710
24,3,1,firewall-2,ukebpfjit,2,lock,50
25,3,1,firewall-2,ukebpfjit,2,load elf,3281
26,3,1,firewall-2,ukebpfjit,2,signature,146664
27,3,1,firewall-2,ukebpfjit,2,jit,186689
28,3,1,firewall-2,ukebpfjit,2,print,18417170
29,3,1,firewall-2,ukebpfjit,2,init ebpf vm,294422680
30,3,1,firewall-2,ukebpfjit,2,init ebpf done,298005399
31,3,1,firewall-2,ukebpfjit,2,read program,5157
32,3,1,firewall-2,ukebpfjit,2,lock,67
33,3,1,firewall-2,ukebpfjit,2,load elf,2777
34,3,1,firewall-2,ukebpfjit,2,signature,142576
35,3,1,firewall-2,ukebpfjit,2,jit,154252
36,3,1,firewall-2,ukebpfjit,2,print,18423630
37,3,1,firewall-2,ukebpfjit,2,init ebpf vm,319479694
38,3,1,firewall-2,ukebpfjit,2,init ebpf done,323055963
39,3,1,firewall-2,ukebpfjit,2,read program,4993
40,3,1,firewall-2,ukebpfjit,2,lock,46
41,3,1,firewall-2,ukebpfjit,2,load elf,2296
42,3,1,firewall-2,ukebpfjit,2,signature,140754
43,3,1,firewall-2,ukebpfjit,2,jit,153707
44,3,1,firewall-2,ukebpfjit,2,print,18407478
45,3,1,firewall-2,ukebpfjit,2,init ebpf vm,344513301
46,3,1,firewall-2,ukebpfjit,2,init ebpf done,348148434
47,3,1,firewall-2,ukebpfjit,2,read program,5111
48,3,1,firewall-2,ukebpfjit,2,lock,66
49,3,1,firewall-2,ukebpfjit,2,load elf,2318
50,3,1,firewall-2,ukebpfjit,2,signature,140961
51,3,1,firewall-2,ukebpfjit,2,jit,153251
52,3,1,firewall-2,ukebpfjit,2,print,18418865
53,3,1,firewall-2,ukebpfjit,2,init ebpf vm,369621195
54,3,1,firewall-2,ukebpfjit,2,init ebpf done,373201866
55,3,1,firewall-2,ukebpfjit,2,read program,5133
56,3,1,firewall-2,ukebpfjit,2,lock,41
57,3,1,firewall-2,ukebpfjit,2,load elf,2188
58,3,1,firewall-2,ukebpfjit,2,signature,138267
59,3,1,firewall-2,ukebpfjit,2,jit,153916
60,3,1,firewall-2,ukebpfjit,2,print,18393446
61,3,1,firewall-2,ukebpfjit,2,init ebpf vm,394643154
62,3,1,firewall-2,ukebpfjit,2,init ebpf done,398220567
63,3,1,firewall-2,ukebpfjit,2,read program,5152
64,3,1,firewall-2,ukebpfjit,2,lock,50
65,3,1,firewall-2,ukebpfjit,2,load elf,2204
66,3,1,firewall-2,ukebpfjit,2,signature,139079
67,3,1,firewall-2,ukebpfjit,2,jit,154040
