,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,ids,ukebpfjit,1,click main(),108469356
1,3,1,ids,ukebpfjit,1,print config,110121108
2,3,1,ids,ukebpfjit,1,print config done,173453946
3,3,1,ids,ukebpfjit,1,initialize elements,176983550
4,3,1,ids,ukebpfjit,1,init ebpf vm,180517870
5,3,1,ids,ukebpfjit,1,init ebpf done,185453609
6,3,1,ids,ukebpfjit,1,read program,6398
7,3,1,ids,ukebpfjit,1,lock,43247
8,3,1,ids,ukebpfjit,1,load elf,2161
9,3,1,ids,ukebpfjit,1,signature,874649
10,3,1,ids,ukebpfjit,1,jit,729943
11,3,1,ids,ukebpfjit,1,print,18389195
12,3,1,ids,ukebpfjit,1,initialize elements done,207379728
13,3,1,ids,ukebpfjit,1,init ebpf vm,243476122
14,3,1,ids,ukebpfjit,1,init ebpf done,247203828
15,3,1,ids,ukebpfjit,1,read program,6267
16,3,1,ids,ukebpfjit,1,lock,151
17,3,1,ids,ukebpfjit,1,load elf,3481
18,3,1,ids,ukebpfjit,1,signature,163493
19,3,1,ids,ukebpfjit,1,jit,263526
20,3,1,ids,ukebpfjit,1,print,18363781
21,3,1,ids,ukebpfjit,1,init ebpf vm,268625560
22,3,1,ids,ukebpfjit,1,init ebpf done,272237010
23,3,1,ids,ukebpfjit,1,read program,5768
24,3,1,ids,ukebpfjit,1,lock,71
25,3,1,ids,ukebpfjit,1,load elf,2813
26,3,1,ids,ukebpfjit,1,signature,149095
27,3,1,ids,ukebpfjit,1,jit,189951
28,3,1,ids,ukebpfjit,1,print,18382678
29,3,1,ids,ukebpfjit,1,init ebpf vm,293670138
30,3,1,ids,ukebpfjit,1,init ebpf done,297259988
31,3,1,ids,ukebpfjit,1,read program,5273
32,3,1,ids,ukebpfjit,1,lock,71
33,3,1,ids,ukebpfjit,1,load elf,2249
34,3,1,ids,ukebpfjit,1,signature,144780
35,3,1,ids,ukebpfjit,1,jit,164739
36,3,1,ids,ukebpfjit,1,print,18369876
37,3,1,ids,ukebpfjit,1,init ebpf vm,318666122
38,3,1,ids,ukebpfjit,1,init ebpf done,322233736
39,3,1,ids,ukebpfjit,1,read program,5241
40,3,1,ids,ukebpfjit,1,lock,52
