group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
live-reconfigure,,ids-jit,,,50324220.0,ns,2
live-reconfigure,,ids-jit,,,50358955.0,ns,2
live-reconfigure,,ids-jit,,,50373396.0,ns,2
live-reconfigure,,ids-jit,,,50343470.0,ns,2
live-reconfigure,,ids-jit,,,50350540.0,ns,2
live-reconfigure,,ids-jit,,,50372883.0,ns,2
live-reconfigure,,ids-jit,,,50378043.0,ns,2
live-reconfigure,,ids-jit,,,50380844.0,ns,2
live-reconfigure,,ids-jit,,,50362997.0,ns,2
live-reconfigure,,ids-jit,,,50372291.0,ns,2
live-reconfigure,,ids-jit,,,50410726.0,ns,2
live-reconfigure,,ids-jit,,,50365611.0,ns,2
live-reconfigure,,ids-jit,,,50364966.0,ns,2
live-reconfigure,,ids-jit,,,50419291.0,ns,2
live-reconfigure,,ids-jit,,,50373103.0,ns,2
live-reconfigure,,ids-jit,,,50388068.0,ns,2
live-reconfigure,,ids-jit,,,50370729.0,ns,2
live-reconfigure,,ids-jit,,,50364664.0,ns,2
live-reconfigure,,ids-jit,,,50391011.0,ns,2
live-reconfigure,,ids-jit,,,50363946.0,ns,2
live-reconfigure,,ids-jit,,,50371901.0,ns,2
live-reconfigure,,ids-jit,,,50418032.0,ns,2
live-reconfigure,,ids-jit,,,50358250.0,ns,2
live-reconfigure,,ids-jit,,,50351758.0,ns,2
live-reconfigure,,ids-jit,,,50365224.0,ns,2
live-reconfigure,,ids-jit,,,50321045.0,ns,2
live-reconfigure,,ids-jit,,,50436051.0,ns,2
live-reconfigure,,ids-jit,,,50384337.0,ns,2
live-reconfigure,,ids-jit,,,50325163.0,ns,2
live-reconfigure,,ids-jit,,,50359483.0,ns,2
live-reconfigure,,ids-jit,,,50374068.0,ns,2
live-reconfigure,,ids-jit,,,50419139.0,ns,2
live-reconfigure,,ids-jit,,,50522748.0,ns,2
live-reconfigure,,ids-jit,,,50374785.0,ns,2
live-reconfigure,,ids-jit,,,50393487.0,ns,2
live-reconfigure,,ids-jit,,,50384320.0,ns,2
live-reconfigure,,ids-jit,,,50434137.0,ns,2
live-reconfigure,,ids-jit,,,50366928.0,ns,2
live-reconfigure,,ids-jit,,,50359311.0,ns,2
live-reconfigure,,ids-jit,,,50399660.0,ns,2
live-reconfigure,,ids-jit,,,50381067.0,ns,2
live-reconfigure,,ids-jit,,,50350086.0,ns,2
live-reconfigure,,ids-jit,,,50412005.0,ns,2
live-reconfigure,,ids-jit,,,50417681.0,ns,2
live-reconfigure,,ids-jit,,,50386582.0,ns,2
live-reconfigure,,ids-jit,,,50429960.0,ns,2
live-reconfigure,,ids-jit,,,50392780.0,ns,2
live-reconfigure,,ids-jit,,,50422295.0,ns,2
live-reconfigure,,ids-jit,,,50426146.0,ns,2
live-reconfigure,,ids-jit,,,50382219.0,ns,2
live-reconfigure,,ids-jit,,,50453109.0,ns,2
live-reconfigure,,ids-jit,,,50421225.0,ns,2
live-reconfigure,,ids-jit,,,50386065.0,ns,2
live-reconfigure,,ids-jit,,,50410840.0,ns,2
live-reconfigure,,ids-jit,,,50366994.0,ns,2
live-reconfigure,,ids-jit,,,50384572.0,ns,2
live-reconfigure,,ids-jit,,,50378904.0,ns,2
live-reconfigure,,ids-jit,,,50345641.0,ns,2
live-reconfigure,,ids-jit,,,50370416.0,ns,2
live-reconfigure,,ids-jit,,,50421452.0,ns,2
live-reconfigure,,ids-jit,,,50422577.0,ns,2
live-reconfigure,,ids-jit,,,50419382.0,ns,2
live-reconfigure,,ids-jit,,,50334817.0,ns,2
live-reconfigure,,ids-jit,,,50383878.0,ns,2
live-reconfigure,,ids-jit,,,50373862.0,ns,2
live-reconfigure,,ids-jit,,,50394584.0,ns,2
live-reconfigure,,ids-jit,,,50445512.0,ns,2
live-reconfigure,,ids-jit,,,50395797.0,ns,2
live-reconfigure,,ids-jit,,,50382971.0,ns,2
live-reconfigure,,ids-jit,,,50461922.0,ns,2
live-reconfigure,,ids-jit,,,50382829.0,ns,2
live-reconfigure,,ids-jit,,,50600739.0,ns,2
live-reconfigure,,ids-jit,,,50411370.0,ns,2
live-reconfigure,,ids-jit,,,50422316.0,ns,2
live-reconfigure,,ids-jit,,,50396865.0,ns,2
live-reconfigure,,ids-jit,,,50410542.0,ns,2
live-reconfigure,,ids-jit,,,50380225.0,ns,2
live-reconfigure,,ids-jit,,,50454043.0,ns,2
live-reconfigure,,ids-jit,,,50452570.0,ns,2
live-reconfigure,,ids-jit,,,50425209.0,ns,2
live-reconfigure,,ids-jit,,,50459576.0,ns,2
live-reconfigure,,ids-jit,,,50413586.0,ns,2
live-reconfigure,,ids-jit,,,50430982.0,ns,2
live-reconfigure,,ids-jit,,,50451621.0,ns,2
live-reconfigure,,ids-jit,,,50393387.0,ns,2
live-reconfigure,,ids-jit,,,50348004.0,ns,2
live-reconfigure,,ids-jit,,,50354598.0,ns,2
live-reconfigure,,ids-jit,,,50360940.0,ns,2
live-reconfigure,,ids-jit,,,50340564.0,ns,2
live-reconfigure,,ids-jit,,,50318773.0,ns,2
live-reconfigure,,ids-jit,,,50337440.0,ns,2
live-reconfigure,,ids-jit,,,50300866.0,ns,2
live-reconfigure,,ids-jit,,,50301077.0,ns,2
live-reconfigure,,ids-jit,,,50319272.0,ns,2
live-reconfigure,,ids-jit,,,50328762.0,ns,2
live-reconfigure,,ids-jit,,,50352198.0,ns,2
live-reconfigure,,ids-jit,,,50324172.0,ns,2
live-reconfigure,,ids-jit,,,50355251.0,ns,2
live-reconfigure,,ids-jit,,,50337991.0,ns,2
live-reconfigure,,ids-jit,,,50318271.0,ns,2
