group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
live-reconfigure,,mirror-jit,,,50673931.0,ns,2
live-reconfigure,,mirror-jit,,,50694094.0,ns,2
live-reconfigure,,mirror-jit,,,50715003.0,ns,2
live-reconfigure,,mirror-jit,,,50711004.0,ns,2
live-reconfigure,,mirror-jit,,,50706691.0,ns,2
live-reconfigure,,mirror-jit,,,50705091.0,ns,2
live-reconfigure,,mirror-jit,,,50759992.0,ns,2
live-reconfigure,,mirror-jit,,,50567165.0,ns,2
live-reconfigure,,mirror-jit,,,50628249.0,ns,2
live-reconfigure,,mirror-jit,,,50672618.0,ns,2
live-reconfigure,,mirror-jit,,,50674962.0,ns,2
live-reconfigure,,mirror-jit,,,50671068.0,ns,2
live-reconfigure,,mirror-jit,,,50632410.0,ns,2
live-reconfigure,,mirror-jit,,,50655953.0,ns,2
live-reconfigure,,mirror-jit,,,50647258.0,ns,2
live-reconfigure,,mirror-jit,,,50687560.0,ns,2
live-reconfigure,,mirror-jit,,,50565298.0,ns,2
live-reconfigure,,mirror-jit,,,50564232.0,ns,2
live-reconfigure,,mirror-jit,,,50421066.0,ns,2
live-reconfigure,,mirror-jit,,,50431276.0,ns,2
live-reconfigure,,mirror-jit,,,50552255.0,ns,2
live-reconfigure,,mirror-jit,,,50416482.0,ns,2
live-reconfigure,,mirror-jit,,,50518267.0,ns,2
live-reconfigure,,mirror-jit,,,50532375.0,ns,2
live-reconfigure,,mirror-jit,,,50491157.0,ns,2
live-reconfigure,,mirror-jit,,,50457994.0,ns,2
live-reconfigure,,mirror-jit,,,50681353.0,ns,2
live-reconfigure,,mirror-jit,,,50693353.0,ns,2
live-reconfigure,,mirror-jit,,,50634923.0,ns,2
live-reconfigure,,mirror-jit,,,50643772.0,ns,2
live-reconfigure,,mirror-jit,,,50724638.0,ns,2
live-reconfigure,,mirror-jit,,,50692771.0,ns,2
live-reconfigure,,mirror-jit,,,50710700.0,ns,2
live-reconfigure,,mirror-jit,,,50646918.0,ns,2
live-reconfigure,,mirror-jit,,,50808509.0,ns,2
live-reconfigure,,mirror-jit,,,50783862.0,ns,2
live-reconfigure,,mirror-jit,,,50835898.0,ns,2
live-reconfigure,,mirror-jit,,,50714515.0,ns,2
live-reconfigure,,mirror-jit,,,50681255.0,ns,2
live-reconfigure,,mirror-jit,,,50764439.0,ns,2
live-reconfigure,,mirror-jit,,,50829479.0,ns,2
live-reconfigure,,mirror-jit,,,50787817.0,ns,2
live-reconfigure,,mirror-jit,,,50774859.0,ns,2
live-reconfigure,,mirror-jit,,,50728947.0,ns,2
live-reconfigure,,mirror-jit,,,50602189.0,ns,2
live-reconfigure,,mirror-jit,,,50826968.0,ns,2
live-reconfigure,,mirror-jit,,,50667640.0,ns,2
live-reconfigure,,mirror-jit,,,50728427.0,ns,2
live-reconfigure,,mirror-jit,,,50615372.0,ns,2
live-reconfigure,,mirror-jit,,,50736535.0,ns,2
live-reconfigure,,mirror-jit,,,50820053.0,ns,2
live-reconfigure,,mirror-jit,,,50706016.0,ns,2
live-reconfigure,,mirror-jit,,,50775123.0,ns,2
live-reconfigure,,mirror-jit,,,50823159.0,ns,2
live-reconfigure,,mirror-jit,,,51019325.0,ns,2
live-reconfigure,,mirror-jit,,,50775376.0,ns,2
live-reconfigure,,mirror-jit,,,50812349.0,ns,2
live-reconfigure,,mirror-jit,,,50787164.0,ns,2
live-reconfigure,,mirror-jit,,,50804259.0,ns,2
live-reconfigure,,mirror-jit,,,50793810.0,ns,2
live-reconfigure,,mirror-jit,,,50779537.0,ns,2
live-reconfigure,,mirror-jit,,,50795742.0,ns,2
live-reconfigure,,mirror-jit,,,50697974.0,ns,2
live-reconfigure,,mirror-jit,,,50777273.0,ns,2
live-reconfigure,,mirror-jit,,,50806534.0,ns,2
live-reconfigure,,mirror-jit,,,50797826.0,ns,2
live-reconfigure,,mirror-jit,,,50838511.0,ns,2
live-reconfigure,,mirror-jit,,,50806912.0,ns,2
live-reconfigure,,mirror-jit,,,50816435.0,ns,2
live-reconfigure,,mirror-jit,,,50786528.0,ns,2
live-reconfigure,,mirror-jit,,,50785078.0,ns,2
live-reconfigure,,mirror-jit,,,50770900.0,ns,2
live-reconfigure,,mirror-jit,,,50823931.0,ns,2
live-reconfigure,,mirror-jit,,,50786252.0,ns,2
live-reconfigure,,mirror-jit,,,50778207.0,ns,2
live-reconfigure,,mirror-jit,,,50833487.0,ns,2
live-reconfigure,,mirror-jit,,,50792195.0,ns,2
live-reconfigure,,mirror-jit,,,50808618.0,ns,2
live-reconfigure,,mirror-jit,,,50825226.0,ns,2
live-reconfigure,,mirror-jit,,,50814688.0,ns,2
live-reconfigure,,mirror-jit,,,50822949.0,ns,2
live-reconfigure,,mirror-jit,,,50824795.0,ns,2
live-reconfigure,,mirror-jit,,,50732330.0,ns,2
live-reconfigure,,mirror-jit,,,50737774.0,ns,2
live-reconfigure,,mirror-jit,,,50704467.0,ns,2
live-reconfigure,,mirror-jit,,,50711329.0,ns,2
live-reconfigure,,mirror-jit,,,50861006.0,ns,2
live-reconfigure,,mirror-jit,,,50819646.0,ns,2
live-reconfigure,,mirror-jit,,,50793504.0,ns,2
live-reconfigure,,mirror-jit,,,50817742.0,ns,2
live-reconfigure,,mirror-jit,,,50742679.0,ns,2
live-reconfigure,,mirror-jit,,,50784913.0,ns,2
live-reconfigure,,mirror-jit,,,50800737.0,ns,2
live-reconfigure,,mirror-jit,,,50785582.0,ns,2
live-reconfigure,,mirror-jit,,,51047469.0,ns,2
live-reconfigure,,mirror-jit,,,50819637.0,ns,2
live-reconfigure,,mirror-jit,,,50810607.0,ns,2
live-reconfigure,,mirror-jit,,,50829501.0,ns,2
live-reconfigure,,mirror-jit,,,50754031.0,ns,2
live-reconfigure,,mirror-jit,,,50820720.0,ns,2
