,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,mirror,ukebpfjit,0,click main(),108715072
1,3,1,mirror,ukebpfjit,0,print config,110380735
2,3,1,mirror,ukebpfjit,0,print config done,174371033
3,3,1,mirror,ukebpfjit,0,initialize elements,177924021
4,3,1,mirror,ukebpfjit,0,init ebpf vm,181492573
5,3,1,mirror,ukebpfjit,0,init ebpf done,186457428
6,3,1,mirror,ukebpfjit,0,read program,5141
7,3,1,mirror,ukebpfjit,0,lock,42963
8,3,1,mirror,ukebpfjit,0,load elf,1945
9,3,1,mirror,ukebpfjit,0,signature,875631
10,3,1,mirror,ukebpfjit,0,jit,744623
11,3,1,mirror,ukebpfjit,0,print,18482497
12,3,1,mirror,ukebpfjit,0,initialize elements done,208413019
13,3,1,mirror,ukebpfjit,0,init ebpf vm,249195726
14,3,1,mirror,ukebpfjit,0,init ebpf done,252954089
15,3,1,mirror,ukebpfjit,0,read program,6731
16,3,1,mirror,ukebpfjit,0,lock,79
17,3,1,mirror,ukebpfjit,0,load elf,3405
18,3,1,mirror,ukebpfjit,0,signature,162083
19,3,1,mirror,ukebpfjit,0,jit,284085
20,3,1,mirror,ukebpfjit,0,print,18582120
21,3,1,mirror,ukebpfjit,0,init ebpf vm,274621829
22,3,1,mirror,ukebpfjit,0,init ebpf done,278271006
23,3,1,mirror,ukebpfjit,0,read program,5358
24,3,1,mirror,ukebpfjit,0,lock,45
25,3,1,mirror,ukebpfjit,0,load elf,2169
26,3,1,mirror,ukebpfjit,0,signature,147796
27,3,1,mirror,ukebpfjit,0,jit,196166
28,3,1,mirror,ukebpfjit,0,print,18464553
29,3,1,mirror,ukebpfjit,0,init ebpf vm,299801876
30,3,1,mirror,ukebpfjit,0,init ebpf done,303422454
31,3,1,mirror,ukebpfjit,0,read program,5159
32,3,1,mirror,ukebpfjit,0,lock,69
33,3,1,mirror,ukebpfjit,0,load elf,1786
34,3,1,mirror,ukebpfjit,0,signature,145454
35,3,1,mirror,ukebpfjit,0,jit,175378
36,3,1,mirror,ukebpfjit,0,print,18583957
37,3,1,mirror,ukebpfjit,0,init ebpf vm,325074543
38,3,1,mirror,ukebpfjit,0,init ebpf done,328703453
39,3,1,mirror,ukebpfjit,0,read program,5049
40,3,1,mirror,ukebpfjit,0,lock,49
41,3,1,mirror,ukebpfjit,0,load elf,1900
42,3,1,mirror,ukebpfjit,0,signature,140563
43,3,1,mirror,ukebpfjit,0,jit,152812
44,3,1,mirror,ukebpfjit,0,print,18616414
45,3,1,mirror,ukebpfjit,0,init ebpf vm,350408308
46,3,1,mirror,ukebpfjit,0,init ebpf done,354010490
47,3,1,mirror,ukebpfjit,0,read program,4990
48,3,1,mirror,ukebpfjit,0,lock,49
49,3,1,mirror,ukebpfjit,0,load elf,1736
50,3,1,mirror,ukebpfjit,0,signature,140155
51,3,1,mirror,ukebpfjit,0,jit,155489
52,3,1,mirror,ukebpfjit,0,print,18592315
53,3,1,mirror,ukebpfjit,0,init ebpf vm,375683983
54,3,1,mirror,ukebpfjit,0,init ebpf done,379275805
55,3,1,mirror,ukebpfjit,0,read program,5094
56,3,1,mirror,ukebpfjit,0,lock,76
57,3,1,mirror,ukebpfjit,0,load elf,1720
58,3,1,mirror,ukebpfjit,0,signature,139552
59,3,1,mirror,ukebpfjit,0,jit,152357
60,3,1,mirror,ukebpfjit,0,print,18593817
61,3,1,mirror,ukebpfjit,0,init ebpf vm,400954568
62,3,1,mirror,ukebpfjit,0,init ebpf done,404552868
63,3,1,mirror,ukebpfjit,0,read program,4865
64,3,1,mirror,ukebpfjit,0,lock,67
65,3,1,mirror,ukebpfjit,0,load elf,1818
66,3,1,mirror,ukebpfjit,0,signature,144335
67,3,1,mirror,ukebpfjit,0,jit,151833
68,3,1,mirror,ukebpfjit,0,print,18589513
69,3,1,mirror,ukebpfjit,0,init ebpf vm,426217009
70,3,1,mirror,ukebpfjit,0,init ebpf done,429813652
71,3,1,mirror,ukebpfjit,0,read program,4973
72,3,1,mirror,ukebpfjit,0,lock,49
73,3,1,mirror,ukebpfjit,0,load elf,1736
74,3,1,mirror,ukebpfjit,0,signature,138603
75,3,1,mirror,ukebpfjit,0,jit,151796
76,3,1,mirror,ukebpfjit,0,print,18579084
77,3,1,mirror,ukebpfjit,0,init ebpf vm,451475758
78,3,1,mirror,ukebpfjit,0,init ebpf done,455116258
79,3,1,mirror,ukebpfjit,0,read program,4915
80,3,1,mirror,ukebpfjit,0,lock,71
81,3,1,mirror,ukebpfjit,0,load elf,1759
82,3,1,mirror,ukebpfjit,0,signature,138084
83,3,1,mirror,ukebpfjit,0,jit,151252
84,3,1,mirror,ukebpfjit,0,print,18459119
85,3,1,mirror,ukebpfjit,0,init ebpf vm,476634666
86,3,1,mirror,ukebpfjit,0,init ebpf done,480226978
87,3,1,mirror,ukebpfjit,0,read program,4724
88,3,1,mirror,ukebpfjit,0,lock,51
89,3,1,mirror,ukebpfjit,0,load elf,1763
90,3,1,mirror,ukebpfjit,0,signature,138741
91,3,1,mirror,ukebpfjit,0,jit,151940
92,3,1,mirror,ukebpfjit,0,print,18581822
93,3,1,mirror,ukebpfjit,0,init ebpf vm,501897112
94,3,1,mirror,ukebpfjit,0,init ebpf done,505490237
95,3,1,mirror,ukebpfjit,0,read program,4903
96,3,1,mirror,ukebpfjit,0,lock,74
97,3,1,mirror,ukebpfjit,0,load elf,1729
98,3,1,mirror,ukebpfjit,0,signature,138053
99,3,1,mirror,ukebpfjit,0,jit,158845
100,3,1,mirror,ukebpfjit,0,print,18606181
101,3,1,mirror,ukebpfjit,0,init ebpf vm,527156847
102,3,1,mirror,ukebpfjit,0,init ebpf done,530752700
103,3,1,mirror,ukebpfjit,0,read program,4882
104,3,1,mirror,ukebpfjit,0,lock,49
105,3,1,mirror,ukebpfjit,0,load elf,1673
106,3,1,mirror,ukebpfjit,0,signature,138836
107,3,1,mirror,ukebpfjit,0,jit,151314
108,3,1,mirror,ukebpfjit,0,print,18510655
109,3,1,mirror,ukebpfjit,0,init ebpf vm,552350973
110,3,1,mirror,ukebpfjit,0,init ebpf done,555952621
111,3,1,mirror,ukebpfjit,0,read program,4923
112,3,1,mirror,ukebpfjit,0,lock,49
113,3,1,mirror,ukebpfjit,0,load elf,1661
114,3,1,mirror,ukebpfjit,0,signature,137264
115,3,1,mirror,ukebpfjit,0,jit,154399
116,3,1,mirror,ukebpfjit,0,print,18597874
117,3,1,mirror,ukebpfjit,0,init ebpf vm,577638957
118,3,1,mirror,ukebpfjit,0,init ebpf done,581233147
119,3,1,mirror,ukebpfjit,0,read program,4876
120,3,1,mirror,ukebpfjit,0,lock,51
121,3,1,mirror,ukebpfjit,0,load elf,1689
122,3,1,mirror,ukebpfjit,0,signature,137192
123,3,1,mirror,ukebpfjit,0,jit,152338
124,3,1,mirror,ukebpfjit,0,print,18593426
125,3,1,mirror,ukebpfjit,0,init ebpf vm,602894626
126,3,1,mirror,ukebpfjit,0,init ebpf done,606512173
127,3,1,mirror,ukebpfjit,0,read program,4817
128,3,1,mirror,ukebpfjit,0,lock,48
129,3,1,mirror,ukebpfjit,0,load elf,1675
130,3,1,mirror,ukebpfjit,0,signature,136848
131,3,1,mirror,ukebpfjit,0,jit,157489
132,3,1,mirror,ukebpfjit,0,print,18590875
133,3,1,mirror,ukebpfjit,0,init ebpf vm,628193768
134,3,1,mirror,ukebpfjit,0,init ebpf done,631784176
135,3,1,mirror,ukebpfjit,0,read program,4783
136,3,1,mirror,ukebpfjit,0,lock,49
137,3,1,mirror,ukebpfjit,0,load elf,1741
138,3,1,mirror,ukebpfjit,0,signature,136563
139,3,1,mirror,ukebpfjit,0,jit,151984
140,3,1,mirror,ukebpfjit,0,print,18569315
141,3,1,mirror,ukebpfjit,0,init ebpf vm,653440264
142,3,1,mirror,ukebpfjit,0,init ebpf done,657054010
143,3,1,mirror,ukebpfjit,0,read program,4855
144,3,1,mirror,ukebpfjit,0,lock,47
145,3,1,mirror,ukebpfjit,0,load elf,1675
146,3,1,mirror,ukebpfjit,0,signature,136686
147,3,1,mirror,ukebpfjit,0,jit,152124
148,3,1,mirror,ukebpfjit,0,print,18585695
149,3,1,mirror,ukebpfjit,0,init ebpf vm,678724617
150,3,1,mirror,ukebpfjit,0,init ebpf done,682310344
151,3,1,mirror,ukebpfjit,0,read program,4684
152,3,1,mirror,ukebpfjit,0,lock,71
153,3,1,mirror,ukebpfjit,0,load elf,1645
154,3,1,mirror,ukebpfjit,0,signature,136992
155,3,1,mirror,ukebpfjit,0,jit,151818
156,3,1,mirror,ukebpfjit,0,print,18602094
157,3,1,mirror,ukebpfjit,0,init ebpf vm,703995000
158,3,1,mirror,ukebpfjit,0,init ebpf done,707594802
159,3,1,mirror,ukebpfjit,0,read program,4814
160,3,1,mirror,ukebpfjit,0,lock,69
161,3,1,mirror,ukebpfjit,0,load elf,1651
162,3,1,mirror,ukebpfjit,0,signature,141092
163,3,1,mirror,ukebpfjit,0,jit,152082
164,3,1,mirror,ukebpfjit,0,print,18604098
165,3,1,mirror,ukebpfjit,0,init ebpf vm,729284541
166,3,1,mirror,ukebpfjit,0,init ebpf done,732874323
167,3,1,mirror,ukebpfjit,0,read program,4809
168,3,1,mirror,ukebpfjit,0,lock,69
169,3,1,mirror,ukebpfjit,0,load elf,1669
170,3,1,mirror,ukebpfjit,0,signature,136735
171,3,1,mirror,ukebpfjit,0,jit,151990
172,3,1,mirror,ukebpfjit,0,print,18559386
173,3,1,mirror,ukebpfjit,0,init ebpf vm,754518842
174,3,1,mirror,ukebpfjit,0,init ebpf done,758104812
175,3,1,mirror,ukebpfjit,0,read program,4813
176,3,1,mirror,ukebpfjit,0,lock,50
177,3,1,mirror,ukebpfjit,0,load elf,1643
178,3,1,mirror,ukebpfjit,0,signature,136470
179,3,1,mirror,ukebpfjit,0,jit,153930
180,3,1,mirror,ukebpfjit,0,print,18695873
181,3,1,mirror,ukebpfjit,0,init ebpf vm,779890746
182,3,1,mirror,ukebpfjit,0,init ebpf done,783506116
183,3,1,mirror,ukebpfjit,0,read program,5032
184,3,1,mirror,ukebpfjit,0,lock,68
185,3,1,mirror,ukebpfjit,0,load elf,1677
186,3,1,mirror,ukebpfjit,0,signature,137901
187,3,1,mirror,ukebpfjit,0,jit,158208
188,3,1,mirror,ukebpfjit,0,print,18448608
189,3,1,mirror,ukebpfjit,0,init ebpf vm,805018472
190,3,1,mirror,ukebpfjit,0,init ebpf done,808607985
191,3,1,mirror,ukebpfjit,0,read program,4749
192,3,1,mirror,ukebpfjit,0,lock,69
193,3,1,mirror,ukebpfjit,0,load elf,1687
194,3,1,mirror,ukebpfjit,0,signature,139896
195,3,1,mirror,ukebpfjit,0,jit,153577
196,3,1,mirror,ukebpfjit,0,print,18560718
197,3,1,mirror,ukebpfjit,0,init ebpf vm,830259244
198,3,1,mirror,ukebpfjit,0,init ebpf done,833848570
199,3,1,mirror,ukebpfjit,0,read program,4653
200,3,1,mirror,ukebpfjit,0,lock,67
201,3,1,mirror,ukebpfjit,0,load elf,1626
202,3,1,mirror,ukebpfjit,0,signature,136506
203,3,1,mirror,ukebpfjit,0,jit,152092
204,3,1,mirror,ukebpfjit,0,print,18471761
205,3,1,mirror,ukebpfjit,0,init ebpf vm,855384923
206,3,1,mirror,ukebpfjit,0,init ebpf done,858971116
207,3,1,mirror,ukebpfjit,0,read program,4646
208,3,1,mirror,ukebpfjit,0,lock,69
209,3,1,mirror,ukebpfjit,0,load elf,1645
210,3,1,mirror,ukebpfjit,0,signature,136077
211,3,1,mirror,ukebpfjit,0,jit,152268
212,3,1,mirror,ukebpfjit,0,print,18458184
213,3,1,mirror,ukebpfjit,0,init ebpf vm,880487408
214,3,1,mirror,ukebpfjit,0,init ebpf done,884075792
215,3,1,mirror,ukebpfjit,0,read program,4719
216,3,1,mirror,ukebpfjit,0,lock,48
217,3,1,mirror,ukebpfjit,0,load elf,1593
218,3,1,mirror,ukebpfjit,0,signature,135520
219,3,1,mirror,ukebpfjit,0,jit,152392
220,3,1,mirror,ukebpfjit,0,print,18463307
221,3,1,mirror,ukebpfjit,0,init ebpf vm,905604320
222,3,1,mirror,ukebpfjit,0,init ebpf done,909198620
223,3,1,mirror,ukebpfjit,0,read program,4882
224,3,1,mirror,ukebpfjit,0,lock,49
225,3,1,mirror,ukebpfjit,0,load elf,1681
226,3,1,mirror,ukebpfjit,0,signature,136349
227,3,1,mirror,ukebpfjit,0,jit,153202
228,3,1,mirror,ukebpfjit,0,print,18480549
229,3,1,mirror,ukebpfjit,0,init ebpf vm,930752610
230,3,1,mirror,ukebpfjit,0,init ebpf done,934341591
231,3,1,mirror,ukebpfjit,0,read program,4978
232,3,1,mirror,ukebpfjit,0,lock,49
233,3,1,mirror,ukebpfjit,0,load elf,1736
234,3,1,mirror,ukebpfjit,0,signature,138883
235,3,1,mirror,ukebpfjit,0,jit,151506
236,3,1,mirror,ukebpfjit,0,print,18478917
237,3,1,mirror,ukebpfjit,0,init ebpf vm,955906614
238,3,1,mirror,ukebpfjit,0,init ebpf done,959515957
239,3,1,mirror,ukebpfjit,0,read program,4895
240,3,1,mirror,ukebpfjit,0,lock,50
241,3,1,mirror,ukebpfjit,0,load elf,1713
242,3,1,mirror,ukebpfjit,0,signature,142330
243,3,1,mirror,ukebpfjit,0,jit,153180
244,3,1,mirror,ukebpfjit,0,print,18455517
245,3,1,mirror,ukebpfjit,0,init ebpf vm,981033375
246,3,1,mirror,ukebpfjit,0,init ebpf done,984623094
247,3,1,mirror,ukebpfjit,0,read program,4844
248,3,1,mirror,ukebpfjit,0,lock,68
249,3,1,mirror,ukebpfjit,0,load elf,1718
250,3,1,mirror,ukebpfjit,0,signature,141512
251,3,1,mirror,ukebpfjit,0,jit,152112
252,3,1,mirror,ukebpfjit,0,print,18475435
253,3,1,mirror,ukebpfjit,0,init ebpf vm,1006161298
254,3,1,mirror,ukebpfjit,0,init ebpf done,1009777579
255,3,1,mirror,ukebpfjit,0,read program,4910
256,3,1,mirror,ukebpfjit,0,lock,50
257,3,1,mirror,ukebpfjit,0,load elf,1645
258,3,1,mirror,ukebpfjit,0,signature,137483
259,3,1,mirror,ukebpfjit,0,jit,152974
260,3,1,mirror,ukebpfjit,0,print,18480714
261,3,1,mirror,ukebpfjit,0,init ebpf vm,1031326694
262,3,1,mirror,ukebpfjit,0,init ebpf done,1034948572
263,3,1,mirror,ukebpfjit,0,read program,4924
264,3,1,mirror,ukebpfjit,0,lock,70
265,3,1,mirror,ukebpfjit,0,load elf,1811
266,3,1,mirror,ukebpfjit,0,signature,137201
267,3,1,mirror,ukebpfjit,0,jit,151822
268,3,1,mirror,ukebpfjit,0,print,18575192
269,3,1,mirror,ukebpfjit,0,init ebpf vm,1056588172
270,3,1,mirror,ukebpfjit,0,init ebpf done,1060206503
271,3,1,mirror,ukebpfjit,0,read program,4821
272,3,1,mirror,ukebpfjit,0,lock,49
273,3,1,mirror,ukebpfjit,0,load elf,1685
274,3,1,mirror,ukebpfjit,0,signature,137423
275,3,1,mirror,ukebpfjit,0,jit,152560
276,3,1,mirror,ukebpfjit,0,print,18587737
277,3,1,mirror,ukebpfjit,0,init ebpf vm,1081879200
278,3,1,mirror,ukebpfjit,0,init ebpf done,1085502096
279,3,1,mirror,ukebpfjit,0,read program,4973
280,3,1,mirror,ukebpfjit,0,lock,49
281,3,1,mirror,ukebpfjit,0,load elf,1715
282,3,1,mirror,ukebpfjit,0,signature,137486
283,3,1,mirror,ukebpfjit,0,jit,157126
284,3,1,mirror,ukebpfjit,0,print,18572684
285,3,1,mirror,ukebpfjit,0,init ebpf vm,1107145400
286,3,1,mirror,ukebpfjit,0,init ebpf done,1110763581
287,3,1,mirror,ukebpfjit,0,read program,4830
288,3,1,mirror,ukebpfjit,0,lock,47
289,3,1,mirror,ukebpfjit,0,load elf,1664
290,3,1,mirror,ukebpfjit,0,signature,137552
291,3,1,mirror,ukebpfjit,0,jit,152346
292,3,1,mirror,ukebpfjit,0,print,18576226
293,3,1,mirror,ukebpfjit,0,init ebpf vm,1132425535
294,3,1,mirror,ukebpfjit,0,init ebpf done,1136048512
295,3,1,mirror,ukebpfjit,0,read program,4791
296,3,1,mirror,ukebpfjit,0,lock,48
297,3,1,mirror,ukebpfjit,0,load elf,1610
298,3,1,mirror,ukebpfjit,0,signature,136930
299,3,1,mirror,ukebpfjit,0,jit,151980
300,3,1,mirror,ukebpfjit,0,print,18584373
301,3,1,mirror,ukebpfjit,0,init ebpf vm,1157691576
302,3,1,mirror,ukebpfjit,0,init ebpf done,1161344801
303,3,1,mirror,ukebpfjit,0,read program,5054
304,3,1,mirror,ukebpfjit,0,lock,69
305,3,1,mirror,ukebpfjit,0,load elf,1705
306,3,1,mirror,ukebpfjit,0,signature,135735
307,3,1,mirror,ukebpfjit,0,jit,152318
308,3,1,mirror,ukebpfjit,0,print,18595885
309,3,1,mirror,ukebpfjit,0,init ebpf vm,1183021271
310,3,1,mirror,ukebpfjit,0,init ebpf done,1186645977
311,3,1,mirror,ukebpfjit,0,read program,8355
312,3,1,mirror,ukebpfjit,0,lock,49
313,3,1,mirror,ukebpfjit,0,load elf,1662
314,3,1,mirror,ukebpfjit,0,signature,135990
315,3,1,mirror,ukebpfjit,0,jit,151941
316,3,1,mirror,ukebpfjit,0,print,18495506
317,3,1,mirror,ukebpfjit,0,init ebpf vm,1208207674
318,3,1,mirror,ukebpfjit,0,init ebpf done,1211825440
319,3,1,mirror,ukebpfjit,0,read program,4834
320,3,1,mirror,ukebpfjit,0,lock,49
321,3,1,mirror,ukebpfjit,0,load elf,1578
322,3,1,mirror,ukebpfjit,0,signature,135978
323,3,1,mirror,ukebpfjit,0,jit,152718
324,3,1,mirror,ukebpfjit,0,print,18497672
325,3,1,mirror,ukebpfjit,0,init ebpf vm,1233386628
326,3,1,mirror,ukebpfjit,0,init ebpf done,1237002920
327,3,1,mirror,ukebpfjit,0,read program,4824
328,3,1,mirror,ukebpfjit,0,lock,69
329,3,1,mirror,ukebpfjit,0,load elf,1694
330,3,1,mirror,ukebpfjit,0,signature,135948
331,3,1,mirror,ukebpfjit,0,jit,152012
332,3,1,mirror,ukebpfjit,0,print,18532589
