,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,filter,uktrace,2,click main(),107733545
1,3,1,filter,uktrace,2,print config,109249371
2,3,1,filter,uktrace,2,print config done,155813105
3,3,1,filter,uktrace,2,initialize elements,159231506
4,3,1,filter,uktrace,2,initialize elements done,163011874
5,3,1,filter,uktrace,2,first packet,173640448
6,3,1,filter,uktrace,2,total startup time,304663650
7,3,1,filter,uktrace,2,click main(),107690128
8,3,1,filter,uktrace,2,print config,109191450
9,3,1,filter,uktrace,2,print config done,155401934
10,3,1,filter,uktrace,2,initialize elements,158788981
11,3,1,filter,uktrace,2,initialize elements done,162549210
12,3,1,filter,uktrace,2,first packet,173176368
13,3,1,filter,uktrace,2,total startup time,304498450
14,3,1,filter,uktrace,2,click main(),107681125
15,3,1,filter,uktrace,2,print config,109182941
16,3,1,filter,uktrace,2,print config done,155394002
17,3,1,filter,uktrace,2,initialize elements,158785513
18,3,1,filter,uktrace,2,initialize elements done,162541022
19,3,1,filter,uktrace,2,first packet,173107456
20,3,1,filter,uktrace,2,total startup time,302620074
21,3,1,filter,uktrace,2,click main(),107696821
22,3,1,filter,uktrace,2,print config,109204172
23,3,1,filter,uktrace,2,print config done,155619017
24,3,1,filter,uktrace,2,initialize elements,159020663
25,3,1,filter,uktrace,2,initialize elements done,162721950
26,3,1,filter,uktrace,2,first packet,173396367
27,3,1,filter,uktrace,2,total startup time,305804478
28,3,1,filter,uktrace,2,click main(),107675216
29,3,1,filter,uktrace,2,print config,109173686
30,3,1,filter,uktrace,2,print config done,155438376
31,3,1,filter,uktrace,2,initialize elements,158822662
32,3,1,filter,uktrace,2,initialize elements done,162565696
33,3,1,filter,uktrace,2,first packet,173135741
34,3,1,filter,uktrace,2,total startup time,303884678
35,3,1,filter,uktrace,2,click main(),107693317
36,3,1,filter,uktrace,2,print config,109198714
37,3,1,filter,uktrace,2,print config done,155487597
38,3,1,filter,uktrace,2,initialize elements,158897329
39,3,1,filter,uktrace,2,initialize elements done,162677463
40,3,1,filter,uktrace,2,first packet,173226985
41,3,1,filter,uktrace,2,total startup time,305751893
42,3,1,filter,uktrace,2,click main(),107704277
43,3,1,filter,uktrace,2,print config,109209693
44,3,1,filter,uktrace,2,print config done,155521128
45,3,1,filter,uktrace,2,initialize elements,158904898
46,3,1,filter,uktrace,2,initialize elements done,162587355
47,3,1,filter,uktrace,2,first packet,173215812
48,3,1,filter,uktrace,2,total startup time,303044761
49,3,1,filter,uktrace,2,click main(),107748091
50,3,1,filter,uktrace,2,print config,109262776
51,3,1,filter,uktrace,2,print config done,155824432
52,3,1,filter,uktrace,2,initialize elements,159233373
53,3,1,filter,uktrace,2,initialize elements done,163010298
54,3,1,filter,uktrace,2,first packet,173654646
55,3,1,filter,uktrace,2,total startup time,304575963
56,3,1,filter,uktrace,2,click main(),107712628
57,3,1,filter,uktrace,2,print config,109225276
58,3,1,filter,uktrace,2,print config done,155620488
59,3,1,filter,uktrace,2,initialize elements,159019489
60,3,1,filter,uktrace,2,initialize elements done,162787570
61,3,1,filter,uktrace,2,first packet,173407273
62,3,1,filter,uktrace,2,total startup time,303646554
63,3,1,filter,uktrace,2,click main(),107689687
64,3,1,filter,uktrace,2,print config,109194171
65,3,1,filter,uktrace,2,print config done,155347283
66,3,1,filter,uktrace,2,initialize elements,158722158
67,3,1,filter,uktrace,2,initialize elements done,162479126
68,3,1,filter,uktrace,2,first packet,173133402
69,3,1,filter,uktrace,2,total startup time,306713341
70,3,1,filter,uktrace,2,qemu start,416126378160154
71,3,1,filter,uktrace,2,qemu kvm entry,416126441245313
72,3,1,filter,uktrace,2,qemu kvm port 255,416126488037854
73,3,1,filter,uktrace,2,qemu kvm port 254,416126603368615
74,3,1,filter,uktrace,2,qemu kvm port 253,416126658589915
75,3,1,filter,uktrace,2,qemu start,416131799755464
76,3,1,filter,uktrace,2,qemu kvm entry,416131862814039
77,3,1,filter,uktrace,2,qemu kvm port 255,416131909851086
78,3,1,filter,uktrace,2,qemu kvm port 254,416132025105008
79,3,1,filter,uktrace,2,qemu kvm port 253,416132079921912
80,3,1,filter,uktrace,2,qemu start,416137356749001
81,3,1,filter,uktrace,2,qemu kvm entry,416137418901876
82,3,1,filter,uktrace,2,qemu kvm port 255,416137464883065
83,3,1,filter,uktrace,2,qemu kvm port 254,416137580291919
84,3,1,filter,uktrace,2,qemu kvm port 253,416137635093318
85,3,1,filter,uktrace,2,qemu start,416142899046304
86,3,1,filter,uktrace,2,qemu kvm entry,416142962639045
87,3,1,filter,uktrace,2,qemu kvm port 255,416143009070991
88,3,1,filter,uktrace,2,qemu kvm port 254,416143124410432
89,3,1,filter,uktrace,2,qemu kvm port 253,416143179439322
90,3,1,filter,uktrace,2,qemu start,416148419631129
91,3,1,filter,uktrace,2,qemu kvm entry,416148482833770
92,3,1,filter,uktrace,2,qemu kvm port 255,416148528858856
93,3,1,filter,uktrace,2,qemu kvm port 254,416148644073341
94,3,1,filter,uktrace,2,qemu kvm port 253,416148698905436
95,3,1,filter,uktrace,2,qemu start,416153965588276
96,3,1,filter,uktrace,2,qemu kvm entry,416154030860263
97,3,1,filter,uktrace,2,qemu kvm port 255,416154076815009
98,3,1,filter,uktrace,2,qemu kvm port 254,416154192078350
99,3,1,filter,uktrace,2,qemu kvm port 253,416154247013832
100,3,1,filter,uktrace,2,qemu start,416159530301162
101,3,1,filter,uktrace,2,qemu kvm entry,416159593371911
102,3,1,filter,uktrace,2,qemu kvm port 255,416159638813650
103,3,1,filter,uktrace,2,qemu kvm port 254,416159754451617
104,3,1,filter,uktrace,2,qemu kvm port 253,416159809339289
105,3,1,filter,uktrace,2,qemu start,416165057597079
106,3,1,filter,uktrace,2,qemu kvm entry,416165120513367
107,3,1,filter,uktrace,2,qemu kvm port 255,416165167055876
108,3,1,filter,uktrace,2,qemu kvm port 254,416165282444895
109,3,1,filter,uktrace,2,qemu kvm port 253,416165337644246
110,3,1,filter,uktrace,2,qemu start,416170604321491
111,3,1,filter,uktrace,2,qemu kvm entry,416170666729586
112,3,1,filter,uktrace,2,qemu kvm port 255,416170713039777
113,3,1,filter,uktrace,2,qemu kvm port 254,416170828407714
114,3,1,filter,uktrace,2,qemu kvm port 253,416170883417820
115,3,1,filter,uktrace,2,qemu start,416176151835727
116,3,1,filter,uktrace,2,qemu kvm entry,416176216527239
117,3,1,filter,uktrace,2,qemu kvm port 255,416176263817965
118,3,1,filter,uktrace,2,qemu kvm port 254,416176379059955
119,3,1,filter,uktrace,2,qemu kvm port 253,416176433796644
