,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,firewall-1000,uktrace,0,click main(),107708969
1,3,1,firewall-1000,uktrace,0,print config,109216704
2,3,1,firewall-1000,uktrace,0,print config done,2748366927
3,3,1,firewall-1000,uktrace,0,initialize elements,2751849197
4,3,1,firewall-1000,uktrace,0,initialize elements done,2802639942
5,3,1,firewall-1000,uktrace,0,first packet,2813231431
6,3,1,firewall-1000,uktrace,0,total startup time,2944486538
7,3,1,firewall-1000,uktrace,0,click main(),107718386
8,3,1,firewall-1000,uktrace,0,print config,109227730
9,3,1,firewall-1000,uktrace,0,print config done,2757578906
10,3,1,firewall-1000,uktrace,0,initialize elements,2761085425
11,3,1,firewall-1000,uktrace,0,initialize elements done,2811784129
12,3,1,firewall-1000,uktrace,0,first packet,2822418635
13,3,1,firewall-1000,uktrace,0,total startup time,2953422176
14,3,1,firewall-1000,uktrace,0,click main(),107690466
15,3,1,firewall-1000,uktrace,0,print config,109193870
16,3,1,firewall-1000,uktrace,0,print config done,2752102819
17,3,1,firewall-1000,uktrace,0,initialize elements,2755594328
18,3,1,firewall-1000,uktrace,0,initialize elements done,2806306093
19,3,1,firewall-1000,uktrace,0,first packet,2816889330
20,3,1,firewall-1000,uktrace,0,total startup time,2947724509
21,3,1,firewall-1000,uktrace,0,click main(),107672180
22,3,1,firewall-1000,uktrace,0,print config,109184254
23,3,1,firewall-1000,uktrace,0,print config done,2747785234
24,3,1,firewall-1000,uktrace,0,initialize elements,2751270567
25,3,1,firewall-1000,uktrace,0,initialize elements done,2801818639
26,3,1,firewall-1000,uktrace,0,first packet,2812488687
27,3,1,firewall-1000,uktrace,0,total startup time,2943609465
28,3,1,firewall-1000,uktrace,0,click main(),107704266
29,3,1,firewall-1000,uktrace,0,print config,109217681
30,3,1,firewall-1000,uktrace,0,print config done,2761797329
31,3,1,firewall-1000,uktrace,0,initialize elements,2765299317
32,3,1,firewall-1000,uktrace,0,initialize elements done,2815953190
33,3,1,firewall-1000,uktrace,0,first packet,2826579386
34,3,1,firewall-1000,uktrace,0,total startup time,2957159571
35,3,1,firewall-1000,uktrace,0,click main(),107656261
36,3,1,firewall-1000,uktrace,0,print config,109155664
37,3,1,firewall-1000,uktrace,0,print config done,2752383302
38,3,1,firewall-1000,uktrace,0,initialize elements,2755873279
39,3,1,firewall-1000,uktrace,0,initialize elements done,2806526050
40,3,1,firewall-1000,uktrace,0,first packet,2817066175
41,3,1,firewall-1000,uktrace,0,total startup time,2948582637
42,3,1,firewall-1000,uktrace,0,click main(),107850952
43,3,1,firewall-1000,uktrace,0,print config,109384267
44,3,1,firewall-1000,uktrace,0,print config done,2812511705
45,3,1,firewall-1000,uktrace,0,initialize elements,2816081134
46,3,1,firewall-1000,uktrace,0,initialize elements done,2866720248
47,3,1,firewall-1000,uktrace,0,first packet,2877650313
48,3,1,firewall-1000,uktrace,0,total startup time,3011278708
49,3,1,firewall-1000,uktrace,0,click main(),107784371
50,3,1,firewall-1000,uktrace,0,print config,109288324
51,3,1,firewall-1000,uktrace,0,print config done,2764204521
52,3,1,firewall-1000,uktrace,0,initialize elements,2767713519
53,3,1,firewall-1000,uktrace,0,initialize elements done,2818457053
54,3,1,firewall-1000,uktrace,0,first packet,2829112674
55,3,1,firewall-1000,uktrace,0,total startup time,2961752668
56,3,1,firewall-1000,uktrace,0,click main(),107685828
57,3,1,firewall-1000,uktrace,0,print config,109187133
