,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,ids,uktrace,2,click main(),107697954
1,3,1,ids,uktrace,2,print config,109206775
2,3,1,ids,uktrace,2,print config done,128525021
3,3,1,ids,uktrace,2,initialize elements,131920774
4,3,1,ids,uktrace,2,initialize elements done,135660210
5,3,1,ids,uktrace,2,first packet,146272483
6,3,1,ids,uktrace,2,total startup time,277631018
7,3,1,ids,uktrace,2,click main(),107726021
8,3,1,ids,uktrace,2,print config,109222196
9,3,1,ids,uktrace,2,print config done,128495195
10,3,1,ids,uktrace,2,initialize elements,131871719
11,3,1,ids,uktrace,2,initialize elements done,135525208
12,3,1,ids,uktrace,2,first packet,146350058
13,3,1,ids,uktrace,2,total startup time,277824348
14,3,1,ids,uktrace,2,click main(),107778314
15,3,1,ids,uktrace,2,print config,109301458
16,3,1,ids,uktrace,2,print config done,128737748
17,3,1,ids,uktrace,2,initialize elements,132139215
18,3,1,ids,uktrace,2,initialize elements done,135896457
19,3,1,ids,uktrace,2,first packet,146562238
20,3,1,ids,uktrace,2,total startup time,276880574
21,3,1,ids,uktrace,2,click main(),107736624
22,3,1,ids,uktrace,2,print config,109237345
23,3,1,ids,uktrace,2,print config done,128487363
24,3,1,ids,uktrace,2,initialize elements,131864018
25,3,1,ids,uktrace,2,initialize elements done,135597366
26,3,1,ids,uktrace,2,first packet,146178104
27,3,1,ids,uktrace,2,total startup time,278775725
28,3,1,ids,uktrace,2,click main(),107765549
29,3,1,ids,uktrace,2,print config,109275821
30,3,1,ids,uktrace,2,print config done,128648832
31,3,1,ids,uktrace,2,initialize elements,132036818
32,3,1,ids,uktrace,2,initialize elements done,135862130
33,3,1,ids,uktrace,2,first packet,146575412
34,3,1,ids,uktrace,2,total startup time,278512145
35,3,1,ids,uktrace,2,click main(),107693069
36,3,1,ids,uktrace,2,print config,109193949
37,3,1,ids,uktrace,2,print config done,128480086
38,3,1,ids,uktrace,2,initialize elements,131863513
39,3,1,ids,uktrace,2,initialize elements done,135560861
40,3,1,ids,uktrace,2,first packet,146123192
41,3,1,ids,uktrace,2,total startup time,277787802
42,3,1,ids,uktrace,2,click main(),107644900
43,3,1,ids,uktrace,2,print config,109137972
44,3,1,ids,uktrace,2,print config done,128333568
45,3,1,ids,uktrace,2,initialize elements,131706535
46,3,1,ids,uktrace,2,initialize elements done,135394668
47,3,1,ids,uktrace,2,first packet,145932202
48,3,1,ids,uktrace,2,total startup time,276489815
49,3,1,ids,uktrace,2,click main(),107789477
50,3,1,ids,uktrace,2,print config,109310653
51,3,1,ids,uktrace,2,print config done,128737568
52,3,1,ids,uktrace,2,initialize elements,132133714
53,3,1,ids,uktrace,2,initialize elements done,135856826
54,3,1,ids,uktrace,2,first packet,146489448
55,3,1,ids,uktrace,2,total startup time,281275503
56,3,1,ids,uktrace,2,click main(),107768779
57,3,1,ids,uktrace,2,print config,109284571
58,3,1,ids,uktrace,2,print config done,128657026
59,3,1,ids,uktrace,2,initialize elements,132050738
60,3,1,ids,uktrace,2,initialize elements done,135903149
61,3,1,ids,uktrace,2,first packet,146603837
62,3,1,ids,uktrace,2,total startup time,279031362
63,3,1,ids,uktrace,2,click main(),107812383
64,3,1,ids,uktrace,2,print config,109332101
65,3,1,ids,uktrace,2,print config done,128790455
66,3,1,ids,uktrace,2,initialize elements,132194378
67,3,1,ids,uktrace,2,initialize elements done,135878704
