,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,mirror,uktrace,2,click main(),107702377
1,3,1,mirror,uktrace,2,print config,109213387
2,3,1,mirror,uktrace,2,print config done,128106010
3,3,1,mirror,uktrace,2,initialize elements,131520088
4,3,1,mirror,uktrace,2,initialize elements done,135266684
5,3,1,mirror,uktrace,2,first packet,145870285
6,3,1,mirror,uktrace,2,total startup time,277062425
7,3,1,mirror,uktrace,2,click main(),107740723
8,3,1,mirror,uktrace,2,print config,109263561
9,3,1,mirror,uktrace,2,print config done,128187564
10,3,1,mirror,uktrace,2,initialize elements,131592713
11,3,1,mirror,uktrace,2,initialize elements done,135319596
12,3,1,mirror,uktrace,2,first packet,145938775
13,3,1,mirror,uktrace,2,total startup time,277798944
14,3,1,mirror,uktrace,2,click main(),107744467
15,3,1,mirror,uktrace,2,print config,109258228
16,3,1,mirror,uktrace,2,print config done,128146478
17,3,1,mirror,uktrace,2,initialize elements,131549122
18,3,1,mirror,uktrace,2,initialize elements done,135285002
19,3,1,mirror,uktrace,2,first packet,145881917
20,3,1,mirror,uktrace,2,total startup time,277657106
21,3,1,mirror,uktrace,2,click main(),107687601
22,3,1,mirror,uktrace,2,print config,109197908
23,3,1,mirror,uktrace,2,print config done,127944512
24,3,1,mirror,uktrace,2,initialize elements,131319639
25,3,1,mirror,uktrace,2,initialize elements done,135019022
26,3,1,mirror,uktrace,2,first packet,145650737
27,3,1,mirror,uktrace,2,total startup time,276587960
28,3,1,mirror,uktrace,2,click main(),107851194
29,3,1,mirror,uktrace,2,print config,109388744
30,3,1,mirror,uktrace,2,print config done,128461180
31,3,1,mirror,uktrace,2,initialize elements,131894109
32,3,1,mirror,uktrace,2,initialize elements done,135664854
33,3,1,mirror,uktrace,2,first packet,146441572
34,3,1,mirror,uktrace,2,total startup time,280052648
35,3,1,mirror,uktrace,2,click main(),107702275
36,3,1,mirror,uktrace,2,print config,109207059
37,3,1,mirror,uktrace,2,print config done,128062864
38,3,1,mirror,uktrace,2,initialize elements,131467089
39,3,1,mirror,uktrace,2,initialize elements done,135134040
40,3,1,mirror,uktrace,2,first packet,145860987
41,3,1,mirror,uktrace,2,total startup time,277991175
42,3,1,mirror,uktrace,2,click main(),107777133
43,3,1,mirror,uktrace,2,print config,109304265
44,3,1,mirror,uktrace,2,print config done,128316401
45,3,1,mirror,uktrace,2,initialize elements,131736863
46,3,1,mirror,uktrace,2,initialize elements done,135418557
47,3,1,mirror,uktrace,2,first packet,146415912
48,3,1,mirror,uktrace,2,total startup time,295155158
49,3,1,mirror,uktrace,2,click main(),107671096
50,3,1,mirror,uktrace,2,print config,109178641
51,3,1,mirror,uktrace,2,print config done,127959151
52,3,1,mirror,uktrace,2,initialize elements,131344657
53,3,1,mirror,uktrace,2,initialize elements done,134989882
54,3,1,mirror,uktrace,2,first packet,145849856
55,3,1,mirror,uktrace,2,total startup time,276854496
56,3,1,mirror,uktrace,2,click main(),107700739
57,3,1,mirror,uktrace,2,print config,109209111
58,3,1,mirror,uktrace,2,print config done,128021250
59,3,1,mirror,uktrace,2,initialize elements,131416147
60,3,1,mirror,uktrace,2,initialize elements done,135131767
61,3,1,mirror,uktrace,2,first packet,145695725
62,3,1,mirror,uktrace,2,total startup time,278597062
63,3,1,mirror,uktrace,2,click main(),107758930
64,3,1,mirror,uktrace,2,print config,109280621
65,3,1,mirror,uktrace,2,print config done,128260617
66,3,1,mirror,uktrace,2,initialize elements,131671763
67,3,1,mirror,uktrace,2,initialize elements done,135392473
68,3,1,mirror,uktrace,2,first packet,146065799
69,3,1,mirror,uktrace,2,total startup time,277244486
70,3,1,mirror,uktrace,2,qemu start,417416763765688
71,3,1,mirror,uktrace,2,qemu kvm entry,417416826828985
72,3,1,mirror,uktrace,2,qemu kvm port 255,417416872922877
73,3,1,mirror,uktrace,2,qemu kvm port 254,417416988475781
74,3,1,mirror,uktrace,2,qemu kvm port 253,417417015987758
75,3,1,mirror,uktrace,2,qemu start,417422154163365
76,3,1,mirror,uktrace,2,qemu kvm entry,417422217060777
77,3,1,mirror,uktrace,2,qemu kvm port 255,417422264839947
78,3,1,mirror,uktrace,2,qemu kvm port 254,417422380221284
79,3,1,mirror,uktrace,2,qemu kvm port 253,417422407737179
80,3,1,mirror,uktrace,2,qemu start,417427695586687
81,3,1,mirror,uktrace,2,qemu kvm entry,417427758794202
82,3,1,mirror,uktrace,2,qemu kvm port 255,417427805852803
83,3,1,mirror,uktrace,2,qemu kvm port 254,417427921206956
84,3,1,mirror,uktrace,2,qemu kvm port 253,417427948699599
85,3,1,mirror,uktrace,2,qemu start,417433263020248
86,3,1,mirror,uktrace,2,qemu kvm entry,417433326764858
87,3,1,mirror,uktrace,2,qemu kvm port 255,417433372775697
88,3,1,mirror,uktrace,2,qemu kvm port 254,417433488130402
89,3,1,mirror,uktrace,2,qemu kvm port 253,417433515409575
90,3,1,mirror,uktrace,2,qemu start,417438848613133
91,3,1,mirror,uktrace,2,qemu kvm entry,417438914754052
92,3,1,mirror,uktrace,2,qemu kvm port 255,417438960872012
93,3,1,mirror,uktrace,2,qemu kvm port 254,417439076538067
94,3,1,mirror,uktrace,2,qemu kvm port 253,417439104279597
95,3,1,mirror,uktrace,2,qemu start,417444310791765
96,3,1,mirror,uktrace,2,qemu kvm entry,417444374248621
97,3,1,mirror,uktrace,2,qemu kvm port 255,417444421092795
98,3,1,mirror,uktrace,2,qemu kvm port 254,417444536489103
99,3,1,mirror,uktrace,2,qemu kvm port 253,417444563922992
100,3,1,mirror,uktrace,2,qemu start,417449910519574
101,3,1,mirror,uktrace,2,qemu kvm entry,417449974060807
102,3,1,mirror,uktrace,2,qemu kvm port 255,417450019767823
103,3,1,mirror,uktrace,2,qemu kvm port 254,417450135392259
