,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,filter,xdp,1,total,12000000
1,3,1,filter,xdp,1,total,10000000
2,3,1,filter,xdp,1,total,15000000
3,3,1,filter,xdp,1,total,11000000
4,3,1,filter,xdp,1,total,24000000
5,3,1,filter,xdp,1,total,20000000
6,3,1,filter,xdp,1,total,13000000
7,3,1,filter,xdp,1,total,10000000
8,3,1,filter,xdp,1,total,22000000
9,3,1,filter,xdp,1,total,21000000
10,3,1,filter,xdp,1,total,12000000
11,3,1,filter,xdp,1,total,9000000
12,3,1,filter,xdp,1,total,21000000
13,3,1,filter,xdp,1,total,12000000
14,3,1,filter,xdp,1,total,23000000
15,3,1,filter,xdp,1,total,16000000
16,3,1,filter,xdp,1,total,20000000
17,3,1,filter,xdp,1,total,16000000
18,3,1,filter,xdp,1,total,21000000
19,3,1,filter,xdp,1,total,9000000
20,3,1,filter,xdp,1,total,19000000
21,3,1,filter,xdp,1,total,13000000
22,3,1,filter,xdp,1,total,17000000
23,3,1,filter,xdp,1,total,13000000
24,3,1,filter,xdp,1,total,12000000
25,3,1,filter,xdp,1,total,11000000
26,3,1,filter,xdp,1,total,19000000
27,3,1,filter,xdp,1,total,14000000
28,3,1,filter,xdp,1,total,9000000
29,3,1,filter,xdp,1,total,24000000
