,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,1024,empty,linux,0,990833.166833
1,3,1,rx,vpp,1024,empty,linux,0,953638.361638
2,3,1,rx,vpp,1024,empty,linux,0,990337.0
3,3,1,rx,vpp,1024,empty,linux,0,931540.0
4,3,1,rx,vpp,1024,empty,linux,0,939207.0
5,3,1,rx,vpp,1024,empty,linux,0,966268.0
6,3,1,rx,vpp,1024,empty,linux,0,969888.0
7,3,1,rx,vpp,1024,empty,linux,0,968846.0
8,3,1,rx,vpp,1024,empty,linux,0,937355.0
9,3,1,rx,vpp,1024,empty,linux,0,970344.0
10,3,1,rx,vpp,1024,empty,linux,0,971403.596404
11,3,1,rx,vpp,1024,empty,linux,0,932090.909091
12,3,1,rx,vpp,1024,empty,linux,0,969589.410589
13,3,1,rx,vpp,1024,empty,linux,0,966914.0
14,3,1,rx,vpp,1024,empty,linux,0,923252.0
15,3,1,rx,vpp,1024,empty,linux,0,966425.0
16,3,1,rx,vpp,1024,empty,linux,0,966579.0
17,3,1,rx,vpp,1024,empty,linux,0,916469.0
18,3,1,rx,vpp,1024,empty,linux,0,968530.46953
19,3,1,rx,vpp,1024,empty,linux,0,967724.0
20,3,1,rx,vpp,1024,empty,linux,0,908278.0
21,3,1,rx,vpp,1024,empty,linux,0,968443.0
22,3,1,rx,vpp,1024,empty,linux,0,969881.118881
23,3,1,rx,vpp,1024,empty,linux,0,959870.0
24,3,1,rx,vpp,1024,empty,linux,0,916983.0
25,3,1,rx,vpp,1024,empty,linux,0,970230.769231
26,3,1,rx,vpp,1024,empty,linux,0,968226.773227
27,3,1,rx,vpp,1024,empty,linux,0,967161.0
28,3,1,rx,vpp,1024,empty,linux,0,969538.0
29,3,1,rx,vpp,1024,empty,linux,0,970829.170829
30,3,1,rx,vpp,1024,empty,linux,0,969963.0
31,3,1,rx,vpp,1024,empty,linux,0,968871.0
32,3,1,rx,vpp,1024,empty,linux,0,971485.0
33,3,1,rx,vpp,1024,empty,linux,0,968055.0
34,3,1,rx,vpp,1024,empty,linux,0,969878.0
35,3,1,rx,vpp,1024,empty,linux,0,968310.0
36,3,1,rx,vpp,1024,empty,linux,0,964784.0
37,3,1,rx,vpp,1024,empty,linux,0,966196.803197
38,3,1,rx,vpp,1024,empty,linux,0,967724.275724
39,3,1,rx,vpp,1024,empty,linux,0,969626.0
40,3,1,rx,vpp,1024,empty,linux,0,969606.0
41,3,1,rx,vpp,1024,empty,linux,0,967303.0
42,3,1,rx,vpp,1024,empty,linux,0,966905.0
43,3,1,rx,vpp,1024,empty,linux,0,971070.0
44,3,1,rx,vpp,1024,empty,linux,0,970106.0
45,3,1,rx,vpp,1024,empty,linux,0,972336.0
46,3,1,rx,vpp,1024,empty,linux,0,968096.903097
47,3,1,rx,vpp,1024,empty,linux,0,970328.0
48,3,1,rx,vpp,1024,empty,linux,0,973543.0
49,3,1,rx,vpp,1024,empty,linux,0,974729.0
50,3,1,rx,vpp,1024,empty,linux,0,973914.0
51,3,1,rx,vpp,1024,empty,linux,0,973362.0
52,3,1,rx,vpp,1024,empty,linux,0,972863.0
53,3,1,rx,vpp,1024,empty,linux,0,960798.0
54,3,1,rx,vpp,1024,empty,linux,0,967196.0
55,3,1,rx,vpp,1024,empty,linux,0,967976.0
56,3,1,rx,vpp,1024,empty,linux,0,965906.0
57,3,1,rx,vpp,1024,empty,linux,0,967203.796204
58,3,1,rx,vpp,1024,empty,linux,0,971023.0
59,3,1,rx,vpp,1024,empty,linux,0,972215.0
60,3,1,rx,vpp,1024,empty,linux,0,968564.435564
61,3,1,rx,vpp,1024,empty,linux,0,970105.894106
62,3,1,rx,vpp,1024,empty,linux,0,971715.0
63,3,1,rx,vpp,1024,empty,linux,0,969054.0
64,3,1,rx,vpp,1024,empty,linux,0,967644.0
65,3,1,rx,vpp,1024,empty,linux,0,967172.0
66,3,1,rx,vpp,1024,empty,linux,0,967225.0
67,3,1,rx,vpp,1024,empty,linux,0,966203.0
68,3,1,rx,vpp,1024,empty,linux,0,967890.0
