,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,256,filter,linux,0,902104.790419
1,3,1,rx,vpp,256,filter,linux,0,862128.486056
2,3,1,rx,vpp,256,filter,linux,0,890068.931069
3,3,1,rx,vpp,256,filter,linux,0,885908.091908
4,3,1,rx,vpp,256,filter,linux,0,834740.0
5,3,1,rx,vpp,256,filter,linux,0,895247.752248
6,3,1,rx,vpp,256,filter,linux,0,898469.0
7,3,1,rx,vpp,256,filter,linux,0,887482.517483
8,3,1,rx,vpp,256,filter,linux,0,870888.0
9,3,1,rx,vpp,256,filter,linux,0,889017.0
10,3,1,rx,vpp,256,filter,linux,0,891117.764471
11,3,1,rx,vpp,256,filter,linux,0,873735.0
12,3,1,rx,vpp,256,filter,linux,0,889404.0
13,3,1,rx,vpp,256,filter,linux,0,879327.0
14,3,1,rx,vpp,256,filter,linux,0,859346.959123
15,3,1,rx,vpp,256,filter,linux,0,885780.0
16,3,1,rx,vpp,256,filter,linux,0,892773.0
17,3,1,rx,vpp,256,filter,linux,0,841167.167167
18,3,1,rx,vpp,256,filter,linux,0,892384.0
19,3,1,rx,vpp,256,filter,linux,0,881895.0
20,3,1,rx,vpp,256,filter,linux,0,831002.0
21,3,1,rx,vpp,256,filter,linux,0,885735.0
22,3,1,rx,vpp,256,filter,linux,0,893159.0
23,3,1,rx,vpp,256,filter,linux,0,840355.711423
24,3,1,rx,vpp,256,filter,linux,0,846315.0
25,3,1,rx,vpp,256,filter,linux,0,888888.0
26,3,1,rx,vpp,256,filter,linux,0,884505.494505
27,3,1,rx,vpp,256,filter,linux,0,879691.0
28,3,1,rx,vpp,256,filter,linux,0,885818.363273
29,3,1,rx,vpp,256,filter,linux,0,886428.0
30,3,1,rx,vpp,256,filter,linux,0,887204.0
31,3,1,rx,vpp,256,filter,linux,0,882259.259259
32,3,1,rx,vpp,256,filter,linux,0,885283.716284
33,3,1,rx,vpp,256,filter,linux,0,886634.0
34,3,1,rx,vpp,256,filter,linux,0,888467.532468
35,3,1,rx,vpp,256,filter,linux,0,885650.0
36,3,1,rx,vpp,256,filter,linux,0,882696.303696
37,3,1,rx,vpp,256,filter,linux,0,890069.93007
38,3,1,rx,vpp,256,filter,linux,0,884376.623377
39,3,1,rx,vpp,256,filter,linux,0,895104.0
40,3,1,rx,vpp,256,filter,linux,0,879562.0
41,3,1,rx,vpp,256,filter,linux,0,884225.0
42,3,1,rx,vpp,256,filter,linux,0,881917.082917
43,3,1,rx,vpp,256,filter,linux,0,884846.153846
44,3,1,rx,vpp,256,filter,linux,0,880240.0
45,3,1,rx,vpp,256,filter,linux,0,880340.0
46,3,1,rx,vpp,256,filter,linux,0,887630.738523
47,3,1,rx,vpp,256,filter,linux,0,889406.0
48,3,1,rx,vpp,256,filter,linux,0,886816.0
49,3,1,rx,vpp,256,filter,linux,0,883342.657343
50,3,1,rx,vpp,256,filter,linux,0,891735.0
51,3,1,rx,vpp,256,filter,linux,0,896279.72028
52,3,1,rx,vpp,256,filter,linux,0,881635.0
53,3,1,rx,vpp,256,filter,linux,0,852116.0
54,3,1,rx,vpp,256,filter,linux,0,871014.97006
55,3,1,rx,vpp,256,filter,linux,0,880496.503497
56,3,1,rx,vpp,256,filter,linux,0,878426.573427
57,3,1,rx,vpp,256,filter,linux,0,886816.0
58,3,1,rx,vpp,256,filter,linux,0,878426.573427
59,3,1,rx,vpp,256,filter,linux,0,881272.727273
60,3,1,rx,vpp,256,filter,linux,0,883189.0
61,3,1,rx,vpp,256,filter,linux,0,885780.0
62,3,1,rx,vpp,256,filter,linux,0,875938.0
63,3,1,rx,vpp,256,filter,linux,0,879015.984016
64,3,1,rx,vpp,256,filter,linux,0,877428.143713
65,3,1,rx,vpp,256,filter,linux,0,883189.0
66,3,1,rx,vpp,256,filter,linux,0,879564.0
67,3,1,rx,vpp,256,filter,linux,0,889406.0
68,3,1,rx,vpp,256,filter,linux,0,889033.966034
