,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,256,ids,linux,0,428386.0
1,3,1,rx,vpp,256,ids,linux,0,415226.321037
2,3,1,rx,vpp,256,ids,linux,0,412902.293121
3,3,1,rx,vpp,256,ids,linux,0,427607.784431
4,3,1,rx,vpp,256,ids,linux,0,411916.083916
5,3,1,rx,vpp,256,ids,linux,0,429551.0
6,3,1,rx,vpp,256,ids,linux,0,432304.695305
7,3,1,rx,vpp,256,ids,linux,0,426923.076923
8,3,1,rx,vpp,256,ids,linux,0,409199.8002
9,3,1,rx,vpp,256,ids,linux,0,429292.0
10,3,1,rx,vpp,256,ids,linux,0,427868.0
11,3,1,rx,vpp,256,ids,linux,0,409479.0
12,3,1,rx,vpp,256,ids,linux,0,427699.300699
13,3,1,rx,vpp,256,ids,linux,0,431398.601399
14,3,1,rx,vpp,256,ids,linux,0,408572.0
15,3,1,rx,vpp,256,ids,linux,0,425075.848303
16,3,1,rx,vpp,256,ids,linux,0,423583.0
17,3,1,rx,vpp,256,ids,linux,0,401450.0
18,3,1,rx,vpp,256,ids,linux,0,429552.0
19,3,1,rx,vpp,256,ids,linux,0,427569.430569
20,3,1,rx,vpp,256,ids,linux,0,403911.0
21,3,1,rx,vpp,256,ids,linux,0,433825.0
22,3,1,rx,vpp,256,ids,linux,0,434343.0
23,3,1,rx,vpp,256,ids,linux,0,410853.0
24,3,1,rx,vpp,256,ids,linux,0,403781.0
25,3,1,rx,vpp,256,ids,linux,0,429552.0
26,3,1,rx,vpp,256,ids,linux,0,426281.0
27,3,1,rx,vpp,256,ids,linux,0,429681.0
28,3,1,rx,vpp,256,ids,linux,0,428645.0
29,3,1,rx,vpp,256,ids,linux,0,427091.0
30,3,1,rx,vpp,256,ids,linux,0,422817.0
31,3,1,rx,vpp,256,ids,linux,0,427998.0
32,3,1,rx,vpp,256,ids,linux,0,430587.0
33,3,1,rx,vpp,256,ids,linux,0,424508.982036
34,3,1,rx,vpp,256,ids,linux,0,428256.0
35,3,1,rx,vpp,256,ids,linux,0,427000.0
36,3,1,rx,vpp,256,ids,linux,0,426782.0
37,3,1,rx,vpp,256,ids,linux,0,427998.0
38,3,1,rx,vpp,256,ids,linux,0,429510.48951
39,3,1,rx,vpp,256,ids,linux,0,425537.0
40,3,1,rx,vpp,256,ids,linux,0,427738.0
41,3,1,rx,vpp,256,ids,linux,0,425278.0
42,3,1,rx,vpp,256,ids,linux,0,424760.0
43,3,1,rx,vpp,256,ids,linux,0,427686.0
44,3,1,rx,vpp,256,ids,linux,0,422817.0
45,3,1,rx,vpp,256,ids,linux,0,426276.723277
46,3,1,rx,vpp,256,ids,linux,0,422299.0
47,3,1,rx,vpp,256,ids,linux,0,427300.0
48,3,1,rx,vpp,256,ids,linux,0,422947.0
49,3,1,rx,vpp,256,ids,linux,0,431235.0
50,3,1,rx,vpp,256,ids,linux,0,428645.0
51,3,1,rx,vpp,256,ids,linux,0,428346.653347
52,3,1,rx,vpp,256,ids,linux,0,423170.829171
53,3,1,rx,vpp,256,ids,linux,0,410702.297702
54,3,1,rx,vpp,256,ids,linux,0,425019.0
55,3,1,rx,vpp,256,ids,linux,0,427699.300699
56,3,1,rx,vpp,256,ids,linux,0,424765.469062
57,3,1,rx,vpp,256,ids,linux,0,426602.0
58,3,1,rx,vpp,256,ids,linux,0,423336.0
59,3,1,rx,vpp,256,ids,linux,0,422429.0
60,3,1,rx,vpp,256,ids,linux,0,418384.615385
61,3,1,rx,vpp,256,ids,linux,0,418285.0
62,3,1,rx,vpp,256,ids,linux,0,417637.0
63,3,1,rx,vpp,256,ids,linux,0,422250.0
64,3,1,rx,vpp,256,ids,linux,0,422688.0
65,3,1,rx,vpp,256,ids,linux,0,423465.0
66,3,1,rx,vpp,256,ids,linux,0,417867.132867
67,3,1,rx,vpp,256,ids,linux,0,420904.0
68,3,1,rx,vpp,256,ids,linux,0,422559.0
