,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,256,mirror,linux,2,265472.055888
1,3,1,rx,vpp,256,mirror,linux,2,266956.0
2,3,1,rx,vpp,256,mirror,linux,2,268562.874251
3,3,1,rx,vpp,256,mirror,linux,2,266694.0
4,3,1,rx,vpp,256,mirror,linux,2,267736.0
5,3,1,rx,vpp,256,mirror,linux,2,266803.196803
6,3,1,rx,vpp,256,mirror,linux,2,267402.597403
7,3,1,rx,vpp,256,mirror,linux,2,266949.050949
8,3,1,rx,vpp,256,mirror,linux,2,266760.0
9,3,1,rx,vpp,256,mirror,linux,2,268966.0
10,3,1,rx,vpp,256,mirror,linux,2,268984.0
11,3,1,rx,vpp,256,mirror,linux,2,269220.779221
12,3,1,rx,vpp,256,mirror,linux,2,268051.948052
13,3,1,rx,vpp,256,mirror,linux,2,267604.0
14,3,1,rx,vpp,256,mirror,linux,2,268060.0
15,3,1,rx,vpp,256,mirror,linux,2,268249.75025
16,3,1,rx,vpp,256,mirror,linux,2,270010.0
17,3,1,rx,vpp,256,mirror,linux,2,268580.0
18,3,1,rx,vpp,256,mirror,linux,2,265200.0
19,3,1,rx,vpp,256,mirror,linux,2,267509.0
20,3,1,rx,vpp,256,mirror,linux,2,268886.0
21,3,1,rx,vpp,256,mirror,linux,2,262990.0
22,3,1,rx,vpp,256,mirror,linux,2,268450.0
23,3,1,rx,vpp,256,mirror,linux,2,266630.0
24,3,1,rx,vpp,256,mirror,linux,2,267150.0
25,3,1,rx,vpp,256,mirror,linux,2,267524.475524
26,3,1,rx,vpp,256,mirror,linux,2,267272.727273
27,3,1,rx,vpp,256,mirror,linux,2,265980.0
28,3,1,rx,vpp,256,mirror,linux,2,264614.0
29,3,1,rx,vpp,256,mirror,linux,2,268283.0
30,3,1,rx,vpp,256,mirror,linux,2,270318.0
31,3,1,rx,vpp,256,mirror,linux,2,267540.0
32,3,1,rx,vpp,256,mirror,linux,2,266954.0
33,3,1,rx,vpp,256,mirror,linux,2,268710.0
34,3,1,rx,vpp,256,mirror,linux,2,268840.0
35,3,1,rx,vpp,256,mirror,linux,2,268840.0
36,3,1,rx,vpp,256,mirror,linux,2,269546.0
37,3,1,rx,vpp,256,mirror,linux,2,268320.0
38,3,1,rx,vpp,256,mirror,linux,2,269100.0
39,3,1,rx,vpp,256,mirror,linux,2,266383.0
40,3,1,rx,vpp,256,mirror,linux,2,267171.828172
41,3,1,rx,vpp,256,mirror,linux,2,264420.0
42,3,1,rx,vpp,256,mirror,linux,2,268190.0
43,3,1,rx,vpp,256,mirror,linux,2,267142.857143
44,3,1,rx,vpp,256,mirror,linux,2,267280.0
45,3,1,rx,vpp,256,mirror,linux,2,268320.0
46,3,1,rx,vpp,256,mirror,linux,2,269626.373626
47,3,1,rx,vpp,256,mirror,linux,2,268450.0
48,3,1,rx,vpp,256,mirror,linux,2,267800.0
49,3,1,rx,vpp,256,mirror,linux,2,267786.213786
50,3,1,rx,vpp,256,mirror,linux,2,265527.0
51,3,1,rx,vpp,256,mirror,linux,2,263900.0
52,3,1,rx,vpp,256,mirror,linux,2,267402.597403
53,3,1,rx,vpp,256,mirror,linux,2,266110.0
54,3,1,rx,vpp,256,mirror,linux,2,267540.0
55,3,1,rx,vpp,256,mirror,linux,2,267410.0
56,3,1,rx,vpp,256,mirror,linux,2,269294.0
57,3,1,rx,vpp,256,mirror,linux,2,267020.0
58,3,1,rx,vpp,256,mirror,linux,2,267930.0
59,3,1,rx,vpp,256,mirror,linux,2,263397.0
60,3,1,rx,vpp,256,mirror,linux,2,268596.403596
61,3,1,rx,vpp,256,mirror,linux,2,266956.0
62,3,1,rx,vpp,256,mirror,linux,2,265590.0
63,3,1,rx,vpp,256,mirror,linux,2,261818.181818
64,3,1,rx,vpp,256,mirror,linux,2,264224.0
65,3,1,rx,vpp,256,mirror,linux,2,268710.0
66,3,1,rx,vpp,256,mirror,linux,2,266953.0
67,3,1,rx,vpp,256,mirror,linux,2,268906.0
