,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,1024,nat,linux,1,625194.805195
1,3,1,rx,vpp,1024,nat,linux,1,629625.374625
2,3,1,rx,vpp,1024,nat,linux,1,625755.0
3,3,1,rx,vpp,1024,nat,linux,1,626210.0
4,3,1,rx,vpp,1024,nat,linux,1,625625.0
5,3,1,rx,vpp,1024,nat,linux,1,629495.0
6,3,1,rx,vpp,1024,nat,linux,1,621985.0
7,3,1,rx,vpp,1024,nat,linux,1,626363.636364
8,3,1,rx,vpp,1024,nat,linux,1,628030.0
9,3,1,rx,vpp,1024,nat,linux,1,630305.0
10,3,1,rx,vpp,1024,nat,linux,1,626275.0
11,3,1,rx,vpp,1024,nat,linux,1,631642.0
12,3,1,rx,vpp,1024,nat,linux,1,626925.0
13,3,1,rx,vpp,1024,nat,linux,1,627900.0
14,3,1,rx,vpp,1024,nat,linux,1,626275.0
15,3,1,rx,vpp,1024,nat,linux,1,631715.0
16,3,1,rx,vpp,1024,nat,linux,1,629220.779221
17,3,1,rx,vpp,1024,nat,linux,1,626925.0
18,3,1,rx,vpp,1024,nat,linux,1,627900.0
19,3,1,rx,vpp,1024,nat,linux,1,627376.0
20,3,1,rx,vpp,1024,nat,linux,1,624780.0
21,3,1,rx,vpp,1024,nat,linux,1,628418.581419
22,3,1,rx,vpp,1024,nat,linux,1,624675.324675
23,3,1,rx,vpp,1024,nat,linux,1,623740.0
24,3,1,rx,vpp,1024,nat,linux,1,624780.0
25,3,1,rx,vpp,1024,nat,linux,1,627961.0
26,3,1,rx,vpp,1024,nat,linux,1,628940.0
27,3,1,rx,vpp,1024,nat,linux,1,627380.0
28,3,1,rx,vpp,1024,nat,linux,1,627380.0
29,3,1,rx,vpp,1024,nat,linux,1,629135.0
30,3,1,rx,vpp,1024,nat,linux,1,627380.0
31,3,1,rx,vpp,1024,nat,linux,1,627729.0
32,3,1,rx,vpp,1024,nat,linux,1,627380.0
33,3,1,rx,vpp,1024,nat,linux,1,625129.87013
34,3,1,rx,vpp,1024,nat,linux,1,626145.0
35,3,1,rx,vpp,1024,nat,linux,1,630085.0
36,3,1,rx,vpp,1024,nat,linux,1,619060.0
37,3,1,rx,vpp,1024,nat,linux,1,624000.0
38,3,1,rx,vpp,1024,nat,linux,1,625040.0
39,3,1,rx,vpp,1024,nat,linux,1,624260.0
40,3,1,rx,vpp,1024,nat,linux,1,630130.0
41,3,1,rx,vpp,1024,nat,linux,1,627380.0
42,3,1,rx,vpp,1024,nat,linux,1,629661.0
43,3,1,rx,vpp,1024,nat,linux,1,624520.0
44,3,1,rx,vpp,1024,nat,linux,1,625560.0
45,3,1,rx,vpp,1024,nat,linux,1,630440.0
46,3,1,rx,vpp,1024,nat,linux,1,627055.0
47,3,1,rx,vpp,1024,nat,linux,1,625649.350649
48,3,1,rx,vpp,1024,nat,linux,1,624675.324675
49,3,1,rx,vpp,1024,nat,linux,1,624650.0
50,3,1,rx,vpp,1024,nat,linux,1,626783.0
51,3,1,rx,vpp,1024,nat,linux,1,625649.350649
52,3,1,rx,vpp,1024,nat,linux,1,629092.907093
53,3,1,rx,vpp,1024,nat,linux,1,627250.0
54,3,1,rx,vpp,1024,nat,linux,1,624325.0
55,3,1,rx,vpp,1024,nat,linux,1,627950.0
56,3,1,rx,vpp,1024,nat,linux,1,629850.0
57,3,1,rx,vpp,1024,nat,linux,1,626925.0
58,3,1,rx,vpp,1024,nat,linux,1,628875.0
59,3,1,rx,vpp,1024,nat,linux,1,627510.0
60,3,1,rx,vpp,1024,nat,linux,1,629411.0
61,3,1,rx,vpp,1024,nat,linux,1,628680.0
62,3,1,rx,vpp,1024,nat,linux,1,631375.0
63,3,1,rx,vpp,1024,nat,linux,1,625714.285714
64,3,1,rx,vpp,1024,nat,linux,1,627900.0
65,3,1,rx,vpp,1024,nat,linux,1,631381.0
66,3,1,rx,vpp,1024,nat,linux,1,630240.0
67,3,1,rx,vpp,1024,nat,linux,1,620490.0
