,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,1024,empty,linux,2,0
1,3,1,tx,vpp,1024,empty,linux,2,0
2,3,1,tx,vpp,1024,empty,linux,2,0
3,3,1,tx,vpp,1024,empty,linux,2,0
4,3,1,tx,vpp,1024,empty,linux,2,0
5,3,1,tx,vpp,1024,empty,linux,2,0
6,3,1,tx,vpp,1024,empty,linux,2,0
7,3,1,tx,vpp,1024,empty,linux,2,0
8,3,1,tx,vpp,1024,empty,linux,2,0
9,3,1,tx,vpp,1024,empty,linux,2,0
10,3,1,tx,vpp,1024,empty,linux,2,0
11,3,1,tx,vpp,1024,empty,linux,2,0
12,3,1,tx,vpp,1024,empty,linux,2,0
13,3,1,tx,vpp,1024,empty,linux,2,0
14,3,1,tx,vpp,1024,empty,linux,2,0
15,3,1,tx,vpp,1024,empty,linux,2,0
16,3,1,tx,vpp,1024,empty,linux,2,0
17,3,1,tx,vpp,1024,empty,linux,2,0
18,3,1,tx,vpp,1024,empty,linux,2,0
19,3,1,tx,vpp,1024,empty,linux,2,0
20,3,1,tx,vpp,1024,empty,linux,2,0
21,3,1,tx,vpp,1024,empty,linux,2,0
22,3,1,tx,vpp,1024,empty,linux,2,0
23,3,1,tx,vpp,1024,empty,linux,2,0
24,3,1,tx,vpp,1024,empty,linux,2,0
25,3,1,tx,vpp,1024,empty,linux,2,0
26,3,1,tx,vpp,1024,empty,linux,2,0
27,3,1,tx,vpp,1024,empty,linux,2,0
28,3,1,tx,vpp,1024,empty,linux,2,0
29,3,1,tx,vpp,1024,empty,linux,2,0
30,3,1,tx,vpp,1024,empty,linux,2,0
31,3,1,tx,vpp,1024,empty,linux,2,0
32,3,1,tx,vpp,1024,empty,linux,2,0
33,3,1,tx,vpp,1024,empty,linux,2,0
34,3,1,tx,vpp,1024,empty,linux,2,0
35,3,1,tx,vpp,1024,empty,linux,2,0
36,3,1,tx,vpp,1024,empty,linux,2,0
37,3,1,tx,vpp,1024,empty,linux,2,0
38,3,1,tx,vpp,1024,empty,linux,2,0
39,3,1,tx,vpp,1024,empty,linux,2,0
40,3,1,tx,vpp,1024,empty,linux,2,0
41,3,1,tx,vpp,1024,empty,linux,2,0
42,3,1,tx,vpp,1024,empty,linux,2,0
43,3,1,tx,vpp,1024,empty,linux,2,0
44,3,1,tx,vpp,1024,empty,linux,2,0
45,3,1,tx,vpp,1024,empty,linux,2,0
46,3,1,tx,vpp,1024,empty,linux,2,0
47,3,1,tx,vpp,1024,empty,linux,2,0
48,3,1,tx,vpp,1024,empty,linux,2,0
49,3,1,tx,vpp,1024,empty,linux,2,0
50,3,1,tx,vpp,1024,empty,linux,2,0
51,3,1,tx,vpp,1024,empty,linux,2,0
52,3,1,tx,vpp,1024,empty,linux,2,0
53,3,1,tx,vpp,1024,empty,linux,2,0
54,3,1,tx,vpp,1024,empty,linux,2,0
55,3,1,tx,vpp,1024,empty,linux,2,0
56,3,1,tx,vpp,1024,empty,linux,2,0
57,3,1,tx,vpp,1024,empty,linux,2,0
58,3,1,tx,vpp,1024,empty,linux,2,0
59,3,1,tx,vpp,1024,empty,linux,2,0
60,3,1,tx,vpp,1024,empty,linux,2,0
61,3,1,tx,vpp,1024,empty,linux,2,0
62,3,1,tx,vpp,1024,empty,linux,2,0
63,3,1,tx,vpp,1024,empty,linux,2,0
64,3,1,tx,vpp,1024,empty,linux,2,0
65,3,1,tx,vpp,1024,empty,linux,2,0
66,3,1,tx,vpp,1024,empty,linux,2,0
67,3,1,tx,vpp,1024,empty,linux,2,0
68,3,1,tx,vpp,1024,empty,linux,2,0
69,3,1,tx,vpp,1024,empty,linux,2,0
