/tmp/linux.click:26: While initializing 'fd :: FromDevice':
  warning: ens7: no IPv4 address assigned
Startup trace (nsec): main: 9074865333
Startup trace (nsec): init done: 9083051018
Number of packets sent : 688000
Number of packets sent : 728741.328048
Number of packets sent : 732560.914968
Number of packets sent : 741204.1155
Number of packets sent : 744304.932735
Number of packets sent : 743827.118644
Number of packets sent : 746151.263298
Number of packets sent : 748787.088499
Number of packets sent : 747614.569041
Number of packets sent : 748383.344422
Number of packets sent : 748442.303853
Number of packets sent : 748118.250295
Number of packets sent : 749198.352608
Number of packets sent : 750191.796605
Number of packets sent : 751284.379458
Number of packets sent : 751164.913449
Number of packets sent : 751752.200237
Number of packets sent : 752243.757711
Number of packets sent : 752246.975918
Number of packets sent : 752576.753233
Number of packets sent : 753066.876436
Number of packets sent : 752663.542955
Number of packets sent : 752789.85606
Number of packets sent : 753240.455197
Number of packets sent : 753057.486575
Number of packets sent : 753384.870524
Number of packets sent : 753286.696895
Number of packets sent : 753129.47271
Number of packets sent : 753323.603925
Number of packets sent : 753565.56191
Number of packets sent : 753850.862586
Number of packets sent : 754267.453104
Number of packets sent : 754541.824086
Number of packets sent : 754861.476973
Number of packets sent : 755287.448203
Number of packets sent : 755600.708025
Number of packets sent : 755886.338403
Number of packets sent : 756043.479435
Number of packets sent : 756087.801415
Number of packets sent : 756179.866253
Number of packets sent : 756315.671138
Number of packets sent : 756398.123324
Number of packets sent : 756513.062099
Number of packets sent : 756577.689984
Number of packets sent : 756677.863324
Number of packets sent : 756890.653106
Number of packets sent : 757094.197389
Number of packets sent : 757249.787379
Number of packets sent : 757469.312125
Number of packets sent : 757554.218587
Number of packets sent : 757666.340215
Number of packets sent : 757902.984343
Number of packets sent : 758108.525195
Number of packets sent : 758306.011238
Number of packets sent : 758274.160714
Number of packets sent : 758433.332122
Number of packets sent : 758497.314179
Number of packets sent : 758614.710266
Number of packets sent : 758854.174205
Number of packets sent : 759136.952655
Number of packets sent : 759157.005797
Number of packets sent : 759163.477292
Number of packets sent : 759215.726099
Number of packets sent : 759356.124181
Number of packets sent : 759451.84815
Number of packets sent : 759515.098865
Number of packets sent : 759541.052122
Number of packets sent : 759522.30791
Number of packets sent : 759671.541322
Number of packets sent : 759800.605455
Number of packets sent : 759893.032553
Number of packets sent : 759977.210023
Number of packets sent : 760037.562465
Number of packets sent : 760138.83983
Number of packets sent : 760179.697735
Number of packets sent : 760173.236321
Number of packets sent : 760185.423845
Number of packets sent : 760220.733876
Number of packets sent : 760228.053765
Number of packets sent : 760279.885632
Number of packets sent : 760243.394176
Number of packets sent : 760265.275653
AUTOTEST_DONE
