Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1761098661,Device: id=0,RX,0.66868617212011,342.36782938318,449.35761692239,672287,43026432
1761098661,Device: id=0,TX,0,0,0,0,0
1761098662,Device: id=0,RX,0.74640230209749,382.15797867392,501.58234700952,1420649,90921600
1761098662,Device: id=0,TX,0,0,0,0,0
1761098663,Device: id=0,RX,0.74339247298863,380.61796397549,499.56075965367,2168566,138788416
1761098663,Device: id=0,TX,0,0,0,0,0
1761098664,Device: id=0,RX,0.73470843450788,376.16969981781,493.72304933907,2907133,186056576
1761098664,Device: id=0,TX,0,0,0,0,0
1761098665,Device: id=0,RX,0.73603822778896,376.85157262795,494.61768907418,3647075,233412864
1761098665,Device: id=0,TX,0,0,0,0,0
1761098666,Device: id=0,RX,0.75921336819944,388.71724451811,510.19138343002,4410276,282257728
1761098666,Device: id=0,TX,0,0,0,0,0
1761098667,Device: id=0,RX,0.7438543968882,380.85345120676,499.87015470887,5158507,330144512
1761098667,Device: id=0,TX,0,0,0,0,0
1761098668,Device: id=0,RX,0.7561221254547,387.13452823281,508.11406830556,5918599,378790400
1761098668,Device: id=0,TX,0,0,0,0,0
1761098669,Device: id=0,RX,0.74262999777673,380.22706818691,499.04786783118,6665129,426568384
1761098669,Device: id=0,TX,0,0,0,0,0
1761098670,Device: id=0,RX,0.74763274990416,382.79407953666,502.41531952133,7416727,474671424
1761098670,Device: id=0,TX,0,0,0,0,0
1761098671,Device: id=0,RX,0.7451184531612,381.4940302582,500.71298276399,8166151,522633728
1761098671,Device: id=0,TX,0,0,0,0,0
1761098672,Device: id=0,RX,0.75327968343813,385.68072565513,506.20547500523,8923506,571104640
1761098672,Device: id=0,TX,0,0,0,0,0
1761098673,Device: id=0,RX,0.74938459684251,383.68287883746,503.58441433226,9677772,619377408
1761098673,Device: id=0,TX,0,0,0,0,0
1761098674,Device: id=0,RX,0.73823635766821,377.97752442478,496.09534165169,10419924,666875200
1761098674,Device: id=0,TX,0,0,0,0,0
1761098675,Device: id=0,RX,0.74492927627244,381.40378945149,500.59247365508,11168766,714801088
1761098675,Device: id=0,TX,0,0,0,0,0
1761098676,Device: id=0,RX,0.75423115614472,386.1663519461,506.84333692925,11927037,763330432
1761098676,Device: id=0,TX,0,0,0,0,0
1761098677,Device: id=0,RX,0.74980158312994,383.89891983454,503.86717313533,12680855,811574848
1761098677,Device: id=0,TX,0,0,0,0,0
1761098678,Device: id=0,RX,0.74272371038253,380.27403039049,499.1098240517,13427479,859358720
1761098678,Device: id=0,TX,0,0,0,0,0
1761098679,Device: id=0,RX,0.76418760585198,391.26405419622,513.53407113253,14195921,908539008
1761098679,Device: id=0,TX,0,0,0,0,0
1761098680,Device: id=0,RX,0.73240357752172,374.99063169112,492.1752040946,14932212,955661632
1761098680,Device: id=0,TX,0,0,0,0,0
1761098681,Device: id=0,RX,0.73057247183453,374.05310557928,490.94470107281,15666927,1002683392
1761098681,Device: id=0,TX,0,0,0,0,0
1761098682,Device: id=0,RX,0.74552694706182,381.7092878101,500.99359933999,16416722,1050670208
1761098682,Device: id=0,TX,0,0,0,0,0
1761098683,Device: id=0,RX,0.74151409948583,379.65572823412,498.29798415185,17162171,1098379008
1761098683,Device: id=0,TX,0,0,0,0,0
1761098684,Device: id=0,RX,0.74476004069387,381.31714083526,500.47874734628,17911040,1146306624
1761098684,Device: id=0,TX,0,0,0,0,0
1761098685,Device: id=0,RX,0.75183358536793,384.94072160183,505.23409526069,18666819,1194676722
1761098685,Device: id=0,TX,0,0,0,0,0
1761098686,Device: id=0,RX,0.74620269861279,382.05629072213,501.44872250018,19417372,1242712178
1761098686,Device: id=0,TX,0,0,0,0,0
1761098687,Device: id=0,RX,0.75607859923136,387.11173348175,508.08430935877,20177422,1291355314
1761098687,Device: id=0,TX,0,0,0,0,0
1761098688,Device: id=0,RX,0.74372397833065,380.78718623033,499.78302276323,20925052,1339203698
1761098688,Device: id=0,TX,0,0,0,0,0
1761098689,Device: id=0,RX,0.75527824915295,386.70195426814,507.54647413261,21684337,1387797874
1761098689,Device: id=0,TX,0,0,0,0,0
1761098690,Device: id=0,RX,0.75109261298842,384.55992667058,504.73474474873,22440123,1436168242
1761098690,Device: id=0,TX,0,0,0,0,0
1761098691,Device: id=0,RX,0.74401214394828,380.93421770152,499.97616073325,23188042,1484035058
1761098691,Device: id=0,TX,0,0,0,0,0
1761098692,Device: id=0,RX,0.75186573904458,384.95525839083,505.25377663796,23943896,1532409714
1761098692,Device: id=0,TX,0,0,0,0,0
1761098693,Device: id=0,RX,0.74355807402389,380.70173390023,499.67102574406,24691359,1580247346
1761098693,Device: id=0,TX,0,0,0,0,0
1761098694,Device: id=0,RX,0.74631399749589,382.1127667179,501.52300631724,25441593,1628262322
1761098694,Device: id=0,TX,0,0,0,0,0
1761098695,Device: id=0,RX,0.7381416728951,377.92802722376,496.03069488698,26183650,1675753906
1761098695,Device: id=0,TX,0,0,0,0,0
1761098696,Device: id=0,RX,0.75172783304924,384.88465052121,505.16110380909,26939326,1724117170
1761098696,Device: id=0,TX,0,0,0,0,0
1761098697,Device: id=0,RX,0.74237107002962,380.09449699462,498.87386819936,27685868,1771895922
1761098697,Device: id=0,TX,0,0,0,0,0
1761098698,Device: id=0,RX,0.74318669270823,380.51107734233,499.42094817565,28432959,1819709682
1761098698,Device: id=0,TX,0,0,0,0,0
1761098699,Device: id=0,RX,0.75483992489137,386.47855087031,507.25293885293,29191762,1868273138
1761098699,Device: id=0,TX,0,0,0,0,0
1761098700,Device: id=0,RX,0.74720619804749,382.56957340032,502.12256508792,29943049,1916355506
1761098700,Device: id=0,TX,0,0,0,0,0
