Startup trace (nsec): main: 181215558531
Startup trace (nsec): init done: 181219176518
Number of packets sent : 825600
Number of packets sent : 760205.940594
Number of packets sent : 760144.206862
Number of packets sent : 759528.708928
Number of packets sent : 757931.240658
Number of packets sent : 756332.735247
Number of packets sent : 756163.397606
Number of packets sent : 757494.513325
Number of packets sent : 757678.473435
Number of packets sent : 757845.104779
Number of packets sent : 758583.532934
Number of packets sent : 759010.889292
Number of packets sent : 759293.236836
Number of packets sent : 759154.596421
Number of packets sent : 759229.995721
Number of packets sent : 759206.630276
Number of packets sent : 759388.878487
Number of packets sent : 759951.653645
Number of packets sent : 759979.137768
Number of packets sent : 759577.691337
Number of packets sent : 759602.177387
Number of packets sent : 759470.937976
Number of packets sent : 759299.568672
Number of packets sent : 759344.147666
Number of packets sent : 759266.888658
Number of packets sent : 759194.365634
Number of packets sent : 759292.334294
Number of packets sent : 759406.956522
Number of packets sent : 759328.659102
Number of packets sent : 759514.125267
Number of packets sent : 759798.940918
Number of packets sent : 759891.223773
Number of packets sent : 759920.910482
Number of packets sent : 760062.070427
Number of packets sent : 760324.232985
Number of packets sent : 760326.224734
Number of packets sent : 760350.754968
Number of packets sent : 760406.195144
Number of packets sent : 760519.41939
Number of packets sent : 760545.850521
Number of packets sent : 760582.588059
Number of packets sent : 760598.342676
Number of packets sent : 760714.94849
Number of packets sent : 760798.842695
Number of packets sent : 760826.190638
Number of packets sent : 760814.243205
Number of packets sent : 760846.783829
Number of packets sent : 760813.769056
Number of packets sent : 760798.242875
Number of packets sent : 760742.989415
Number of packets sent : 760752.967982
Number of packets sent : 760769.878904
Number of packets sent : 760741.769963
Number of packets sent : 760729.065711
Number of packets sent : 760666.697511
Number of packets sent : 760675.515581
Number of packets sent : 760718.163324
Number of packets sent : 760727.119714
Number of packets sent : 760682.421256
Number of packets sent : 760716.245744
Number of packets sent : 760825.774106
Number of packets sent : 760798.781087
Number of packets sent : 760787.001515
Number of packets sent : 760843.126368
Number of packets sent : 760837.065492
Number of packets sent : 760814.98793
Number of packets sent : 760843.123003
Number of packets sent : 760866.197288
Number of packets sent : 760866.034685
Number of packets sent : 760824.464079
Number of packets sent : 760813.851887
Number of packets sent : 760825.143227
Number of packets sent : 760793.14557
Number of packets sent : 760799.293557
Number of packets sent : 760820.955391
Number of packets sent : 760835.547619
Number of packets sent : 760786.307927
Number of packets sent : 760782.007684
Number of packets sent : 760753.023935
Number of packets sent : 760749.421216
Number of packets sent : 760770.016866
Number of packets sent : 760766.293216
AUTOTEST_DONE
