/tmp/linux.click:26: While initializing 'fd :: FromDevice':
  warning: ens7: no IPv4 address assigned
Startup trace (nsec): main: 10272906291
Startup trace (nsec): init done: 10285213350
Number of packets sent : 589714.285714
Number of packets sent : 702340.594059
Number of packets sent : 707216.09538
Number of packets sent : 707114.134041
Number of packets sent : 703168.617684
Number of packets sent : 705661.415753
Number of packets sent : 706287.186305
Number of packets sent : 706084.509049
Number of packets sent : 706862.9334
Number of packets sent : 707300.177423
Number of packets sent : 706638.486875
Number of packets sent : 707390.779563
Number of packets sent : 707803.727432
Number of packets sent : 707890.93702
Number of packets sent : 708356.419401
Number of packets sent : 708270.354837
Number of packets sent : 708770.37823
Number of packets sent : 708573.845612
Number of packets sent : 708343.025191
Number of packets sent : 708946.012721
Number of packets sent : 708708.535185
Number of packets sent : 709259.953384
Number of packets sent : 709753.348772
Number of packets sent : 709368.441626
Number of packets sent : 709743.215118
Number of packets sent : 710090.02997
Number of packets sent : 709536.176753
Number of packets sent : 709737.021277
Number of packets sent : 709960
Number of packets sent : 710026.803555
Number of packets sent : 710320.855259
Number of packets sent : 710657.803133
Number of packets sent : 711058.51313
Number of packets sent : 711004.027008
Number of packets sent : 711241.954918
Number of packets sent : 711424.974306
Number of packets sent : 711440.490729
Number of packets sent : 711535.337168
Number of packets sent : 711708.433038
Number of packets sent : 711753.670348
Number of packets sent : 711836.17287
Number of packets sent : 711900.80429
Number of packets sent : 712009.992624
Number of packets sent : 712186.261068
Number of packets sent : 712361.540733
Number of packets sent : 712340.40994
Number of packets sent : 712335.766423
Number of packets sent : 712297.223167
Number of packets sent : 712299.321286
Number of packets sent : 712347.487355
Number of packets sent : 712510.842844
Number of packets sent : 712791.233124
Number of packets sent : 712887.571349
Number of packets sent : 713042.44527
Number of packets sent : 713195.87667
Number of packets sent : 713183.341207
Number of packets sent : 713231.537995
Number of packets sent : 713294.608574
Number of packets sent : 713398.707676
Number of packets sent : 713521.884952
Number of packets sent : 713654.007595
Number of packets sent : 713716.478799
Number of packets sent : 713830.824038
Number of packets sent : 713850.294272
Number of packets sent : 714034.869921
Number of packets sent : 714138.472893
Number of packets sent : 714138.814016
Number of packets sent : 714185.118888
Number of packets sent : 714196.549038
Number of packets sent : 714302.336361
Number of packets sent : 714422.621682
Number of packets sent : 714510.240854
Number of packets sent : 714566.50472
Number of packets sent : 714598.699343
Number of packets sent : 714587.074554
Number of packets sent : 714629.251066
Number of packets sent : 714597.53291
Number of packets sent : 714638.646954
Number of packets sent : 714640.471034
Number of packets sent : 714623.537152
Number of packets sent : 714767.284676
Number of packets sent : 714783.075442
AUTOTEST_DONE
