Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1761102219,Device: id=0,RX,0.74633955345524,1456.8548083446,1576.2691368975,750373,183091012
1761102219,Device: id=0,TX,0,0,0,0,0
1761102220,Device: id=0,RX,0.75698910451152,1477.6427320065,1598.7609887283,1510941,368669604
1761102220,Device: id=0,TX,0,0,0,0,0
1761102221,Device: id=0,RX,0.75404383773307,1471.893571255,1592.5405852923,2269303,553709932
1761102221,Device: id=0,TX,0,0,0,0,0
1761102222,Device: id=0,RX,0.74676389497599,1457.685064585,1577.1672877812,3020070,736897324
1761102222,Device: id=0,TX,0,0,0,0,0
1761102223,Device: id=0,RX,0.75624173401745,1476.1819243341,1597.1806017769,3780806,922516664
1761102223,Device: id=0,TX,0,0,0,0,0
1761102224,Device: id=0,RX,0.75827881543223,1480.1621892459,1601.4867997151,4543177,1108535432
1761102224,Device: id=0,TX,0,0,0,0,0
1761102225,Device: id=0,RX,0.73930967895418,1443.1305531419,1561.4201017746,5286992,1290026048
1761102225,Device: id=0,TX,0,0,0,0,0
1761102226,Device: id=0,RX,0.75686759025329,1477.4055361744,1598.504350615,6047877,1475681988
1761102226,Device: id=0,TX,0,0,0,0,0
1761102227,Device: id=0,RX,0.75552116318829,1474.7811933604,1595.6645794705,6807520,1661035368
1761102227,Device: id=0,TX,0,0,0,0,0
1761102228,Device: id=0,RX,0.75641216280361,1476.5204245883,1597.5463706369,7568063,1846608348
1761102228,Device: id=0,TX,0,0,0,0,0
1761102229,Device: id=0,RX,0.73897572201059,1442.4728490651,1560.7089645868,8311581,2028025764
1761102229,Device: id=0,TX,0,0,0,0,0
1761102230,Device: id=0,RX,0.75408335522749,1471.9687679051,1592.6221047415,9069743,2213017048
1761102230,Device: id=0,TX,0,0,0,0,0
1761102231,Device: id=0,RX,0.75752026959134,1478.6815072303,1599.8847503649,9831561,2398900884
1761102231,Device: id=0,TX,0,0,0,0,0
1761102232,Device: id=0,RX,0.74506908240123,1454.3739097777,1573.5849629619,10580542,2581652130
1761102232,Device: id=0,TX,0,0,0,0,0
1761102233,Device: id=0,RX,0.75601297472321,1475.7373266597,1596.6994026154,11340525,2767087982
1761102233,Device: id=0,TX,0,0,0,0,0
1761102234,Device: id=0,RX,0.75512604048608,1474.0079721195,1594.8281385973,12099895,2952374506
1761102234,Device: id=0,TX,0,0,0,0,0
1761102235,Device: id=0,RX,0.73577463905043,1436.2320954264,1553.9560376745,12839573,3132855938
1761102235,Device: id=0,TX,0,0,0,0,0
1761102236,Device: id=0,RX,0.75309109096517,1470.0435129881,1590.5380875425,13597055,3317682766
1761102236,Device: id=0,TX,0,0,0,0,0
1761102237,Device: id=0,RX,0.75538584848341,1474.5034764012,1595.3652121585,14357126,3503138870
1761102237,Device: id=0,TX,0,0,0,0,0
1761102238,Device: id=0,RX,0.75885268048065,1481.2804322982,1602.6968611751,15120003,3689280858
1761102238,Device: id=0,TX,0,0,0,0,0
1761102239,Device: id=0,RX,0.76165416818463,1486.7508757686,1608.6155426781,15886577,3876325158
1761102239,Device: id=0,TX,0,0,0,0,0
1761102240,Device: id=0,RX,0.75477435894864,1473.3156654819,1594.0795629137,16645397,4061476750
1761102240,Device: id=0,TX,0,0,0,0,0
1761102241,Device: id=0,RX,0.75577433993441,1475.2734530589,1596.1973474484,17405256,4246882590
1761102241,Device: id=0,TX,0,0,0,0,0
1761102242,Device: id=0,RX,0.7581714228078,1479.9506173208,1601.2580449701,18167729,4432926002
1761102242,Device: id=0,TX,0,0,0,0,0
1761102243,Device: id=0,RX,0.75789730037293,1479.415530328,1600.6790983876,18929607,4618824234
1761102243,Device: id=0,TX,0,0,0,0,0
1761102244,Device: id=0,RX,0.75408138768121,1471.9688105575,1592.6218325865,19687648,4803786482
1761102244,Device: id=0,TX,0,0,0,0,0
1761102245,Device: id=0,RX,0.75496879671828,1473.6971511182,1594.4921585931,20447257,4989130834
1761102245,Device: id=0,TX,0,0,0,0,0
1761102246,Device: id=0,RX,0.75363800495599,1471.0994442822,1591.6815250751,21205013,5174023054
1761102246,Device: id=0,TX,0,0,0,0,0
1761102247,Device: id=0,RX,0.75447370207407,1472.7346082559,1593.4504005877,21963447,5359081194
1761102247,Device: id=0,TX,0,0,0,0,0
1761102248,Device: id=0,RX,0.76031184489619,1484.1287212374,1605.7786164208,22727751,5545571370
1761102248,Device: id=0,TX,0,0,0,0,0
1761102249,Device: id=0,RX,0.75774045797381,1479.1093739649,1600.3478472407,23489472,5731431294
1761102249,Device: id=0,TX,0,0,0,0,0
1761102250,Device: id=0,RX,0.7596033374174,1482.7457146388,1604.2822486255,24253104,5917757502
1761102250,Device: id=0,TX,0,0,0,0,0
1761102251,Device: id=0,RX,0.7574564429044,1478.5549765494,1599.7480074141,25015296,6103732350
1761102251,Device: id=0,TX,0,0,0,0,0
1761102252,Device: id=0,RX,0.75537750030648,1474.4968805982,1595.3572806473,25774640,6289012286
1761102252,Device: id=0,TX,0,0,0,0,0
1761102253,Device: id=0,RX,0.754395549752,1472.5781713126,1593.2814592729,26532997,6474051150
1761102253,Device: id=0,TX,0,0,0,0,0
1761102254,Device: id=0,RX,0.75742186968899,1478.4894314367,1599.676930587,27294396,6659832750
1761102254,Device: id=0,TX,0,0,0,0,0
1761102255,Device: id=0,RX,0.75536710186105,1474.4765828328,1595.3353191305,28053730,6845110246
1761102255,Device: id=0,TX,0,0,0,0,0
1761102256,Device: id=0,RX,0.75645619636541,1476.6024953053,1597.6354867237,28814159,7030654922
1761102256,Device: id=0,TX,0,0,0,0,0
1761102257,Device: id=0,RX,0.75848656783711,1480.565780418,1601.923631272,29576670,7216707606
1761102257,Device: id=0,TX,0,0,0,0,0
1761102258,Device: id=0,RX,0.76228398717377,1487.9783429632,1609.943780911,30342957,7403681634
1761102258,Device: id=0,TX,0,0,0,0,0
1761102259,Device: id=0,RX,0.75746945106487,1478.5784279953,1599.7735401657,31104922,7589600850
1761102259,Device: id=0,TX,0,0,0,0,0
1761102260,Device: id=0,RX,0.7554546969338,1474.6495089959,1595.5222605053,31864822,7775016694
1761102260,Device: id=0,TX,0,0,0,0,0
