Startup trace (nsec): main: 182450136939
Startup trace (nsec): init done: 182453179910
Number of packets sent : 825600
Number of packets sent : 766177.932406
Number of packets sent : 766158.445441
Number of packets sent : 766192.218158
Number of packets sent : 765676.896208
Number of packets sent : 763798.362947
Number of packets sent : 762728.618968
Number of packets sent : 762864.336662
Number of packets sent : 763579.453252
Number of packets sent : 763791.033182
Number of packets sent : 763317.119457
Number of packets sent : 762881.492917
Number of packets sent : 762669.691168
Number of packets sent : 762202.105587
Number of packets sent : 762431.456505
Number of packets sent : 762269.881444
Number of packets sent : 762132.384164
Number of packets sent : 761889.737863
Number of packets sent : 761946.822093
Number of packets sent : 762200.788851
Number of packets sent : 762207.944042
Number of packets sent : 762155.22246
Number of packets sent : 761955.486919
Number of packets sent : 761963.156065
Number of packets sent : 761928.33944
Number of packets sent : 761816.085062
Number of packets sent : 761828.695518
Number of packets sent : 761859.019913
Number of packets sent : 761694.243192
Number of packets sent : 761620.421103
Number of packets sent : 761530.946036
Number of packets sent : 761458.833011
Number of packets sent : 761330.793254
Number of packets sent : 761257.775355
Number of packets sent : 761144.557773
Number of packets sent : 761027.868993
Number of packets sent : 760883.404586
Number of packets sent : 760777.753768
Number of packets sent : 760769.265162
Number of packets sent : 760682.213054
Number of packets sent : 760569.922295
Number of packets sent : 760576.881825
Number of packets sent : 760500.309347
Number of packets sent : 760466.274637
Number of packets sent : 760473.650736
Number of packets sent : 760410.803127
Number of packets sent : 760375.621945
Number of packets sent : 760350.167992
Number of packets sent : 760199.246242
Number of packets sent : 760172.887855
Number of packets sent : 760199.192436
Number of packets sent : 760249.710937
Number of packets sent : 760246.21831
Number of packets sent : 760206.366568
Number of packets sent : 760197.120012
Number of packets sent : 760168.059897
Number of packets sent : 760173.181267
Number of packets sent : 760178.365393
Number of packets sent : 760129.779938
Number of packets sent : 760141.845534
Number of packets sent : 760071.848607
Number of packets sent : 760048.2058
Number of packets sent : 760015.250685
Number of packets sent : 760028.589107
Number of packets sent : 759963.330262
Number of packets sent : 759906.84586
Number of packets sent : 759874.121638
Number of packets sent : 759825.053706
Number of packets sent : 759936.706256
Number of packets sent : 760056.538177
Number of packets sent : 760045.649908
Number of packets sent : 760047.146437
Number of packets sent : 760128.022878
Number of packets sent : 760227.880165
Number of packets sent : 760219.882488
Number of packets sent : 760212.32758
Number of packets sent : 760244.361149
Number of packets sent : 760212.108625
Number of packets sent : 760223.486596
Number of packets sent : 760195.404626
Number of packets sent : 760129.341796
Number of packets sent : 760107.025186
AUTOTEST_DONE
