,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,256,filter,linux,2,760026.2081498101
1,3,1,tx,vpp,256,filter,linux,2,757679.18011176
2,3,1,tx,vpp,256,filter,linux,2,759414.0824331699
3,3,1,tx,vpp,256,filter,linux,2,758177.89265015
4,3,1,tx,vpp,256,filter,linux,2,765098.65194458
5,3,1,tx,vpp,256,filter,linux,2,759940.4157906399
6,3,1,tx,vpp,256,filter,linux,2,759095.72391236
7,3,1,tx,vpp,256,filter,linux,2,758914.83104936
8,3,1,tx,vpp,256,filter,linux,2,765358.2854284
9,3,1,tx,vpp,256,filter,linux,2,764298.40823811
10,3,1,tx,vpp,256,filter,linux,2,761611.27548244
11,3,1,tx,vpp,256,filter,linux,2,761282.95039643
12,3,1,tx,vpp,256,filter,linux,2,759609.6935786
13,3,1,tx,vpp,256,filter,linux,2,760715.6615656901
14,3,1,tx,vpp,256,filter,linux,2,760625.43721139
15,3,1,tx,vpp,256,filter,linux,2,760309.9630883
16,3,1,tx,vpp,256,filter,linux,2,761945.9070710801
17,3,1,tx,vpp,256,filter,linux,2,760814.92368038
18,3,1,tx,vpp,256,filter,linux,2,759190.67082604
19,3,1,tx,vpp,256,filter,linux,2,758840.3374186499
20,3,1,tx,vpp,256,filter,linux,2,759144.93099616
21,3,1,tx,vpp,256,filter,linux,2,757058.72499258
22,3,1,tx,vpp,256,filter,linux,2,758929.13220152
23,3,1,tx,vpp,256,filter,linux,2,757272.0793319399
24,3,1,tx,vpp,256,filter,linux,2,759162.15698901
25,3,1,tx,vpp,256,filter,linux,2,755836.8357597099
26,3,1,tx,vpp,256,filter,linux,2,756871.09812926
27,3,1,tx,vpp,256,filter,linux,2,756667.03745787
28,3,1,tx,vpp,256,filter,linux,2,760148.54021945
29,3,1,tx,vpp,256,filter,linux,2,758182.64011522
30,3,1,tx,vpp,256,filter,linux,2,756516.25222193
31,3,1,tx,vpp,256,filter,linux,2,759620.46554929
32,3,1,tx,vpp,256,filter,linux,2,759513.1440889799
33,3,1,tx,vpp,256,filter,linux,2,757411.82167098
34,3,1,tx,vpp,256,filter,linux,2,760908.0324030501
35,3,1,tx,vpp,256,filter,linux,2,757994.65689293
36,3,1,tx,vpp,256,filter,linux,2,759443.7507400101
37,3,1,tx,vpp,256,filter,linux,2,756719.50595027
38,3,1,tx,vpp,256,filter,linux,2,756274.0752020701
39,3,1,tx,vpp,256,filter,linux,2,757923.16323448
40,3,1,tx,vpp,256,filter,linux,2,763141.74504837
41,3,1,tx,vpp,256,filter,linux,2,760504.57424276
42,3,1,tx,vpp,256,filter,linux,2,758683.05935307
43,3,1,tx,vpp,256,filter,linux,2,758578.59621333
44,3,1,tx,vpp,256,filter,linux,2,759764.41289781
45,3,1,tx,vpp,256,filter,linux,2,759917.3467223
46,3,1,tx,vpp,256,filter,linux,2,760494.6747858799
47,3,1,tx,vpp,256,filter,linux,2,759414.54822094
48,3,1,tx,vpp,256,filter,linux,2,759480.4612940999
49,3,1,tx,vpp,256,filter,linux,2,760087.14063869
50,3,1,tx,vpp,256,filter,linux,2,754793.57721819
51,3,1,tx,vpp,256,filter,linux,2,758152.94091128
52,3,1,tx,vpp,256,filter,linux,2,758588.7265803501
53,3,1,tx,vpp,256,filter,linux,2,760310.86884462
54,3,1,tx,vpp,256,filter,linux,2,756252.2746649199
55,3,1,tx,vpp,256,filter,linux,2,756753.96559398
56,3,1,tx,vpp,256,filter,linux,2,757052.5238658
57,3,1,tx,vpp,256,filter,linux,2,759346.44480299
58,3,1,tx,vpp,256,filter,linux,2,769818.90763343
59,3,1,tx,vpp,256,filter,linux,2,763437.2729330399
60,3,1,tx,vpp,256,filter,linux,2,759236.64898191
61,3,1,tx,vpp,256,filter,linux,2,764532.54504775
62,3,1,tx,vpp,256,filter,linux,2,765888.25369434
63,3,1,tx,vpp,256,filter,linux,2,763438.36838192
64,3,1,tx,vpp,256,filter,linux,2,759378.90580822
65,3,1,tx,vpp,256,filter,linux,2,761885.15691269
66,3,1,tx,vpp,256,filter,linux,2,761076.5617373299
67,3,1,tx,vpp,256,filter,linux,2,758207.58778049
68,3,1,tx,vpp,256,filter,linux,2,761675.2994193101
69,3,1,tx,vpp,256,filter,linux,2,754799.28928602
