Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1761094931,Device: id=0,RX,0.20696744768061,2476.9864138415,2510.1012054704,208124,311355000
1761094931,Device: id=0,TX,0,0,0,0,0
1761094932,Device: id=0,RX,0.20981984887225,2511.1120308639,2544.6832066835,418781,626496376
1761094932,Device: id=0,TX,0,0,0,0,0
1761094933,Device: id=0,RX,0.21051506864307,2519.4443415202,2553.1267525031,630501,943229496
1761094933,Device: id=0,TX,0,0,0,0,0
1761094934,Device: id=0,RX,0.20690357648753,2476.2220034028,2509.3265756408,838513,1254415448
1761094934,Device: id=0,TX,0,0,0,0,0
1761094935,Device: id=0,RX,0.20992465336427,2512.3901494473,2545.9780939856,1049673,1570312304
1761094935,Device: id=0,TX,0,0,0,0,0
1761094936,Device: id=0,RX,0.21136462568946,2529.6118402515,2563.4301803618,1262247,1888323008
1761094936,Device: id=0,TX,0,0,0,0,0
1761094937,Device: id=0,RX,0.20656867267158,2472.2019703468,2505.2529579742,1469923,2199004808
1761094937,Device: id=0,TX,0,0,0,0,0
1761094938,Device: id=0,RX,0.21011259258833,2514.6275080972,2548.2455229113,1681275,2515187400
1761094938,Device: id=0,TX,0,0,0,0,0
1761094939,Device: id=0,RX,0.20973916833277,2510.1583666066,2543.7166335399,1892139,2830639944
1761094939,Device: id=0,TX,0,0,0,0,0
1761094940,Device: id=0,RX,0.20673210836181,2474.1698728741,2507.247010212,2100017,3141625432
1761094940,Device: id=0,TX,0,0,0,0,0
1761094941,Device: id=0,RX,0.20896394857782,2500.8805365794,2534.3147683519,2310199,3456057704
1761094941,Device: id=0,TX,0,0,0,0,0
1761094942,Device: id=0,RX,0.20929456831462,2504.8492903416,2538.3364212719,2520747,3771039008
1761094942,Device: id=0,TX,0,0,0,0,0
1761094943,Device: id=0,RX,0.20948087429928,2507.0551994376,2540.5721393255,2731351,4086101096
1761094943,Device: id=0,TX,0,0,0,0,0
1761094944,Device: id=0,RX,0.20498461457064,2453.2677664862,2486.0653048175,2937519,4394529920
1761094944,Device: id=0,TX,0,0,0,0,0
1761094945,Device: id=0,RX,0.20791461243415,2488.3101773025,2521.576515292,3146546,4707232816
1761094945,Device: id=0,TX,0,0,0,0,0
1761094946,Device: id=0,RX,0.2094928770373,2507.2107523825,2540.7296127084,3357307,5022531272
1761094946,Device: id=0,TX,0,0,0,0,0
1761094947,Device: id=0,RX,0.20481998141819,2451.2855376129,2484.0567346399,3563214,5330568144
