/tmp/linux.click:26: While initializing 'fd :: FromDevice':
  warning: ens7: no IPv4 address assigned
Startup trace (nsec): main: 10333073555
Startup trace (nsec): init done: 10342983375
Number of packets sent : 589714.285714
Number of packets sent : 534846.989141
Number of packets sent : 536752.730884
Number of packets sent : 538427.339084
Number of packets sent : 537451.829724
Number of packets sent : 536664.674238
Number of packets sent : 537048.33887
Number of packets sent : 536587.380715
Number of packets sent : 536784.343057
Number of packets sent : 537066.275075
Number of packets sent : 536519.752594
Number of packets sent : 536191.309869
Number of packets sent : 536194.760915
Number of packets sent : 535971.439539
Number of packets sent : 536210.822758
Number of packets sent : 536454.013044
Number of packets sent : 536523.836266
Number of packets sent : 536323.544958
Number of packets sent : 536576.103838
Number of packets sent : 536694.713054
Number of packets sent : 536433.321684
Number of packets sent : 536713.062913
Number of packets sent : 536791.729084
Number of packets sent : 536268.910117
Number of packets sent : 536284.352892
Number of packets sent : 536463.483819
Number of packets sent : 536143.21386
Number of packets sent : 536318.116237
Number of packets sent : 536495.273091
Number of packets sent : 536659.51364
Number of packets sent : 536718.999734
Number of packets sent : 536820.378964
Number of packets sent : 536874.504417
Number of packets sent : 536976.750522
Number of packets sent : 537118.473247
Number of packets sent : 537163.127248
Number of packets sent : 537242.104679
Number of packets sent : 537351.433818
Number of packets sent : 537413.566452
Number of packets sent : 537492.890995
Number of packets sent : 537554.825657
Number of packets sent : 537595.404035
Number of packets sent : 537676.499274
Number of packets sent : 537718.358622
Number of packets sent : 537722.671329
Number of packets sent : 537744.460234
Number of packets sent : 537791.568018
Number of packets sent : 537886.583473
Number of packets sent : 537981.702367
Number of packets sent : 538006.953649
Number of packets sent : 538026.039689
Number of packets sent : 538119.768809
Number of packets sent : 538180.572636
Number of packets sent : 538224.49095
Number of packets sent : 538256.823523
Number of packets sent : 538321.196926
Number of packets sent : 538298.758074
Number of packets sent : 538359.69987
Number of packets sent : 538369.93901
Number of packets sent : 538392.696848
Number of packets sent : 538468.780707
Number of packets sent : 538510.672804
Number of packets sent : 538492.63426
Number of packets sent : 538545.095489
Number of packets sent : 538577.437739
Number of packets sent : 538634.91429
Number of packets sent : 538661.049285
Number of packets sent : 538691.883185
Number of packets sent : 538697.293008
Number of packets sent : 538708.600064
Number of packets sent : 538682.427513
Number of packets sent : 538704.519543
Number of packets sent : 538693.769345
Number of packets sent : 538693.59873
Number of packets sent : 538679.80229
Number of packets sent : 538687.00032
Number of packets sent : 538678.071744
Number of packets sent : 538730.301496
Number of packets sent : 538731.963254
Number of packets sent : 538788.437698
Number of packets sent : 538824.44722
Number of packets sent : 538876.793624
AUTOTEST_DONE
