,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,256,ids,linux,0,531444.81116623
1,3,1,tx,vpp,256,ids,linux,0,533099.26141473
2,3,1,tx,vpp,256,ids,linux,0,536633.97882779
3,3,1,tx,vpp,256,ids,linux,0,533499.10969334
4,3,1,tx,vpp,256,ids,linux,0,539138.4227658
5,3,1,tx,vpp,256,ids,linux,0,539676.28368086
6,3,1,tx,vpp,256,ids,linux,0,530191.82173668
7,3,1,tx,vpp,256,ids,linux,0,541259.8036848501
8,3,1,tx,vpp,256,ids,linux,0,540278.13993649
9,3,1,tx,vpp,256,ids,linux,0,539058.3805021299
10,3,1,tx,vpp,256,ids,linux,0,532076.1416879301
11,3,1,tx,vpp,256,ids,linux,0,541673.50725524
12,3,1,tx,vpp,256,ids,linux,0,536664.821838
13,3,1,tx,vpp,256,ids,linux,0,525821.9012748599
14,3,1,tx,vpp,256,ids,linux,0,537517.70504743
15,3,1,tx,vpp,256,ids,linux,0,540078.63592092
16,3,1,tx,vpp,256,ids,linux,0,528689.84322138
17,3,1,tx,vpp,256,ids,linux,0,541044.0864540001
18,3,1,tx,vpp,256,ids,linux,0,541451.86338315
19,3,1,tx,vpp,256,ids,linux,0,541037.9089673801
20,3,1,tx,vpp,256,ids,linux,0,538444.2304460501
21,3,1,tx,vpp,256,ids,linux,0,539590.45361553
22,3,1,tx,vpp,256,ids,linux,0,539583.7934033601
23,3,1,tx,vpp,256,ids,linux,0,540343.7203184899
24,3,1,tx,vpp,256,ids,linux,0,540812.99268896
25,3,1,tx,vpp,256,ids,linux,0,539216.02970798
26,3,1,tx,vpp,256,ids,linux,0,538899.33595218
27,3,1,tx,vpp,256,ids,linux,0,542225.89986873
28,3,1,tx,vpp,256,ids,linux,0,539080.0960323
29,3,1,tx,vpp,256,ids,linux,0,540509.85967137
30,3,1,tx,vpp,256,ids,linux,0,540759.1962453
31,3,1,tx,vpp,256,ids,linux,0,538801.54633507
32,3,1,tx,vpp,256,ids,linux,0,540693.06220836
33,3,1,tx,vpp,256,ids,linux,0,538962.15383628
34,3,1,tx,vpp,256,ids,linux,0,538090.10514738
35,3,1,tx,vpp,256,ids,linux,0,539744.2371572801
36,3,1,tx,vpp,256,ids,linux,0,539846.4591099899
37,3,1,tx,vpp,256,ids,linux,0,542757.01159184
38,3,1,tx,vpp,256,ids,linux,0,540725.27605759
39,3,1,tx,vpp,256,ids,linux,0,539204.75764353
40,3,1,tx,vpp,256,ids,linux,0,540369.0542263599
41,3,1,tx,vpp,256,ids,linux,0,543553.80621161
42,3,1,tx,vpp,256,ids,linux,0,540032.80407282
43,3,1,tx,vpp,256,ids,linux,0,540906.00398047
44,3,1,tx,vpp,256,ids,linux,0,539604.42175555
45,3,1,tx,vpp,256,ids,linux,0,541151.32283842
46,3,1,tx,vpp,256,ids,linux,0,538127.0838730399
47,3,1,tx,vpp,256,ids,linux,0,539464.30624699
48,3,1,tx,vpp,256,ids,linux,0,540571.13557198
49,3,1,tx,vpp,256,ids,linux,0,541609.77821124
50,3,1,tx,vpp,256,ids,linux,0,542516.84103229
51,3,1,tx,vpp,256,ids,linux,0,539127.11897304
52,3,1,tx,vpp,256,ids,linux,0,539320.9591107599
53,3,1,tx,vpp,256,ids,linux,0,540270.54341462
54,3,1,tx,vpp,256,ids,linux,0,540783.11734217
55,3,1,tx,vpp,256,ids,linux,0,542621.73084826
56,3,1,tx,vpp,256,ids,linux,0,540598.56380259
57,3,1,tx,vpp,256,ids,linux,0,539403.82060034
58,3,1,tx,vpp,256,ids,linux,0,541487.52681408
59,3,1,tx,vpp,256,ids,linux,0,536176.93401651
60,3,1,tx,vpp,256,ids,linux,0,538513.79883277
61,3,1,tx,vpp,256,ids,linux,0,539781.24848944
62,3,1,tx,vpp,256,ids,linux,0,538578.3508208999
63,3,1,tx,vpp,256,ids,linux,0,537149.77136932
64,3,1,tx,vpp,256,ids,linux,0,538571.9977229399
65,3,1,tx,vpp,256,ids,linux,0,539462.48381954
66,3,1,tx,vpp,256,ids,linux,0,538492.8862189
67,3,1,tx,vpp,256,ids,linux,0,543331.3182959501
68,3,1,tx,vpp,256,ids,linux,0,539048.681406
69,3,1,tx,vpp,256,ids,linux,0,542606.10541847
