Startup trace (nsec): main: 96420679691
Startup trace (nsec): init done: 96424178580
Number of packets sent : 589714.285714
Number of packets sent : 540782.823297
Number of packets sent : 541864.717542
Number of packets sent : 542624.917164
Number of packets sent : 542278.109453
Number of packets sent : 541535.351524
Number of packets sent : 541365.055639
Number of packets sent : 541478.496155
Number of packets sent : 541386.763056
Number of packets sent : 541146.625291
Number of packets sent : 540863.328013
Number of packets sent : 540623.401361
Number of packets sent : 540547.563612
Number of packets sent : 540537.233226
Number of packets sent : 540423.18386
Number of packets sent : 540257.270247
Number of packets sent : 540184.501154
Number of packets sent : 540165.736771
Number of packets sent : 540140.55913
Number of packets sent : 540227.769603
Number of packets sent : 540244.258039
Number of packets sent : 540263.791136
Number of packets sent : 540326.569522
Number of packets sent : 540285.366913
Number of packets sent : 540337.661257
Number of packets sent : 540313.623652
Number of packets sent : 540250.85475
Number of packets sent : 540241.352521
Number of packets sent : 540333.773322
Number of packets sent : 540356.778727
Number of packets sent : 540332.511987
Number of packets sent : 540274.643122
Number of packets sent : 540225.611089
Number of packets sent : 540182.393364
Number of packets sent : 540107.92149
Number of packets sent : 540148.855398
Number of packets sent : 540179.686416
Number of packets sent : 540160.739841
Number of packets sent : 540155.720896
Number of packets sent : 540191.233733
Number of packets sent : 540161.904286
Number of packets sent : 540199.678331
Number of packets sent : 540200.347313
Number of packets sent : 540236.21535
Number of packets sent : 540312.737017
Number of packets sent : 540408.775007
Number of packets sent : 540410.443547
Number of packets sent : 540439.465125
Number of packets sent : 540451.674681
Number of packets sent : 540437.080691
Number of packets sent : 540422.970083
Number of packets sent : 540399.020376
Number of packets sent : 540381.32206
Number of packets sent : 540344.834087
Number of packets sent : 540351.665433
Number of packets sent : 540349.412256
Number of packets sent : 540393.711747
Number of packets sent : 540458.644508
Number of packets sent : 540437.304021
Number of packets sent : 540394.837573
Number of packets sent : 540440.974651
Number of packets sent : 540377.094835
Number of packets sent : 540339.339823
Number of packets sent : 540294.984455
Number of packets sent : 540272.667656
Number of packets sent : 540256.483973
Number of packets sent : 540213.445378
Number of packets sent : 540236.747904
Number of packets sent : 540255.929812
Number of packets sent : 540270.467942
Number of packets sent : 540296.415264
Number of packets sent : 540314.242684
Number of packets sent : 540338.107928
Number of packets sent : 540358.120688
Number of packets sent : 540362.881335
Number of packets sent : 540337.339605
Number of packets sent : 540359.965286
Number of packets sent : 540349.876703
Number of packets sent : 540346.969891
Number of packets sent : 540355.251673
Number of packets sent : 540350.688936
Number of packets sent : 540354.505188
AUTOTEST_DONE
