,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,1508,empty,uk,0,819574.0
1,3,1,rx,vpp,1508,empty,uk,0,819185.814186
2,3,1,rx,vpp,1508,empty,uk,0,819985.0
3,3,1,rx,vpp,1508,empty,uk,0,820010.0
4,3,1,rx,vpp,1508,empty,uk,0,820006.0
5,3,1,rx,vpp,1508,empty,uk,0,818990.990991
6,3,1,rx,vpp,1508,empty,uk,0,820049.0
7,3,1,rx,vpp,1508,empty,uk,0,819969.0
8,3,1,rx,vpp,1508,empty,uk,0,820008.0
9,3,1,rx,vpp,1508,empty,uk,0,818596.0
10,3,1,rx,vpp,1508,empty,uk,0,818388.0
11,3,1,rx,vpp,1508,empty,uk,0,819987.0
12,3,1,rx,vpp,1508,empty,uk,0,819967.0
13,3,1,rx,vpp,1508,empty,uk,0,819185.814186
14,3,1,rx,vpp,1508,empty,uk,0,819992.0
15,3,1,rx,vpp,1508,empty,uk,0,819990.0
16,3,1,rx,vpp,1508,empty,uk,0,819947.0
17,3,1,rx,vpp,1508,empty,uk,0,820014.0
18,3,1,rx,vpp,1508,empty,uk,0,819150.0
19,3,1,rx,vpp,1508,empty,uk,0,819424.0
20,3,1,rx,vpp,1508,empty,uk,0,818165.0
21,3,1,rx,vpp,1508,empty,uk,0,819962.0
22,3,1,rx,vpp,1508,empty,uk,0,819992.0
23,3,1,rx,vpp,1508,empty,uk,0,819949.0
24,3,1,rx,vpp,1508,empty,uk,0,819950.0
25,3,1,rx,vpp,1508,empty,uk,0,819973.0
26,3,1,rx,vpp,1508,empty,uk,0,820009.0
27,3,1,rx,vpp,1508,empty,uk,0,820001.0
28,3,1,rx,vpp,1508,empty,uk,0,819107.0
29,3,1,rx,vpp,1508,empty,uk,0,819419.0
30,3,1,rx,vpp,1508,empty,uk,0,818181.0
31,3,1,rx,vpp,1508,empty,uk,0,820001.0
32,3,1,rx,vpp,1508,empty,uk,0,820003.0
33,3,1,rx,vpp,1508,empty,uk,0,819997.0
34,3,1,rx,vpp,1508,empty,uk,0,819154.845155
35,3,1,rx,vpp,1508,empty,uk,0,819974.0
36,3,1,rx,vpp,1508,empty,uk,0,819958.0
37,3,1,rx,vpp,1508,empty,uk,0,819164.835165
38,3,1,rx,vpp,1508,empty,uk,0,819081.0
39,3,1,rx,vpp,1508,empty,uk,0,819471.0
40,3,1,rx,vpp,1508,empty,uk,0,819935.0
41,3,1,rx,vpp,1508,empty,uk,0,819529.0
42,3,1,rx,vpp,1508,empty,uk,0,819956.0
43,3,1,rx,vpp,1508,empty,uk,0,819961.0
44,3,1,rx,vpp,1508,empty,uk,0,819997.0
45,3,1,rx,vpp,1508,empty,uk,0,819978.0
46,3,1,rx,vpp,1508,empty,uk,0,819956.0
47,3,1,rx,vpp,1508,empty,uk,0,818337.0
48,3,1,rx,vpp,1508,empty,uk,0,819081.0
49,3,1,rx,vpp,1508,empty,uk,0,819498.0
50,3,1,rx,vpp,1508,empty,uk,0,819977.0
51,3,1,rx,vpp,1508,empty,uk,0,818209.0
52,3,1,rx,vpp,1508,empty,uk,0,819991.0
53,3,1,rx,vpp,1508,empty,uk,0,819951.0
54,3,1,rx,vpp,1508,empty,uk,0,819979.0
55,3,1,rx,vpp,1508,empty,uk,0,819993.0
56,3,1,rx,vpp,1508,empty,uk,0,819968.0
57,3,1,rx,vpp,1508,empty,uk,0,819975.0
58,3,1,rx,vpp,1508,empty,uk,0,818258.741259
59,3,1,rx,vpp,1508,empty,uk,0,819463.0
60,3,1,rx,vpp,1508,empty,uk,0,819949.0
61,3,1,rx,vpp,1508,empty,uk,0,818333.0
62,3,1,rx,vpp,1508,empty,uk,0,819956.0
63,3,1,rx,vpp,1508,empty,uk,0,819978.0
64,3,1,rx,vpp,1508,empty,uk,0,819167.832168
65,3,1,rx,vpp,1508,empty,uk,0,819983.0
66,3,1,rx,vpp,1508,empty,uk,0,819964.0
