,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,1024,filter,uk,2,1197547.0
1,3,1,rx,vpp,1024,filter,uk,2,1198851.14885
2,3,1,rx,vpp,1024,filter,uk,2,1198919.08092
3,3,1,rx,vpp,1024,filter,uk,2,1200159.0
4,3,1,rx,vpp,1024,filter,uk,2,1200129.0
5,3,1,rx,vpp,1024,filter,uk,2,1200111.0
6,3,1,rx,vpp,1024,filter,uk,2,1199184.55971
7,3,1,rx,vpp,1024,filter,uk,2,1198984.01598
8,3,1,rx,vpp,1024,filter,uk,2,1198987.01299
9,3,1,rx,vpp,1024,filter,uk,2,1197056.94306
10,3,1,rx,vpp,1024,filter,uk,2,1197651.0
11,3,1,rx,vpp,1024,filter,uk,2,1198918.0
12,3,1,rx,vpp,1024,filter,uk,2,1200154.0
13,3,1,rx,vpp,1024,filter,uk,2,1198925.07493
14,3,1,rx,vpp,1024,filter,uk,2,1198973.02697
15,3,1,rx,vpp,1024,filter,uk,2,1200205.0
16,3,1,rx,vpp,1024,filter,uk,2,1200171.0
17,3,1,rx,vpp,1024,filter,uk,2,1200172.0
18,3,1,rx,vpp,1024,filter,uk,2,1197816.18382
19,3,1,rx,vpp,1024,filter,uk,2,1199290.0
20,3,1,rx,vpp,1024,filter,uk,2,1200160.0
21,3,1,rx,vpp,1024,filter,uk,2,1196430.0
22,3,1,rx,vpp,1024,filter,uk,2,1198442.55744
23,3,1,rx,vpp,1024,filter,uk,2,1198954.04595
24,3,1,rx,vpp,1024,filter,uk,2,1198992.00799
25,3,1,rx,vpp,1024,filter,uk,2,1200107.0
26,3,1,rx,vpp,1024,filter,uk,2,1200170.0
27,3,1,rx,vpp,1024,filter,uk,2,1198702.43902
28,3,1,rx,vpp,1024,filter,uk,2,1199112.0
29,3,1,rx,vpp,1024,filter,uk,2,1198128.87113
30,3,1,rx,vpp,1024,filter,uk,2,1198952.04795
31,3,1,rx,vpp,1024,filter,uk,2,1197551.0
32,3,1,rx,vpp,1024,filter,uk,2,1200117.0
33,3,1,rx,vpp,1024,filter,uk,2,1200150.0
34,3,1,rx,vpp,1024,filter,uk,2,1198927.07293
35,3,1,rx,vpp,1024,filter,uk,2,1200109.0
36,3,1,rx,vpp,1024,filter,uk,2,1200166.0
37,3,1,rx,vpp,1024,filter,uk,2,1200192.0
38,3,1,rx,vpp,1024,filter,uk,2,1197844.15584
39,3,1,rx,vpp,1024,filter,uk,2,1199303.0
40,3,1,rx,vpp,1024,filter,uk,2,1200124.0
41,3,1,rx,vpp,1024,filter,uk,2,1197601.0
42,3,1,rx,vpp,1024,filter,uk,2,1198921.07892
43,3,1,rx,vpp,1024,filter,uk,2,1199007.99201
44,3,1,rx,vpp,1024,filter,uk,2,1200171.0
45,3,1,rx,vpp,1024,filter,uk,2,1200142.0
46,3,1,rx,vpp,1024,filter,uk,2,1200178.0
47,3,1,rx,vpp,1024,filter,uk,2,1198909.09091
48,3,1,rx,vpp,1024,filter,uk,2,1199066.0
49,3,1,rx,vpp,1024,filter,uk,2,1199325.0
50,3,1,rx,vpp,1024,filter,uk,2,1200203.0
51,3,1,rx,vpp,1024,filter,uk,2,1196454.54545
52,3,1,rx,vpp,1024,filter,uk,2,1198969.03097
53,3,1,rx,vpp,1024,filter,uk,2,1198965.03497
54,3,1,rx,vpp,1024,filter,uk,2,1200112.0
55,3,1,rx,vpp,1024,filter,uk,2,1200166.0
56,3,1,rx,vpp,1024,filter,uk,2,1200115.0
57,3,1,rx,vpp,1024,filter,uk,2,1198967.03297
58,3,1,rx,vpp,1024,filter,uk,2,1197963.03696
59,3,1,rx,vpp,1024,filter,uk,2,1199252.0
60,3,1,rx,vpp,1024,filter,uk,2,1200151.0
61,3,1,rx,vpp,1024,filter,uk,2,1197627.0
62,3,1,rx,vpp,1024,filter,uk,2,1199012.98701
63,3,1,rx,vpp,1024,filter,uk,2,1198965.03497
64,3,1,rx,vpp,1024,filter,uk,2,1198946.05395
65,3,1,rx,vpp,1024,filter,uk,2,1200118.0
66,3,1,rx,vpp,1024,filter,uk,2,1200166.0
