,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,64,ids,uk,0,1337912.31884
1,3,1,rx,vpp,64,ids,uk,0,1337023.08078
2,3,1,rx,vpp,64,ids,uk,0,1330157.63052
3,3,1,rx,vpp,64,ids,uk,0,1331697.47475
4,3,1,rx,vpp,64,ids,uk,0,1331101.92616
5,3,1,rx,vpp,64,ids,uk,0,1334135.53531
6,3,1,rx,vpp,64,ids,uk,0,1332004.51354
7,3,1,rx,vpp,64,ids,uk,0,1331234.05797
8,3,1,rx,vpp,64,ids,uk,0,1331859.71446
9,3,1,rx,vpp,64,ids,uk,0,1328308.08081
10,3,1,rx,vpp,64,ids,uk,0,1329086.92529
11,3,1,rx,vpp,64,ids,uk,0,1330662.31811
12,3,1,rx,vpp,64,ids,uk,0,1326001.00402
13,3,1,rx,vpp,64,ids,uk,0,1330314.07035
14,3,1,rx,vpp,64,ids,uk,0,1327793.21149
15,3,1,rx,vpp,64,ids,uk,0,1325839.28571
16,3,1,rx,vpp,64,ids,uk,0,1327519.42446
17,3,1,rx,vpp,64,ids,uk,0,1328027.08124
18,3,1,rx,vpp,64,ids,uk,0,1325823.47041
19,3,1,rx,vpp,64,ids,uk,0,1324517.05115
20,3,1,rx,vpp,64,ids,uk,0,1325627.68362
21,3,1,rx,vpp,64,ids,uk,0,1318401.14848
22,3,1,rx,vpp,64,ids,uk,0,1324195.58676
23,3,1,rx,vpp,64,ids,uk,0,1325343.53059
24,3,1,rx,vpp,64,ids,uk,0,1322982.44734
25,3,1,rx,vpp,64,ids,uk,0,1323394.68405
26,3,1,rx,vpp,64,ids,uk,0,1317486.45938
27,3,1,rx,vpp,64,ids,uk,0,1323485.95787
28,3,1,rx,vpp,64,ids,uk,0,1322294.17671
29,3,1,rx,vpp,64,ids,uk,0,1322637.87042
30,3,1,rx,vpp,64,ids,uk,0,1322704.26065
31,3,1,rx,vpp,64,ids,uk,0,1322933.94495
32,3,1,rx,vpp,64,ids,uk,0,1321523.24723
33,3,1,rx,vpp,64,ids,uk,0,1323395.68706
34,3,1,rx,vpp,64,ids,uk,0,1323092.82489
35,3,1,rx,vpp,64,ids,uk,0,1319773.74909
