,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,64,mirror,uk,0,1084680.06027
1,3,1,rx,vpp,64,mirror,uk,0,1087231.92771
2,3,1,rx,vpp,64,mirror,uk,0,1078980.81023
3,3,1,rx,vpp,64,mirror,uk,0,1080863.75158
4,3,1,rx,vpp,64,mirror,uk,0,1077331.82731
5,3,1,rx,vpp,64,mirror,uk,0,1080063.75502
6,3,1,rx,vpp,64,mirror,uk,0,1080699.29719
7,3,1,rx,vpp,64,mirror,uk,0,1085603.41365
8,3,1,rx,vpp,64,mirror,uk,0,1081578.84972
9,3,1,rx,vpp,64,mirror,uk,0,1082774.59839
10,3,1,rx,vpp,64,mirror,uk,0,1085940.93407
11,3,1,rx,vpp,64,mirror,uk,0,1083055.59189
12,3,1,rx,vpp,64,mirror,uk,0,1076859.15493
13,3,1,rx,vpp,64,mirror,uk,0,1080474.26842
14,3,1,rx,vpp,64,mirror,uk,0,1073581.52174
15,3,1,rx,vpp,64,mirror,uk,0,1083437.5667
16,3,1,rx,vpp,64,mirror,uk,0,1084004.38596
17,3,1,rx,vpp,64,mirror,uk,0,1078779.78884
18,3,1,rx,vpp,64,mirror,uk,0,1080331.82731
19,3,1,rx,vpp,64,mirror,uk,0,1081584.6856
20,3,1,rx,vpp,64,mirror,uk,0,1081087.20456
21,3,1,rx,vpp,64,mirror,uk,0,1079677.12046
22,3,1,rx,vpp,64,mirror,uk,0,1077029.99268
23,3,1,rx,vpp,64,mirror,uk,0,1078598.2906
24,3,1,rx,vpp,64,mirror,uk,0,1075442.21106
25,3,1,rx,vpp,64,mirror,uk,0,1083364.18511
26,3,1,rx,vpp,64,mirror,uk,0,1077148.45231
27,3,1,rx,vpp,64,mirror,uk,0,1086372.89089
28,3,1,rx,vpp,64,mirror,uk,0,1082159.13655
29,3,1,rx,vpp,64,mirror,uk,0,1087383.6858
30,3,1,rx,vpp,64,mirror,uk,0,1079278.16901
31,3,1,rx,vpp,64,mirror,uk,0,1081652.29111
32,3,1,rx,vpp,64,mirror,uk,0,1079641.6615
33,3,1,rx,vpp,64,mirror,uk,0,1077732.45614
34,3,1,rx,vpp,64,mirror,uk,0,1077503.51759
35,3,1,rx,vpp,64,mirror,uk,0,1078823.79518
36,3,1,rx,vpp,64,mirror,uk,0,1079803.71486
